1.cardName;农场男孩
2.cardName;山顶弓箭手
2.cardText;{ranged_attack}
3.cardName;塞兰德战士
4.cardName;塞兰德马术大师
4.cardText;{gift} - 给予一个友方生物在当前回合{charge|3}。
9.cardName;帝国工程师
9.cardText;{gift} - 激活所有友方的生产技能。
10.cardName;坚守阵线！
10.cardText;加入两张2/3带有{taunt}的 <b>帝国护卫队</b> 到手中。
11.cardName;机动碉堡
12.cardName;蒸汽熔炉
12.cardText;{production} - 给予一个随机友方生物+1/+0。
13.cardName;收税人
13.cardText;{combat} - 获得 {faeria|1}。
14.cardName;治愈之歌
14.cardText;抽1张牌并且获得5点生命。
15.cardName;守护
15.cardText;给予一个生物 {protection}。
16.cardName;帝国守卫队
16.cardText;{taunt}\n{last_words} - 获得2点生命。
22.cardName;自由战士
22.cardText;{haste}
23.cardName;篝火
23.cardText;给予一个生物+1/+1。
24.cardName;猎鹰俯冲
24.cardText;对一个生物造成1点伤害。
29.cardName;剑术大师
29.cardText;在你的回合拥有+2/+0(当此生物在你手牌中或在场上时)。
30.cardName;草原牦牛
32.cardName;进击的牦牛
32.cardText;召唤三只2/2带有{haste}的 <b>愤怒牦牛</b>。
33.cardName;惩罚
33.cardText;对目标生物造成2点伤害，若目标是中立生物，造成5点伤害。
34.cardName;女王的宠幸者
34.cardText;{protection}
35.cardName;女王卫士
35.cardText;{taunt}\n{combat} - 获得 {faeria|1}。
36.cardName;玛格妲，莫尔欧女王
36.cardText;减少你所有传说牌的费用 {faeria|1} 。\n{production} - 随机加入一张传说卡到你手牌，该牌费用转化为{wild}。
37.cardName;宫廷小丑
37.cardText;{taunt}\n{gift} - 给予你手牌中的一个随机生物+2/+2。
38.cardName;国王卫士
38.cardText;{taunt}\n{combat} - 抽1张牌。
39.cardName;小小英雄
39.cardText;此生物在第一次战斗后存活，它获得+3/+3和 {charge|2}。
40.cardName;马格努斯，莫尔欧国王
40.cardText;{charge|3}\n{combat} - 抽一张牌。 此牌消耗 {faeria|0}。
41.cardName;瘟疫散布者
41.cardText;{last_words} - 对所有生物造成2点伤害。
42.cardName;攻城机械
42.cardText;{ranged_attack}\n此生物在每次攻击之后获得+1/+0。
43.cardName;莎拉，屠龙少女
43.cardText;无视大于或等于4点的伤害。
44.cardName;饥荒
44.cardText;对场上所有生物造成1点伤害。
45.cardName;皇室法官
45.cardText;{options|抽1张免费守护|抽1张免费惩罚}\n- 添加一张 <b>守护</b> 到你手牌。它消耗 {faeria|0}。\n- 添加一张 <b>惩罚</b> 到你手牌。它消耗 {faeria|0}。
46.cardName;制图者
46.cardText;{last_words} - 添加一张 <b>探索</b> 到你手牌。
47.cardName;闪烁雕像
47.cardText;{taunt}\n{production} - 获得1点生命。
48.cardName;乡村老者
48.cardText;{last_words} - 抽一张牌。
49.cardName;说书人
49.cardText;{gift} - 每个玩家抽2张牌并且获得2点生命。
50.cardName;漫游的修道士
50.cardText;每当你抽1张牌，此生物获得+1/+0。
51.cardName;蒸汽熔炉执法者
52.cardName;国王信徒
52.cardText;{protection}
53.cardName;巨龙的黎明
53.cardText;将4张<b>龙</b>放入您的手牌。它们的费用减少{faeria|3}并转化为{wild}。
54.cardName;勇敢的冒险者
54.cardText;{gift}：每有一个相邻的敌方生物便获得+2/+2。
55.cardName;钉锤手
56.cardName;索加男爵
56.cardText;{last_words} - 每个玩家抽一张牌。他们消耗 {faeria|0}。
57.cardName;知识
57.cardText;抽2张牌。
58.cardName;战争牦牛
58.cardText;当敌方神明生命小于或等于10的时候，战争牦牛获得+2/+0。
59.cardName;家园守护者
59.cardText;{taunt}\n{gift} - 如果你上个回合被攻击，召唤另一个 <b>家园守护者</b>。
60.cardName;女王的刺客
60.cardText;{deathtouch}
61.cardName;通缉要犯
61.cardText;{last_words} - 你的对手抽一张卡以及获得{faeria|2}。
62.cardName;财富猎人
62.cardText;每当此生物收faeria，给予一个随机的友方生物+1/+1。
63.cardName;域外游侠
63.cardText;{gift} - 添加一个 <b>篝火</b> 到你的手牌。
64.cardName;帝国吸魔器
64.cardText;清空所有灵泉。\n{production} - 对此建筑造成1点伤害。\n{last_words} - 刷新所有灵泉。
65.cardName;雨林探索者
65.cardText;当你控制{blue}{blue}之后，获得+1/+1。当你控制{green}{green}之后，获得+0/+2。
66.cardName;火山口探索者
66.cardText;当你控制{blue}{blue}之后，获得+1/+1。当你控制{red}{red}之后，获得+2/+0。
67.cardName;绿洲探索者
67.cardText;当你控制{blue}{blue}之后，获得+1/+1。当你控制{yellow}{yellow}之后，获得+1/+1。
68.cardName;针叶林探索者
68.cardText;当你控制{red}{red}之后，获得+2/+0。当你控制{green}{green}之后，获得+0/+2。
69.cardName;草原探索者
69.cardText;当你控制{yellow}{yellow}之后，获得+1/+1。当你控制{green}{green}之后，获得+0/+2。
70.cardName;砂岩探索者
70.cardText;当你控制{red}{red}之后，获得+2/+0。当你控制{yellow}{yellow}之后，获得+1/+1。
71.cardName;红宝石鱼
71.cardText;{aquatic}
72.cardName;知识盗贼
72.cardText;{options|获得+2/+2|抽2张牌}\n- 获得+2/+2。\n- 抽2张牌。
73.cardName;加百兰蓄水池
73.cardText;{production} - 获得 {faeria|3}。对此建筑造成1点伤害。
74.cardName;暴君恐兽
75.cardName;加百兰女巫
75.cardText;{gift} - 将另外一个生物的攻击等同于生命。
76.cardName;加百兰指挥官
76.cardText;{aquatic}, {charge|2}\n当你第一次抽到1张初始费用为{faeria|7}或更多的牌时，此生物获得{flying}和+1/+1。
77.cardName;加百兰典狱长
