AUTHENTICATION_LOCAL_ERROR;无法验证{0}，请重启客户端。
DECK_LIMIT_MESSAGE;一副套牌限制有{0}张卡牌。
EMAIL_INVALID;你输入的邮箱地址不是有效的。
EMPTY_USERNAME_PASSWORD_NOT_ALLOWED;用户名/密码是空的。
ERROR_MESSAGE;错误信息:0{0}
ERROR_RESOURCES_CORRUPTED;游戏被迫退出因为文件貌似有损坏。如果同样错误继续弹出，请考虑重新安装游戏。
GAMECENTER_HTTP_ERROR;无法连接到苹果验证服务器。请稍后再试。
GAMECENTER_RUNTIME_ERROR;无法验证。请稍后再试。
GAMECENTER_SIGNATURE_MISMTACH;验证失败。请重新输入。
GAME_SERVER_CONNECTION_FAILED;无法连接到游戏。
GAME_SERVER_RECONNECTION_FAILED;无法重新连接到游戏。
MAIL_INVALID;你输入的邮箱地址不是有效的。
MUST_WAIT;你需要等待{0}分钟才可以继续。
RECOVERY_CODE_EXPIRED;回复码过期。
RECOVERY_CODE_INVALID;回复码无效。
SERVER_CONNECTION_FAILED;无法连接服务器。
SERVER_UNREACHABLE;连接不上服务器。
STEAM_ACCOUNT_DLC_NOT_SYNCHRONISED;这个账号不可用，因为你的Steam DLCs没有被同步。
STEAM_ACCOUNT_NOT_FOUND;这个账号还没有绑定Steam。
TOKEN_INVALID;验证失败。请重新登录。
UNAUTHORIZED_ACCESS;非法登录，请重启你的客户端。
UNKNOWN_ERROR;发生了一个未知的错误。如果此错误一直出现请联系客服。
WORLD_SERVER_RECONNECTION_FAILED;无法连接到服务器。
FRIEND_ALREADY_IN_LOBBY;好友已经在房间里！
LOBBY_INVALID_MINUTES_PER_GAME;请在‘游戏时限’中填入一个正数值
LOBBY_INVALID_TURN_DURATION;请在‘回合时限’中填入一个正数值
LOBBY_TIMER_EMPTY_MATCH_FORMAT;在设定游戏时限时必须选择一个对局模式
INTERNAL_ERROR;内部服务器错误。请再试一次。
PLATFORM_PRIVILEGES_DO_NOT_ALLOW;平台权限不允许执行此操作。
ACHIEVEMENT_INITIALIZATION_FAILED_TITLE;初始化失败。
ACHIEVEMENT_INITIALIZATION_FAILED_TEXT;无法初始化成就。请检查网络连接。
PLAYER_CANNOT_PLAY_MULTIPLAYER_GAMES;该玩家未获准在多人模式下游戏。
DEBUG_PANEL_EXIT_BUTTON;退出
CANNOT_RENAME_ON_PLATFORM;无法在此平台上重命名
