LOADING_HINT_QUEST_0;提示:你每个回合获得{faeria|3}个faeria。
LOADING_HINT_QUEST_1;提示:没有消耗的faeria会保留到下个回合。
LOADING_HINT_QUEST_2;提示:所有能力在每张卡牌的头顶都有解释。
LOADING_HINT_QUEST_3;提示:在你对手周围创造地块。
LOADING_HINT_QUEST_4;提示:在荆棘光灵长大之前，干掉它。
LOADING_HINT_QUEST_5;提示:在Faeria里有四种颜色。每种颜色都有自己的地块。
LOADING_HINT_QUEST_6;提示:茹妮是一位古老，不朽的森林守护者。
LOADING_HINT_QUEST_7;提示:红色卡牌拥有着火焰山般的力量。
LOADING_HINT_QUEST_8;塞弗把自己的名字烙印在了被他毁灭的王国废墟之中。
LOADING_HINT_QUEST_9;提示:拥有跳跃技能的生物，可以在任意方向移动2个格子，并且越过障碍。
LOADING_HINT_QUEST_10;提示:创造地块可以阻挡水生的敌人。
LOADING_HINT_QUEST_11;提示:克里姆攻击性非常强，要小心保护你自己。
LOADING_HINT_QUEST_13;当她还只是一个孩子时，莎拉的恐惧就与她的村子一起烧尽了。
LOADING_HINT_QUEST_20;玛格妲是莫尔欧的皇后，然后所有的英雄和恶棍也只不过是她棋盘中的一粒棋子而已。
LOADING_HINT_QUEST_25;在千里之外，克罗格的舞会经常被误认为是远方的雷声。
LOADING_HINT_QUEST_26;塔里木是第一粒被种下的种子。他见证了山峦的起伏，龙的诞生，以及古老神灵的坠落。
LOADING_HINT_QUEST_29;提示:塔里木随着时间流逝力量会不断增长。尽快打垮他。
LOADING_HINT_QUEST_30;霍阿卡总是在发明新的可以在上面玩耍的地图
LOADING_HINT_QUEST_48;奥罗拉的爱好包含了培训未来的英雄以及品尝最新鲜的茶。
LOADING_HINT_QUEST_49;在吉丹公会里，拥有着天兆奇才称号的克里姆，违背了他师傅的命令，义无反顾的加入了这场世界大战。
LOADING_HINT_QUEST_54;有些鱼就是喜欢看着世界燃烧殆尽。
LOADING_HINT_QUEST_64;神秘的加尔玛小心地看护着宇宙并且扮演者众神导师的角色。
LOADING_HINT_QUEST_117;提示:宝藏卡牌是非常强大的卡牌，他们通常可以在潘多拉模式下使用。
LOADING_HINT_QUEST_118;福咕噜周游世界收集历史上最伟大符文。
LOADING_HINT_RANDOM_DEATHTOUCH_ONLY_IF_DAMAGE;提示:死亡之触只有当对生物造成伤害才能杀死他们。护盾可以阻挡伤害。
LOADING_HINT_RANDOM_TIKIS_CAN_TARGET_THEMSELVES;提示:提基守护者和提基吹笛手的特效可以用自己身上。
LOADING_HINT_RANDOM_FROGS_PLACED_ON_LAKES;提示:从参战青蛙中召唤出来的青蛙，只能落在湖上。
LOADING_HINT_RANDOM_HEAL_ORB_MAX_20;提示:你无法治疗自己超过20点生命。
