ACT_FUGORO.marketDescription;用强大的宝藏牌打败福咕噜镇守的关卡。\n包含 7 个任务。\n总共奖励：4个战斗宝箱和600金币
ACT_FUGORO.marketName;福咕噜任务包
ACT_FUGORO.marketShortDescription;任务包
ACT_HOAKA.marketDescription;在著名的崔顿军师的独特领地上挑战他。\n包含 7 个任务。\n总共奖励：4个战斗宝箱和600金币
ACT_HOAKA.marketName;霍阿卡任务包
ACT_HOAKA.marketShortDescription;任务包
ACT_JALMYR_02.marketDescription;解开狮身人面像的谜题来精进你游戏技巧。\n包含 10 个任务。\n总共奖励：4个战斗宝箱和600金币
ACT_JALMYR_02.marketName;加尔玛，第二幕
ACT_JALMYR_02.marketShortDescription;任务包
ACT_JALMYR_03.marketDescription;解开狮身人面像的谜题来精进你游戏技巧。\n包含 10 个任务。\n总共奖励：4个战斗宝箱和600金币
ACT_JALMYR_03.marketName;加尔玛，第三幕
ACT_JALMYR_03.marketShortDescription;任务包
ACT_JALMYR_04.marketDescription;解开狮身人面像的谜题来精进你游戏技巧。\n包含 10 个任务。\n总共奖励：4个战斗宝箱和600金币
ACT_JALMYR_04.marketName;加尔玛，第四幕
ACT_JALMYR_04.marketShortDescription;任务包
ACT_MAGDA.marketDescription;运用奇特的宝藏牌组合打败强大的女王\n总共奖励：4个战斗宝箱和600金币
ACT_MAGDA.marketName;玛格妲任务包
ACT_MAGDA.marketShortDescription;任务包
AVATAR_ADVENTURER.marketDescription;跟随年轻福咕噜的足迹，开始他的云巅之旅！\n\n这个物品为你解锁一个新头像。
AVATAR_AURORA.marketDescription;奥罗拉的爱好包括培训未来的英雄，引导历史轨迹，和品尝最新鲜的茶。\n\n这个物品解锁一个新头像
AVATAR_BLUE_ELEMENTAL_2.marketDescription;圣贤有时会在被遗忘的城市废墟中看到这个生物。\n\n这个物品解锁一个新头像
AVATAR_BLUE_ELEMENTAL_3.marketDescription;他在贤者面前显现，应允他们的愿望。在他们的眼中揭示未来景象。\n\n解锁一个新的头像。
AVATAR_BOMB_SLINGER.marketDescription;生命的意义不在于你喘了几口气，而在于用炸弹夺走你最后一口气。\n\n这个物品解锁一个新头像
AVATAR_CAP_10.marketDescription;很久以前，这个机械被创造成为守护者。但是现在他已经被重新写入了海盗程序！
AVATAR_DARK_WISP.marketDescription;一个生活在万物之间的捣蛋光灵。\n\n这个物品解锁一个新头像
AVATAR_FUGORO.marketDescription;福咕噜是世界上胆子最大的商贩。他常常偷溜过欧罗塞的守护去窃取潘多拉的宝藏\n\n这个物品为你解锁一个新头像。
AVATAR_GREEN_ELEMENTAL_2.marketDescription;疯子有时会在未开化的森林深处看到这个生物。\n\n这个物品解锁一个新头像
AVATAR_GREEN_ELEMENTAL_3.marketDescription;他在狂人面前显现，应允他们的愿望。用他们的奇想扭曲森林面貌。\n\n解锁一个新的头像。
AVATAR_HOAKA.marketDescription;真正的战术大师霍阿卡，如果不是因为他常发明一些不切实际的新战术，应该是无敌的。\n\n这个物品为你解锁一个新头像。
AVATAR_JALMYR.marketDescription;神秘莫测的狮身人面像，照看着整个宇宙，为众神指点迷津。\n\n这个物品为你解锁一个新头像。
AVATAR_KELDRAN_EMISSARY.marketDescription;御风使者带着苍生百姓写下的祈祷，直达天庭。\n\n这个物品为你解锁一个新头像。
AVATAR_KHALIM.marketDescription;在吉丹公会里，拥有着天兆奇才称号的克里姆，违背了他师傅的命令，义无反顾的加入了这场世界大战。\n\n这个物品为你解锁一个新头像。
AVATAR_KINGS_GUARD.marketDescription;刀剑可碎，精神永驻。皇家卫队永不灭。\n\n这个物品解锁一个新头像
AVATAR_KOBOLD_MERCENARY.marketDescription;黑帮老大们是地精地下世界的统治者。在这个弱肉强食的世界里，这些勇猛的战士踩着对手的尸骨排上他们的宝座。\n\n解锁一个新头像。
AVATAR_KROG.marketDescription;克罗格深信自己是食人魔大帝。但没有人这么认为。\n\n这个物品为你解锁一个新头像。
AVATAR_MAGDA.marketDescription;世界上最伟大的传奇人物，也不过是玛格妲女王棋盘中的棋子而已。\n\n这个物品为你解锁一个新头像。
AVATAR_OGRE_BATTLER.marketDescription;虽然名叫布鲁塔，但这个兽人勇士却是因为其好友克勒伯斯先生而为人所熟知。“\n\n该物品可为你的神座解锁一个新头像。”
AVATAR_RAIZEON.marketDescription;元素之主，考验踏入禁地之人。
AVATAR_RAPALA.marketDescription;有些鱼就是喜欢看着世界燃烧殆尽。\n\n这个物品为你解锁一个新头像。
AVATAR_RED_ELEMENTAL_2.marketDescription;军阀在战场上有时会在日出时的战场上看到这个生物。\n\n这个物品为你解锁一个新头像
AVATAR_RED_ELEMENTAL_3.marketDescription;他在军阀面前显现，应允他们的愿望。以一面旗帜一统群山。\n\n解锁一个新的头像。
AVATAR_RUUNIN.marketDescription;茹妮是自然秩序的不朽守护者。她活得比身边所有人都更长久。\n\n这个物品为你解锁一个新头像。
AVATAR_SAGAMI_ELDER.marketDescription;萨嘎米不用他们的年龄计算寿命，而是用杀敌的数量。\n\n这个物品解锁一个新头像
AVATAR_SEIFER.marketDescription;塞弗把自己的名字烙印在了被他毁灭的王国废墟之中。征服了魔鬼并获得了他们的力量之后，值得塞弗感兴趣的只有他的敌人们痛苦的哀嚎。\n\n这个物品解锁一个新头像。
AVATAR_SHARRA.marketDescription;在她还是个孩子的时候，她的恐惧就已经随村子一同付之一炬了。\n\n解锁一个新的头像。
AVATAR_SHAYTAN_ASSASSIN.marketDescription;沙丹刺客是大祭司的传信使，而他的信息永远都是同一条。\n\n这个物品为你解锁一个新头像。
AVATAR_TAESA.marketDescription;加百兰的女巫们施放着古老的创生魔法。并肩与其他魔法师，他们组成了加布里安王国精神世界的护卫者。\n\n这个物品为你解锁一个新头像
AVATAR_TARANGA.marketDescription;在瑞寇没有战争这个词汇，但是嗒然佳知道有些事情是需要反抗的。
AVATAR_TARUM.marketDescription;塔里木是第一粒被种下的种子。他见证了山峦的起伏，龙群的诞生，以及古老神灵的陨落。\n\n这个物品为你解锁一个新头像
AVATAR_THE_EGG.marketDescription;在龙的梦境中出现，有些人认为，这颗蛋是光明未来的预兆。有一天它会孵出来。\n\n这个物品为你解锁一个新头像
AVATAR_ULANI.marketDescription;瑞寇的孩子们随风微笑，随波起舞，沉睡在树叶中，与火焰交换秘密。乌拉妮永远不会长大。
AVATAR_VERDURAN_FORCE.marketDescription;从来没有伐木工能在这块“木头”上砍第二斧。\n\n这个物品为你解锁一个新头像
AVATAR_YAKKAR.marketDescription;精英中的精英。这些牦牛捍卫着世界的秩序。
AVATAR_YAK_CYNICAL.marketDescription;这头牦牛来提问和回答一个简单的问题，feria中最好的牌库是什么？""
AVATAR_YAK_DRAGON.marketDescription;有些龙长得特别像牛。简直一个模子刻出来。
AVATAR_YAK_FANCY.marketDescription;雅坤通爵士是世界上最抢手晚宴嘉宾。
AVATAR_YAK_FARMER.marketDescription;英雄不长命，老农活千年。
AVATAR_YAK_FAT.marketDescription;牦牛在进食前最开心。"-塞弗之书"
AVATAR_YAK_FORCER.marketDescription;你有权保持毛绒绒。
AVATAR_YAK_HIPPIE.marketDescription;生命短暂，别忘记路边的野花也要采哟。
AVATAR_YAK_KING.marketDescription;雅克纳斯国王，第一位冠此名的国王，又被称为“牛枷破除者”以及扛起所有困难的野兽。
AVATAR_YAK_PIRATE.marketDescription;传奇的牦牛斯派罗船长。齐天大“害”。
AVATAR_YELLOW_ELEMENTAL_2.marketDescription;嗜血者有时会在大屠杀前看到这个生物。\n\n这个物品为你解锁一个新头像
AVATAR_YELLOW_ELEMENTAL_3.marketDescription;她在凶手面前显现，应允他们的愿望。用鲜血覆盖黄沙。\n\n解锁一个新的头像。
BACKER_STARTER_PACK_BUNDLE.marketDescription;30个战斗宝箱，10个潘多拉币，1个神座和1个头像。
BACKER_STARTER_PACK_BUNDLE.marketName;众筹赞助者礼包
BLUE_CHEST_1.marketDescription;每个战斗宝箱都会包含4张还未集齐的卡牌。
BLUE_CHEST_1.marketName;1个战斗宝箱
BLUE_CHEST_1.marketShortDescription;4张新卡！
BLUE_CHEST_12.marketDescription;每个战斗宝箱都会包含4张还未集齐的卡牌。
BLUE_CHEST_12.marketName;12个战斗宝箱
BLUE_CHEST_12.marketShortDescription;48张新卡！
BLUE_CHEST_14.marketDescription;每个战斗宝箱包含5张随机卡牌。你可以重新选择一次稀有度最高的卡牌，重新选择的卡牌稀有度保持不变。
BLUE_CHEST_14.marketName;14个战斗宝箱
BLUE_CHEST_14.marketShortDescription;70张新卡牌！
BLUE_CHEST_2.marketDescription;每个战斗宝箱都会包含4张还未集齐的卡牌。
BLUE_CHEST_2.marketName;2个战斗宝箱
BLUE_CHEST_2.marketShortDescription;8张新卡！
BLUE_CHEST_25.marketDescription;每个战斗宝箱包含5张随机卡牌。你可以重新选择一次稀有度最高的卡牌，重新选择的卡牌稀有度保持不变。
BLUE_CHEST_25.marketName;25个战斗宝箱
BLUE_CHEST_25.marketShortDescription;125张新卡牌！
BLUE_CHEST_26.marketDescription;每个战斗宝箱包含5张随机卡牌。你可以重新选择一次稀有度最高的卡牌，重新选择的卡牌稀有度保持不变。
BLUE_CHEST_26.marketName;26个战斗宝箱
BLUE_CHEST_26.marketShortDescription;130张新卡牌！
BLUE_CHEST_4.marketDescription;每个战斗宝箱包含5张随机卡牌。你可以重新选择一次稀有度最高的卡牌，重新选择的卡牌稀有度保持不变。
BLUE_CHEST_4.marketName;4个战斗宝箱
BLUE_CHEST_4.marketShortDescription;20张新卡牌
BLUE_CHEST_5.marketDescription;每个战斗宝箱都会包含4张还未集齐的卡牌。
BLUE_CHEST_5.marketName;5个战斗宝箱
BLUE_CHEST_5.marketShortDescription;20张新卡！
BLUE_CHEST_55.marketDescription;每个战斗宝箱包含5张随机卡牌。你可以重新选择一次稀有度最高的卡牌，重新选择的卡牌稀有度保持不变。
BLUE_CHEST_55.marketName;55个战斗宝箱
BLUE_CHEST_55.marketShortDescription;275张新卡牌！
BUNDLE_BLUE_CHEST_24.marketDescription;包含12个战斗宝箱(60张卡牌)和1张随机传奇卡牌。只能购买一次。
BUNDLE_BLUE_CHEST_24.marketName;战斗入门礼包
BUNDLE_BLUE_CHEST_24.marketShortDescription;120张新卡牌！
BUNDLE_EMOTE_AURORA.marketName;奥罗拉表情礼包
BUNDLE_EMOTE_SEIFER.marketName;塞弗表情礼包
BUNDLE_EMOTE_SHARRA.marketName;莎拉表情礼包
BUNDLE_PINK_CHEST_8.marketName;神话入门礼包
BUNDLE_PREMIUM_1.marketName;高级礼包
