CARD_ALREADY_OWNED_TOOLTIP_TEXT;你拥有{0}张这张卡。
CARD_FILTER_CREATURE;生物
CARD_FILTER_EVENT;事件
CARD_FILTER_FALL_OF_EVERLIFE;永生沦落
CARD_FILTER_OVERSKY;云巅
CARD_FILTER_STRUCTURE;建筑
PANDORA_MYTHIC_RUN_NOT_ENOUGH_COINS_ERROR_TEXT;你没有足够的碎片来开始神话潘多拉模式。
PANDORA_MYTHIC_RUN_TOOLTIP_TEXT;开始一轮神话潘多拉模式。以最高6场的胜利赢取碎片。
PANDORA_POINT_TOOLTIP_TEXT;赢得潘多拉的分数来获得赛季末的奖励。
PANDORA_POP_UP_MULTI_PLAYER_TITLE_TEXT;多人模式
PANDORA_POP_UP_MYTHIC_MULTI_PLAYER_INFO_TEXT;与其他玩家竞争并获得<b>高很多</b>的回报。
PANDORA_POP_UP_MYTHIC_RUN_MULTI_PLAYER_TITLE_TEXT;神话多人模式
PANDORA_POP_UP_MYTHIC_RUN_SINGLE_PLAYER_TITLE_TEXT;神话单人模式
PANDORA_POP_UP_MYTHIC_SINGLE_PLAYER_INFO_TEXT;对抗逐渐强力的AI战斗以赢取碎片。
PANDORA_POP_UP_SINGLE_PLAYER_TITLE_TEXT;单人模式
PANDORA_POP_UP_STANDARD_MULTI_PLAYER_INFO_TEXT;与其他玩家竞争并获得<b>高很多</b>的回报。
PANDORA_POP_UP_STANDARD_RUN_MULTI_PLAYER_TITLE_TEXT;多人模式
PANDORA_POP_UP_STANDARD_RUN_SINGLE_PLAYER_TITLE_TEXT;单人模式
PANDORA_POP_UP_STANDARD_SINGLE_PLAYER_INFO_TEXT;挑战逐渐变强的AI来获得战斗宝箱和卡牌。
PANDORA_STANDARD_RUN_HAS_FULL_COLLECTION_ERROR_TEXT;你已经集齐了所有的卡，无法再开始普通潘多拉模式。
PANDORA_STANDARD_RUN_NOT_ENOUGH_CHEST_ERROR_TEXT;你没有足够的战斗宝箱来开始普通潘多拉模式。
PANDORA_STANDARD_RUN_TOOLTIP_TEXT;开始一轮普通潘多拉模式。以最高6场的胜利赢得战斗宝箱和卡牌。
PURCHASE_PANEL_BUY_MISSING_SOFT_CURRENCY_TEXT;购买缺少的{0} {1}?
PURCHASE_PANEL_GO_TO_SHOP_BUTTON_TEXT;前往商店
PURCHASE_PANEL_OUT_OF_CURRENCY_TEXT;你的{0}不够啦。可以去商店购买一些。
REWARD;奖励
REWARD_ACT;任务包解锁
REWARD_ARENA_POINTS;{0}
REWARD_AVATAR;你得到了一个头像
REWARD_BLUEPRINT;新预设套牌解锁！
REWARD_BOOSTER;{0}
REWARD_CARD;你收到{0}张卡牌
REWARD_CARD_BACK;新卡背
REWARD_EMOTE;新表情
REWARD_FEATURE_ARENA_ID;你已经解锁了潘多拉模式！
REWARD_FEATURE_CRAFTING_ID;你已经解锁了合成卡牌功能！
REWARD_FEATURE_EPIC_CRAFTING_ID;你解锁了史诗卡牌合成！
REWARD_FEATURE_HIGHLANDER_ID;你已经解锁了高地之战模式！
REWARD_FEATURE_MAIN_MENU_ID;你已经解锁了编辑套牌功能！
REWARD_FEATURE_RANKED_ID;你已经解锁了排名模式！
REWARD_FEATURE_RARE_CRAFTING_ID;你解锁了稀有卡牌合成！
REWARD_ORIGIN_ACCOUNTACTIVATED;激活账号奖励
REWARD_ORIGIN_ANNUITY;呱呱找到的碎片
REWARD_ORIGIN_ARENA;你的奖励
REWARD_ORIGIN_CRAFT;合成完成！
REWARD_ORIGIN_DAILYASSIGNMENT;日常任务
REWARD_ORIGIN_DAILYQUEST;日常任务完成
REWARD_ORIGIN_DEFEAT;你的奖励
REWARD_ORIGIN_DLCPREMIUM;尊贵账号
REWARD_ORIGIN_DLCFALLOFEVERLIFE;永生沦落
REWARD_ORIGIN_EARLYACCESSBUNDLE;提前登陆礼包
REWARD_ORIGIN_FIRSTDAYVICTORY;今日首胜
REWARD_ORIGIN_HATCH;孵蛋
REWARD_ORIGIN_LADDERRESET;天梯重置奖励
REWARD_ORIGIN_LEVEL;等级{0}奖励
REWARD_ORIGIN_LOYALTYPATCH;版本忠诚奖励
REWARD_ORIGIN_MARKET;购买成功！
REWARD_ORIGIN_POUCH;探险旅行包奖励
REWARD_ORIGIN_QUEST;任务奖励
REWARD_ORIGIN_RECRUITMENT;招募
REWARD_ORIGIN_SOLOOBJECTIVE;目标达成！
REWARD_ORIGIN_STEAMPACK;Steam礼包
REWARD_ORIGIN_VICTORY;你的奖励
REWARD_POUCH_POINTS;{0}
REWARD_WELL;新faeria灵泉
TOURNAMENT_ALREADY_SIGNED_UP;你已注册了。
TOURNAMENT_DECK_ALREADY_PICKED;这个牌组已经被选中参加比赛了。
TOURNAMENT_DECK_CHANGE_LOST_A_GAME;你不能玩丢失的套牌。
TOURNAMENT_DECK_FIXED_UNTIL_LOSS;在你输掉一轮游戏之前，你无法切换套牌。
TOURNAMENT_DECK_LOCKED;这套牌已经注册参加锦标赛，你无法在锦标赛注册完成前进行编辑。
TOURNAMENT_DECK_LOST_A_GAME;你不能选择丢失的套牌。
TOURNAMENT_DECK_MUST_BE_LEAD;你必须在第一场比赛中使用你的第一个牌组。
TOURNAMENT_DISCARD_DECKS;重新开始
TOURNAMENT_LOBBY;比赛厅
TOURNAMENT_PICKED_DECK;注册＃{0}
TOURNAMENT_SIGNUP;注册
TOURNAMENT_SIGNUP_DECK_1;注册第一层套牌
TOURNAMENT_SIGNUP_DECK_2;注册第二层套牌
TOURNAMENT_SIGNUP_DECK_3;注册第三层套牌
TOURNAMENT_SIGNUP_SUCCESSFUL;比赛报名成功！
REWARD_DECK_SLOT;你获得了牌组位
REWARD_LORE_PAGE;你获得了一张新的故事碎片！
REWARD_FEATURE_LORE_BOOK_ID;你解锁了故事集！
TOURNAMENT_CRUCIBLE_RULES;你必须注册4个甲板才能参加比赛。每个牌组不能包含超过12张相同的牌。\n\n选择每个套牌并一次<b>注册</ b>。一旦注册了所有4个套牌，您就可以加入比赛了。 \n\n<b>小心！</ b>注册完最后一个牌组后，<b>不能</ b>撤消此牌组。请完全确定你正在注册你想要使用的套牌。
LOBBY_CRUCIBLE_RULES;你需要注册4副套牌来参赛。每副套牌不能与其他套牌共用超过12张牌。\n\n依次选择套牌并逐一<b>注册</b>。4副套牌注册完成后，视为你已准备好开始比赛。
TOURNAMENT_DECK_BANNED;你不能选择你的对手禁止的牌组。
TOURNAMENT_DECK_CONFLICT_MESSAGE_TEXT;你牌组的{0}包含超过{1}张相同的牌。冲突的牌组：“{2}”
TOURNAMENT_DECK_PICK_CONFIRM_BUTTON_TEXT;确认
TOURNAMENT_COUNTDOWN_TEXT;下一阶段将在{0}秒开始......
TOURNAMENT_COUNTDOWN_GAME_START_TEXT;游戏从{0}秒开始......
TOURNAMENT_BAN_DECK_TEXT;选择要禁止的套牌
TOURNAMENT_BAN_DECK_SPECTATOR_TEXT;球员正在禁赛
TOURNAMENT_BAN_PHASE_NAME_TEXT;禁止阶段
TOURNAMENT_PICK_DECK_LOCKED_TEXT;作为胜利者，你无法改变套牌。准备好后确认。
TOURNAMENT_PICK_DECK_TEXT;选择要玩的牌组
TOURNAMENT_PICK_DECK_SPECTATOR_TEXT;玩家正在选择套牌
TOURNAMENT_PICK_PHASE_NAME_TEXT;选择阶段
TOURNAMENT_SIGNUP_DECK_4;注册第四层套牌
TOURNAMENT_PHASE_TIME_LEFT;剩余时间：{0}
INVALID_DECK_CARDS_QUANTITY;你的牌组必须包含{0}张牌。
CARD_FILTER_INCOMPLETE;未集齐
MOUSE_REWARD_LORE_PAGE_CLICK_TO_READ;点击以阅读
CARD_FILTER_RESURGENCE;苏生
REWARD_ORIGIN_YOUBACK;欢迎回家！感谢{0}的邀请！
REWARD_ORIGIN_FRIENDBACK;{0} 回来了！
REWARD_ORIGIN_DLCRESURGENCE;苏生
REWARD_FEATURE_PUZZLE_PACKS_ID;你已经解锁了谜题专辑！
PUZZLES_MENU_TITLE_ELEMENTS;元素谜题
PUZZLES_MENU_TITLE_CORE;核心谜题
PUZZLES_DLC_PURCHASE_REWARDS;从中获取的奖励
PUZZLES_DLC_PURCHASE_BUTTON;前往Steam商店
PUZZLE_NEED_LANE_UNLOCK;你需要在冒险模式中通关后才能重玩此谜题。
REWARD_FEATURE_DLC_385;元素谜题已解锁！
REWARD_FEATURE_DLC_383;苏生已解锁！
REWARD_FEATURE_DLC_316;永生沦落已解锁！
REWARD_FEATURE_DLC_315;你已升级为尊贵会员！
REWARD_FEATURE_DLC_187;Steam包已解锁！
REWARD_FEATURE_DLC_16;G2A包已解锁！
REWARD_FEATURE_DLC_15;Early Access包已解锁！
PUZZLES_ACT_COMPLETION_TOOLTIP;解决更多谜题以获取奖励！
MARKET_TAB_WELLS;灵泉
MARKET_TAB_SETS;套装
MARKET_TAB_ORBS;神座
MARKET_TAB_FEATURED;特色
MARKET_TAB_CARD_BACKS;卡背
MARKET_TAB_AVATARS;头像
COSMETIC_SET_SELECT;为你的套牌选择饰品套装
REWARD_ORIGIN_DLCGAGANA;嘎嘎娜云游记
