QUEST_NAME_PUZZLE_DLC_YRUSH_2;神圣干预
QUEST_NAME_PUZZLE_DLC_YRUSH_1;打了就跑
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;落荒而逃
QUEST_NAME_PUZZLE_DLC_WHALES;鲸喜一刻
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;声音
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;扭曲之镜
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;诸鱼之治
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;为了鱼群
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;红宝石牦牛OTK
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;大炮派对
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;云巅捍卫者
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;掩护！
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;骄兵必败
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;科学课
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;超级蟾蜍
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;怪物
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;梦魇
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;攀登
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;终曲
QUEST_NAME_PUZZLE_DLC_MAZE;迷宫
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;意料之外的英雄
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;狩猎开始
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;弑君
QUEST_NAME_PUZZLE_DLC_KAIOS;凯欧思的领域
QUEST_NAME_PUZZLE_DLC_ISTANU;永恒之光
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;魔熊OTK
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;好朋友一辈子
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;Counter Strike
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;铁锤
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;友谊之力
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;铁匠
QUEST_NAME_PUZZLE_DLC_GEMSHELL;选一张牌
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;知识就是力量
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;魔法校车
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;仙灵传说
QUEST_NAME_PUZZLE_DLC_EXPLORER;色彩转换
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;事件OTK
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;ES of Mill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;预言
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;正在施工
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;丰收
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;清道夫
QUEST_NAME_PUZZLE_DLC_BAERU;海洋领主
QUEST_NAME_PUZZLE_DLC_AXOLOTL;抓钩蝾螈
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;当我入梦，青蛙都将颤抖
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;神力过载
QUEST_NAME_LOYALTY_PATCH_03;永生沦落
QUEST_NAME_LOYALTY_PATCH_02;海妖
QUEST_NAME_LOYALTY_PATCH_01;锤击时间
QUEST_NAME_LOYALTY_PATCH_00;腐化
QUEST_NAME_PUZZLE_54;谜题 54
QUEST_NAME_PUZZLE_53;谜题 53
QUEST_NAME_PUZZLE_52;谜题 52
QUEST_NAME_PUZZLE_51;谜题 51
QUEST_NAME_PUZZLE_50;谜题 50
QUEST_NAME_PUZZLE_49;谜题 49
QUEST_NAME_PUZZLE_48;谜题 48
QUEST_NAME_PUZZLE_47;谜题 47
QUEST_NAME_PUZZLE_46;谜题 46
QUEST_NAME_PUZZLE_45;谜题 45
QUEST_NAME_PUZZLE_44;谜题 44
QUEST_NAME_PUZZLE_43;谜题 43
QUEST_NAME_PUZZLE_42;谜题 42
QUEST_NAME_PUZZLE_41;谜题 41
QUEST_NAME_PUZZLE_40;谜题 40
QUEST_NAME_PUZZLE_39;谜题 39
QUEST_NAME_PUZZLE_38;谜题 38
QUEST_NAME_PUZZLE_37;谜题 37
QUEST_NAME_PUZZLE_36;谜题 36
QUEST_NAME_PUZZLE_35;谜题 35
QUEST_NAME_PUZZLE_34;谜题 34
QUEST_NAME_PUZZLE_33;谜题 33
QUEST_NAME_PUZZLE_32;谜题 32
QUEST_NAME_PUZZLE_31;谜题 31
QUEST_NAME_PUZZLE_30;谜题 30
QUEST_NAME_PUZZLE_29;谜题 29
QUEST_NAME_PUZZLE_28;谜题 28
QUEST_NAME_PUZZLE_27;谜题 27
QUEST_NAME_PUZZLE_26;谜题 26
QUEST_NAME_PUZZLE_25;谜题 25
QUEST_NAME_PUZZLE_24;谜题 24
QUEST_NAME_PUZZLE_23;谜题 23
QUEST_NAME_PUZZLE_22;谜题 22
QUEST_NAME_PUZZLE_21;谜题 21
QUEST_NAME_PUZZLE_20;谜题 20
QUEST_NAME_PUZZLE_19;谜题 19
QUEST_NAME_PUZZLE_18;谜题 18
QUEST_NAME_PUZZLE_17;谜题 17
QUEST_NAME_PUZZLE_16;谜题 16
QUEST_NAME_PUZZLE_15;谜题 15
QUEST_NAME_PUZZLE_14;谜题 14
QUEST_NAME_PUZZLE_13;谜题 13
QUEST_NAME_PUZZLE_12;谜题 12
QUEST_NAME_PUZZLE_11;谜题 11
QUEST_NAME_PUZZLE_10;谜题 10
QUEST_NAME_PUZZLE_09;谜题 09
QUEST_NAME_PUZZLE_08;谜题 08
QUEST_NAME_PUZZLE_07;谜题 07
QUEST_NAME_PUZZLE_06;谜题 06
QUEST_NAME_PUZZLE_05;谜题 05
QUEST_NAME_PUZZLE_04;谜题 04
QUEST_NAME_PUZZLE_03;谜题 03
QUEST_NAME_PUZZLE_02;谜题 02
QUEST_NAME_PUZZLE_01;谜题 01
ACT_LOYALTY_PATCH;忠诚扩展包
ACT_JALMYR_04;杰尔马演练 IV
ACT_JALMYR_03;杰尔马演练 III
ACT_JALMYR_02;杰尔马演练 II
ACT_JALMYR_01;杰尔马演练 I
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;以防万一
ACT_DLC_ELEMENTS_TRIBES;云巅部落
ACT_DLC_ELEMENTS_REDBLUE;蒸汽机械
ACT_DLC_ELEMENTS_PAIRS;双生一体
ACT_DLC_ELEMENTS_MOBILITY;驾驭疾风
ACT_DLC_ELEMENTS_LEGENDS;传奇
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;危险生物
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;跨时代的Combo
ACT_DLC_ELEMENTS_CHALLENGE;挑战
ACT_DLC_ELEMENTS_BOARD_CLEAR;扫除干净
ACT_PUZZLE_TUTORIAL;教学谜题
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;牦牛进攻
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;灭绝事件
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;舍丁废物
QUEST_NAME_PUZZLE_DLC_HIPPO;壮烈牺牲
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;愤怒的小熊
QUEST_NAME_PUZZLE_DLC_COMMANDER;如鱼离水
QUEST_NAME_PUZZLE_DLC_BARRACKS;空中垂钓
