ACCOUNT_DOES_NOT_EXIST;这个账号不存在。
ACTIVATION_CODE_FAILED;你的激活码好像有问题。
ACTIVATION_KEY_FAILED;你的激活码好像有问题。
ALREADY_IN_GAME;你已经在游戏中。请尝试登出后再登入。
BAD_CLIENT_VERSION;你的游戏版本已过期。请重新启动游戏。
CANNOT_BE_PLAYER_HAS_NO_DECK;管理员已经把你设置成了玩家，不过你并没有卡牌。
CANNOT_INVITE_FRIEND_DECLINED;你邀请的玩家已经拒绝。朋友邀请现在必须有对方提出。
CANNOT_INVITE_FRIEND_DOES_NOT_EXIST;该玩家不存在。请确保输入正确的玩家ID。
CANNOT_INVITE_FRIEND_OPPONENT;无法邀请你的对手玩家。等比赛结束后再试试。
CANNOT_INVITE_FRIEND_PROLOGUE;无法邀请还没有完成序章的玩家。
CANNOT_INVITE_FRIEND_REFUSED;你想要加入好友的玩家拒绝了你的邀请。
CANNOT_MODIFY_DECK_WHILE_SEARCHING;在为对战寻找对手的时候你不能修改套牌。
CANNOT_PAUSE_DURING_MULLIGAN;游戏不能在起手换牌阶段暂停。
CANNOT_SET_AS_PLAYER_HAS_NO_DECK;无法跟他比赛，因为他没有套牌。
CANNOT_SET_YOURSELF_AS_RECRUITER;你无法把自己变成征募人员。
CANNOT_SIGN_UP_FREEZE_MODE_ON;维护进行中，请稍后登录。
CANNOT_SPECTATE_TOURNAMENT_GAME;无法法观看游戏比赛。
CANNOT_START_FREEZE_MODE_ON;无法开始游戏，服务器满了。十分抱歉！
CANNOT_START_SERVER_REBOOTING;无法开始游戏，服务器准备重新启动。
CARD_COPIES_LIMITED;每张卡牌在一副套牌最多只能有3张。
COMMUNITY_EVENT_INACTIVE_OR_DOES_NOT_EXIST;社区活动现在暂停，或者不存在。
COMMUNITY_EVENT_NO_STEAM_KEYS_LEFT;没有Steam码了，请稍候试试。
CONSTRUCTED_CLOSED;排名比赛今天停赛，只有潘多拉模式可以玩。
COUPON_ALREADY_USED;这个代金券已经被用过了。
COUPON_DOES_NOT_EXIST;代金券号码无效。
COUPON_EXPIRED;你输入的代金券号码已经过期。
COUPON_ITEM_ALREADY_OWNED;你已经拥有了代金券所购置的物件。
COUPON_MAX_ACTIVATIONS_REACHED;这个代金券已经不能再使用，因为最大使用数已经到了。
COUPON_RESERVED;这个代金券是给其他账号保留的。
DECK_SIZE_LIMITED;一副套牌限制为{0}张卡牌。
DISCONNECTED_FROM_WORLD;对战已经就结束，但是你好像与服务器断开了。请重新连接！
FRIEND_DOES_NOT_ALLOW_SPECTATE;你的朋友不允许观看他的比赛。
FRIEND_NO_LONGER_IN_GAME;你的朋友已经不在游戏里了。
GAME_CANCELED_NO_GAMESERVER_FOUND;在你的地区没有游戏服务器！请稍等再试试。
GAME_CANCELED_PLAYER_DID_NOT_REPLY_IN_TIME;你的游戏被取消了(一位玩家没能及时回复)。
GAME_CANCELED_SERVER_DID_NOT_REPLY_IN_TIME;你的游戏被取消了(服务器没能及时反映)。
GAME_CANCELED_SERVER_STOPPING;你的游戏被取消了(服务器暂停服务)。
GAME_CANCELED_VERSION;你的游戏被取消了，因为你的游戏版本不是最新的。
INVALID_HIGHLANDER_DECK_DUPLICATE;无效的高地之战套牌：你不能拥有超过一张同样的卡牌
INVALID_STEAM_KEY;无效的Steam码。
LEGENDARY_CARD_LIMITED;每张传奇卡牌在每副套牌只限有1张。
MAIL_ALREADY_EXISTS;邮箱已经存在。
MARKET_ITEM_ALREADY_OWNED;你已经拥有了这个物品。
NEW_BOSS_MISSION_UNLOCKED;新首领任务解锁！
NO_ACTIONS_LEFT_RETRYING_PUZZLE;你已经没有解密的可能了！再试试吧...
ORB_DIED_RETRYING_PUZZLE;我打败你了！再试试吧...
PAUSE_LIMIT_REACHED;你无法再暂停游戏了(最多暂停游戏上限{0}已经用过了)
PICK_TOURNAMENT_MATCHES_FORMAT;请选择一种比赛模式
PLAYER_LEFT_GAME;玩家 {0} 离开了游戏！
RECIPIENT_IS_OFFLINE;{0}现在不在线
RECRUITER_SET;征募人员成功设定！
SELECT_A_DECK;你需要选择一副套牌。
SERVER_BUSY_TRY_AGAIN;服务器现在繁忙。请稍后再试。
SERVER_COULD_NOT_FIND_GAME;服务器无法找到要求的游戏。
SERVER_SHUTDOWN;服务器在过{0}分钟更新。你需要在你的游戏结束后重新连接。
SERVER_SHUTDOWN_CANCELED;服务器不在关闭。
SERVER_SHUTDOWN_WARNING;服务器在过{0}分钟更新。排队功能会在{1}分钟后关闭。
SPECTATED_PLAYER_LEFT_GAME;你观战的玩家离开了游戏。
STEAM_FINALISE_TXN_FAILED;无法完成交易。
STEAM_ID_NOT_FOUND;Steam账号没有找到。
STEAM_INIT_TXN_FAILED;无法启动交易。
STEAM_PRICE_CHANGED;这个物品的价格已经改变了。请重新尝试。
STEAM_USER_INFO_NOT_FOUND;无法获取Steam用户信息。
UPDATE_CLIENT_TO_PLAY;你需要升级你的客户端才能进入游戏。
UPGRADE_ACCOUNT_FAILED;账号更新失败。
USER_ALREADY_SET_YOU_AS_RECRUITER;{0}已经把你设置成他的招募人员
USER_ALREADY_SIGNED_IN;用户已经登录，1分钟后重试。如果还是同样问题，请联系support@faeria.com。
USER_NAME_INVALID;用户名字只允许包含字母，数字，连字符和下划线。
USER_NAME_RESERVED;用户名字已被预定
USER_NAME_SIZE_MAX_INVALID;用户名字最长为{0}。
USER_NAME_SIZE_MIN_INVALID;用户名字最短为{0}。
USER_NOT_FOUND;用户不存在：{0}
WRONG_ACTIVATION_KEY;看起来这个激活码输入不正确。
WRONG_DECK_SIZE;你的套牌需要{0}张卡牌才可以使用。
WRONG_LEVEL_FOR_ARENA;你需要到达{0}级才可以进入潘多拉模式。
WRONG_LEVEL_FOR_RANKED;你需要达到{0}级以解锁排名模式。
ACCOUNT_IS_BANNED;这个账号被冻结了。
NO_AVAILABLE_LORE_PAGES_LEFT;暂无可收集的故事碎片了！
WRONG_LEVEL_FOR_OVERSKY;你需要达到{0}级以解锁云巅。
WRONG_LEVEL_FOR_PUZZLE;你需要达到{0}级以解锁谜题。
WRONG_LEVEL_FOR_BOSS;你需要达到{0}级以解锁世界boss。
WRONG_LEVEL_FOR_DRAGONS_LAIR;你需要达到{0}级以解锁巨龙巢穴。
PLATFORM_FRIENDS_ONLY_APPEAR_WHEN_ONLINE;只显示那个平台上已登录的好友。
FRIEND_ADDED_SUCCESSFULLY;已成功添加好友！
ALREADY_FRIENDS;你已经和那位玩家成为了好友。
