ACTIVATE;<b>激活</b>
AQUATIC;<b>水生</b>
ARTIFACT;神器
AUTO_HARVEST;<b>自动采集</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;绿色新手卡组
BLUEPRINT_01.shortdescription;收集森林的力量来给你的人类军队提供额外的生命和机动性。在faeria灵泉附近创造一个立足点，然后冲向对方
BLUEPRINT_02.name;红色新手卡组
BLUEPRINT_02.shortdescription;大批食人魔气势汹汹的从山上冲下来，用他们巨大的身体摧毁你的对手，然后一把火结束战斗
BLUEPRINT_03.name;蓝色新手卡组
BLUEPRINT_03.shortdescription;利用事件的力量激起水花！运用跳跃和水生生物来一次性收集多个faeria灵泉。当时机成熟的时候突袭你的对手。
BLUEPRINT_04.name;黄色新手卡组
BLUEPRINT_04.shortdescription;品尝过沙漠中黑暗的喜悦，施展禁忌的仪式并从己方阵亡生物获得力量。消耗生命来获得优势以碾压并吞噬对手。
BLUEPRINT_05.name;蓝色入侵
BLUEPRINT_05.shortdescription;因贪婪收集更多faeria强化自己。专注于抢夺敌方的faeria灵泉，每次收集都会使得自己的庞然大物消耗更低。
BLUEPRINT_06.name;战斗中的荣耀
BLUEPRINT_06.shortdescription;在牦牛的哀歌中击垮并驾驭你的敌人。指挥一支骁勇的军队，让钢铁之礼在战时尤为闪耀。
BLUEPRINT_07.name;致命远征
BLUEPRINT_07.shortdescription;毫不留情冲向你的对手，在强化自己狂热圣徒的同时不计损失的攻击对手的神座。
BLUEPRINT_08.name;超大减价
BLUEPRINT_08.shortdescription;与食人魔达成协议并且用最少的代价去使用最昂贵的卡牌。释放龙和巨兽收获史诗的胜利。
BLUEPRINT_09.name;空中舰队
BLUEPRINT_09.shortdescription;号令苍穹。 你的天兵天将们将使你飞翔的无敌舰队如虎添翼。 让从天而降的死亡直刺敌人的心脏。
BLUEPRINT_10.name;自然之怒
BLUEPRINT_10.shortdescription;森林不会永远的隐忍，而是会主动出击猎杀对手，你的猎手会为你扫清障碍，寻找他们的猎物：你敌人的气息。
CHARGE;<b>冲锋{0}</b>
COMBAT;<b>战斗</b>
CONVOKE;<b>召集</b>
CORRUPT;<b>腐蚀</b>
CREATURE;生物
CURRENCY_COIN;碎片
CURRENCY_GEM;宝石
DAILY_QUEST_00_NAME;终极
DAILY_QUEST_01_NAME;狂暴
DAILY_QUEST_02_NAME;决定
DAILY_QUEST_03_NAME;审判
DAILY_QUEST_04_NAME;征服
DAILY_QUEST_05_NAME;海啸
DAILY_QUEST_06_NAME;茂盛
DAILY_QUEST_07_NAME;炼狱
DAILY_QUEST_08_NAME;沙尘风暴
DAILY_QUEST_09_NAME;平衡
DAILY_QUEST_11_NAME;奇迹
DAILY_QUEST_12_NAME;创造
DAILY_QUEST_13_NAME;神之审判
DAILY_QUEST_14_NAME;决斗
DAILY_QUEST_15_NAME;老兵
DAILY_QUEST_16_NAME;友情任务
DAILY_QUEST_18_NAME;友情任務
DAILY_QUEST_27_NAME;寻宝
DAILY_QUEST_28_NAME;证明自己
DAILY_QUEST_30_NAME;潘多拉觉醒
DAILY_QUEST_31_NAME;观察与学习
DAILY_QUEST_32_NAME;永远的朋友
DAILY_QUEST_33_NAME;花枝招展
DAILY_QUEST_34_NAME;自己动手
DAILY_QUEST_35_NAME;手艺师傅
DAILY_QUEST_COMPLETE_ANY_ACT;完成一个任务或者谜题包
DAILY_QUEST_COMPLETE_2_WILD_ACTS;完成4组随机任务包
DAILY_QUEST_COMPLETE_ANY_LANE;完成1条故事线
DAILY_QUEST_COMPLETE_QUESTS;完成 {0} 个任务
DAILY_QUEST_COMPLETE_QUESTS_OR_PUZZLES;完成 {0} 个任务或者谜题
DAILY_QUEST_COMPLETE_TRAINING_ACT;完成训练任务包
DAILY_QUEST_CRAFT_CARD;合成一张卡牌
DAILY_QUEST_CRAFT_GOLD_CARD;合成一张金卡
