ACCEPT;接受
ACCOUNT_RECOVERY;账号复原
ACCOUNT_RECOVERY_TITLE;还原你的账号
ACTIVATION_KEY;激活码
ADD_A_FRIEND;通过ID添加好友
ADD_NEW_DECK;新套牌
ADVENTURE_POUCH_POINTS;探险旅行包积分
ALLY_TURN;盟友回合
AMBIENT;周围
ARENA_RUN_DECK_NAME;潘多拉套牌
BACK;后退
BIND_ACCOUNT_BUTTON;绑定于{0}
BIND_ACCOUNT_LABEL;已经拥有一个Faeria 账号了？
BLUEPRINT_PANEL_TEXT1;首先试着改变一下其中的一副预设套牌。
BLUEPRINT_PANEL_TEXT2;你还可以使用下面的按钮创建一个自定义牌库。
BLUEPRINT_PANEL_TITLE;想要自己编辑自己的套牌吗？
BLUEPRINT_REQUIREMENT_LEVEL;到达级别
BLUEPRINT_REQUIREMENT_QUEST;完成更多的任务来解锁这个预设套牌
BOOSTER_OPENING_GEMSTITLE;稀有宝石
BOSS_DEFEATED;首领被击败
BOSS_NOT_RELEASED;即将发布
BUILD_YOUR_DECK;定制套牌
CANCEL;取消
CARD_LIMIT_MESSAGE;每张卡牌在一副套牌最多只能有3张。
CHAT_ERROR_MESSAGE_TOO_LONG;信息太长了(最多只能有{0}字母)
CHAT_ERROR_NOBODY_TO_REPLY_TO;没有人可以被回复
CHAT_ERROR_NOT_CONNECTED;你的连接断了。请尝试登出然后再登录。
CHAT_ERROR_NO_INTERLOCUTOR;你没有与任何人聊天。使用/w 命令，好友列表或者点击一个在聊天中的用户名来发送信息。
CHAT_ERROR_ONLY_WITH_FRIENDS;在Faeria，你可以只与你成为好友的人聊天。
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0}不在线：你只能给在线的玩家发送消息。
CHAT_GENERIC_WARNING;请记住，Abrakam Entertainment的员工绝不会在协助你时要你的密码。请勿在聊天中透露敏感信息。
CHAT_HINT_USER_BACK_ONLINE;{0}在线了
CHAT_HINT_USER_WENT_OFFLINE;{0}下线了
CHAT_INPUT_PLACEHOLDER;/w 用户名 你的信息
CHAT_TOOLTIP_DND_MODE;免打扰模式。当此模式打开后，这个窗口在你收到消息时不会弹出。信息会被记录下来。
CHAT_TO_SOMEBODY;到 [{0}]: {1}
CHEST_OPENING_NO_MORE_CHEST;提升等级或完成每日任务来获得更多宝箱！
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;你已经拥有所有神话道具了，晚点再来吧。
CHOOSE_OTHER_BLUEPRINT;更改预设套牌
CLAIM_REWARDS;领取你的奖励
CLEAR;清空
COLLECTION_FILTER_CARD_TYPE;通过卡牌类型过滤
COLLECTION_FILTER_FAERIA_COST;通过Faeria消耗数过滤
COLLECTION_MODE;合成
COLLECTION_SEARCH_PLACEHOLDER;寻找中...
CONFIRM;确认
CONNECTION_LOST_RECONNECTING;连接断了\n正尝试重新连接...
CONNECTION_QUEUE_CAPTION;你在排队中的位置是：
CONNECTION_QUEUE_TITLE;服务器满了！
CONSTRUCTED_MODE;排名模式
CONSTRUCTED_RUN_DECK_NAME;排名套牌
CO_OP_POPUP_JOIN_BUTTON_TEXT;加入
CO_OP_POPUP_LOCKED_BUTTON_TEXT;开始游戏
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;你必须完成这之前的任务。
