BOSS_KING_YAKNUS.description;很久很久以前，人类和牦牛结成联盟。2位领袖通过决斗来决定谁来指挥。胜者会被对方臣民服侍100年。人类国王胜利了，但是每个世纪这场战斗又会开始。这个被叫做...诸牛的末日。
BOSS_GREEN_GENIE.description;当四圣贤衰落以后，阿尔博瑞抛弃了世界并回到了闪烁丛林。在这里生命的循环是永恒的并且盖亚之音回荡其中。
BOSS_BLUE_YELLOW_SURVIVAL.description;玛格妲剿灭了谋杀她母亲的天涯强盗团伙。然而征战的诅咒之灵停留于此，攻击任何进入这里的生物。
BOSS_YAKKAR.description;在雅克兰，牦牛先驱者们为了未来神秘的战争而加紧训练着。他们的领袖维京牦牛在雅克兰竞技场里，传授一种新的战法。
BOSS_AZURE_GENIE.description;很久很久以前，一位伟大的君主向尤迪娜寻求禁忌的知识。尤迪娜觉得很有趣，就满足了国王的愿望。然而最终国王以及他的帝国都没有什么好下场。
BOSS_GREEN_RED_SURVIVAL.description;没有人知道什么把这个曾经辉煌的天堂变成了玻璃。 没有人知道什么使得激怒的守护者保护它。 警告：请注意食人魔。
BOSS_YELLOW_GENIE.description;嚎叫沙漠是伟大达格丹，风怒领主的故乡。达格丹反抗天神阿斯塔尔，拒绝分享飞行的天赋。有一天，一位老妇人从达格丹偷走了这个天赋。她选择分享，由于她的大度，阿斯塔尔赐予了她永保青春以及美貌。她的名字叫伊欧娜。当你在看到沙尘风暴突然无故出现，很有可能是达格丹在为那个老盗贼发怒呢。
BOSS_CRIMSON_GENIE.description;创生熔炉是阿尔罗斯用来使用原始魔法铸造魂魄的地方。他最伟大的创造之一便是熔炉守护，派若斯。然而，派若斯在孤独中逐渐变得疯狂。为了使自己不再寂寞，他运用熔炉创造了一个朋友，命名寇金。遗憾的是派若斯并不是神，所以不能创造一个真正的永生生物。
BOSS_DARK_WISP.description;这个孤独的洞穴里住着一个闹鬼精灵。所有试图研究它的方法都失败了。记录的笔记也都消失了。 占卜法术的结果也是一片空白。 要接近它吗？ 别。 还是...不要。
BOSS_FOUR_COLOR_01.description;即使是神明也必须通过试炼才可以进入宇宙传送门。这个噩梦般的森林充满了世界上最可怕的生物的回声。 准备受死吧。
BOSS_RAIZEON.description;宇宙传送门通向纳克萨斯，在那里雷泽恩看管着主要的现实世界。我的神啊...好多星星啊。
BOSS_JALMYR.description;没有被解答的谜题去哪了？它们去了抚慰之池，在那里杰尔马收集了所有不可知的事物。神话与现实的界线在这里变得模糊。使用的金卡吧，你真的很需要他们。
LIMITED_BOSS_BATTLE.description;帝王凯欧思亲自挑战众神们。每天第一次击败他的军队，你会获得经验以及少许的旅行包积分。
OVERSKY_ISLAND_01_MISSION01.description;帝国已经先你一步到达云巅。他们其中的一个探险家已经抓走了福咕噜。是时候去营救这个传奇般的青蛙了。
OVERSKY_ISLAND_01_MISSION02.description;探险家把福咕噜关键了帝国监狱营。帝国到底要干什么？击败监狱长来找到答案。
OVERSKY_ISLAND_01_MISSION03.description;你已经知道了帝国的真正计划。他们要捕获一个神圣的蛋，并且用魔法阻止它的孵化。帮帮宝宝重获自由吧。
OVERSKY_ISLAND_01_MISSION04.description;神圣的天龙座-牦牛已经孵化出来。问个好吧。
OVERSKY_ISLAND_02_MISSION01.description;你必须通过4重考验才能得到云巅萨满，乌拉妮的帮助。第一个是智慧考验。
OVERSKY_ISLAND_02_MISSION02.description;尊贵的酋长嗒然佳施放了勇气考验。击败他来继续你的旅程。
OVERSKY_ISLAND_02_MISSION03.description;年迈的炸毛牦牛可能看起来傻傻的，但他已经掌握了谦卑的美德。 实在是不难看出为什么。
OVERSKY_ISLAND_02_MISSION04.description;在尤瑞娜之光那里，乌拉妮施放了宁静考验。尽管大多数萨满只服务与单一元素，乌拉妮同时被全部4种元素所爱戴。她会成为一个非常强大的盟友。
OVERSKY_ISLAND_03_MISSION01.description;帮助雅坤通爵士学习神秘的灵光瀑布。 在水的边缘，你会发现一个野生天蓝色的精灵。
OVERSKY_ISLAND_03_MISSION02.description;你已经发现了一个精灵，它看来可能跟古老的阿尔博瑞有关系。或许是她的孩子？
OVERSKY_ISLAND_03_MISSION03.description;你找的了一个火精灵，它散发着一种与派若斯的老朋友寇金有着神秘相似之处。
OVERSKY_ISLAND_03_MISSION04.description;在高耸的灵光瀑布之中，这个小精灵小声呼唤着伊欧娜的名字。
OVERSKY_ISLAND_04_MISSION01.description;牦牛斯派罗守卫着海盗老巢的边境。他带领的云贼团，一个由一群飞天牦牛组成的舰队，利用他们的可爱战胜邪恶。
