PROLOGUE_1_0001;建造地形並召喚生物去攻擊你的敵人。破壞他們的基座來取得勝利！
PROLOGUE_1_0023;歡迎來到Faeria！我是福咕嚕，你的好朋友 --
PROLOGUE_1_0002;別跑啊，青蛙男！
PROLOGUE_1_0024;啊！快救我！我會給你幾張卡牌！
PROLOGUE_1_0007;3點靈力！我可以召喚一個生物了。
PROLOGUE_1_0008;希望你扛的住痛！
PROLOGUE_1_0025;你需要地形來召喚那隻氂牛。
PROLOGUE_1_0011;在這裡召喚它。
PROLOGUE_1_0012;生物必須等一個回合才能攻擊。
PROLOGUE_1_0013;攻擊！
PROLOGUE_1_0026;擊潰那個強盜，讓我們來開始反擊。
PROLOGUE_1_0014;選中您的氂牛。
PROLOGUE_1_0015;攻擊這個強盜。
PROLOGUE_1_0027;我的老氂牛阿！
PROLOGUE_1_0028;向前移動並直接攻擊薩拉。
PROLOGUE_1_0022;打得不錯！
GAMEPAD_PROLOGUE_1_0029;您還可以按下{GAMEPAD_BACK_BUTTONS_R2}作為滑鼠滾輪的快捷方式
GAMEPAD_PROLOGUE_1_0010;將光標移動至氂牛卡牌上，然後按下{GAMEPAD_ACTION_CONFIRM}
MOUSE_PROLOGUE_1_0010;選中您的氂牛
GAMEPAD_PROLOGUE_1_0006;將光標移動至此處，然後按住{GAMEPAD_ACTION_CONFIRM}，即可跳過您的回合。
MOUSE_PROLOGUE_1_0006;跳過您的回合。
GAMEPAD_PROLOGUE_1_0004;按下{GAMEPAD_ACTION_CONFIRM}，可在此處建造。
MOUSE_PROLOGUE_1_0004;在此處建造。
GAMEPAD_PROLOGUE_1_0003;將光標移動至此處，然後按下{GAMEPAD_ACTION_CONFIRM}來建造地塊。
MOUSE_PROLOGUE_1_0003;朝向敵人建造地塊。
