1.cardName;農場男孩
2.cardName;山頂射手
2.cardText;{ranged_attack}
3.cardName;西蘭戰士
4.cardName;西蘭馴馬師
4.cardText;{gift}：給予另一個友軍生物在本回合{charge|3}。
9.cardName;帝國工程師
9.cardText;{gift}：觸發您所有的生產異能。
10.cardName;堅守陣線
10.cardText;將兩張具有{taunt}的2/3<b>帝國守衛</b>放入您的手牌。
11.cardName;移動要塞
12.cardName;蒸汽熔爐
12.cardText;{production}：給予一個隨機友方生物+1/+0。
13.cardName;稅吏
13.cardText;{combat}：獲得{faeria|1}。
14.cardName;療癒頌歌
14.cardText;抽1張牌並獲得5點生命值。
15.cardName;防護罩
15.cardText;目標生物獲得{protection}。
16.cardName;帝國守衛
16.cardText;{taunt}\n{last_words}：獲得2點生命值。
22.cardName;自由鬥士
22.cardText;{haste}
23.cardName;篝火
23.cardText;給予目標生物+1/+1。
24.cardName;獵鷹俯沖
24.cardText;對目標生物造成1點傷害。
29.cardName;劍術大師
29.cardText;在您的回合額外+2/+0。(當在您的手中獲在場上時)
30.cardName;草原氂牛
32.cardName;進擊的氂牛
32.cardText;召喚3個具有{haste}的2/2<b>憤怒氂牛</b>。
33.cardName;懲戒
33.cardText;對目標生物造成2點傷害；若該生物是中立生物，則造成5點傷害。
34.cardName;女王寵幸
34.cardText;{protection}
35.cardName;女王衛士
35.cardText;{taunt}\n{combat}：獲得{faeria|1}。
36.cardName;瑪戈妲，麥洛瓦女王
36.cardText;你的傳說牌費用減少{faeria|1}。\n{production}：將一張隨機的傳說牌放入你的手牌。該張牌轉化為{wild}。
37.cardName;宮廷弄臣
37.cardText;{taunt}\n{gift}：隨機一張手牌中的生物獲得+2/+2。
38.cardName;王前護衛
38.cardText;{taunt}\n{combat}：抽一張牌。
39.cardName;小小英雄
39.cardText;此生物在首次戰鬥後倖存，則獲得+3/+3和{charge|2}。
40.cardName;瑪戈努斯，麥洛瓦國王
40.cardText;{charge|3}\n{combat}：抽一張牌，其費用為{faeria|0}。
41.cardName;瘟疫攜行者
41.cardText;{last_words}：對所有生物造成2點傷害。
42.cardName;攻城器
42.cardText;{ranged_attack}\n此生物每次攻擊後獲得+1/+0。
43.cardName;薩拉，屠龍者
43.cardText;忽略任何大於等於4的傷害。
44.cardName;飢荒
44.cardText;對所有生物造成1點傷害。
45.cardName;皇室法官
45.cardText;{options|抽一張免費的防護罩|抽一張免費的懲戒}\n- 將一張<b>防護罩</b>放入你的手牌。它的費用為{faeria|0}.\n- 將一張<b>懲戒</b>放入你的手牌。其費用為{faeria|0}。
46.cardName;製圖師
46.cardText;{last_words}：將一張<b>探索</b>放入你的手牌。
47.cardName;閃爍雕像
47.cardText;{taunt}\n{production}：你獲得1點生命值。
48.cardName;村落耆老
48.cardText;{last_words}：抽一張牌。
49.cardName;說書人
49.cardText;{gift}：每個玩家抽兩張牌並獲得2點生命值。
50.cardName;雲遊僧侶
50.cardText;每當您抽一張牌，此生物獲得+1/+0。
51.cardName;蒸汽爐執法者
52.cardName;王之忠僕
52.cardText;{protection}
53.cardName;龍襲之日
53.cardText;將4張<b>龍</b>放入您的手牌。它們的費用減少{faeria|3}並轉化為{wild}。
54.cardName;勇敢冒險家
54.cardText;{gift}：每有一個相鄰的敵方生物便獲得+2/+2。
55.cardName;釘錘兵
56.cardName;索加男爵
56.cardText;{last_words}：每位玩家抽一張牌，其費用為{faeria|0}。
57.cardName;智慧
57.cardText;抽兩張牌。
58.cardName;戰爭氂牛
58.cardText;當對手生命值小於等於10時，此生物額外+2/+0。
59.cardName;家園守護者
59.cardText;{taunt}\n{gift}：如果您上回合遭到攻擊，則再召喚一個<b>家園守護者</b>。
60.cardName;女王的刺客
60.cardText;{deathtouch}
61.cardName;通緝要犯
61.cardText;{last_words}：對手抽一張牌並獲得{faeria|2}。
62.cardName;寶藏獵人
62.cardText;當此生物收穫靈力，給予一個隨機的友方生物+1/+1。
63.cardName;異域遊俠
63.cardText;{gift}：將一張<b>篝火</b>放入您的手牌。
64.cardName;帝國汲水器
64.cardText;靈井停止生產靈力。\n{production}：對此建築造成1點傷害。\n{last_words} ： 重新填滿所有靈井。
65.cardName;雨林探險家
65.cardText;當您控制{blue}{blue}後，會獲得+1/+1增益。當您控制{green}{green}後，會獲得+0/+2增益。
66.cardName;火山口探險家
66.cardText;當您控制{blue}{blue}後，會獲得+1/+1增益。當您控制{red}{red}後，會獲得+2/+0增益。
67.cardName;綠洲探險家
67.cardText;當您控制{blue}{blue}後，會獲得+1/+1增益。當您控制{yellow}{yellow}後，會獲得+1/+1增益。
68.cardName;針葉林探險家
68.cardText;當您控制{red}{red}後，會獲得+2/+0增益。當您控制{green}{green}後，會獲得+0/+2增益。
69.cardName;莽原探險家
