ACT_FUGORO.marketDescription;用強大的寶藏卡在福咕嚕的遊戲中獲勝。\n包含 7 個任務。\n總獎勵：4個戰爭寶箱和600金幣。
ACT_FUGORO.marketName;福咕嚕任務包
ACT_FUGORO.marketShortDescription;任務包
ACT_HOAKA.marketDescription;在出名的崔頓戰略家的領地上挑戰他。\n包含 7 個任務。\n總獎勵：4個戰爭寶箱和600金幣。
ACT_HOAKA.marketName;霍卡任務包
ACT_HOAKA.marketShortDescription;任務包
ACT_JALMYR_02.marketDescription;透過解開人面獅身的謎題來增進你的遊戲技巧。\n包含10個謎題。\n總完成獎勵：4戰爭寶箱和600金幣
ACT_JALMYR_02.marketName;亞米爾，第二幕
ACT_JALMYR_02.marketShortDescription;任務包
ACT_JALMYR_03.marketDescription;透過解開人面獅身的謎題來增進你的遊戲技巧。\n包含10個謎題。\n總完成獎勵：4戰爭寶箱和600金幣
ACT_JALMYR_03.marketName;亞米爾，第三幕
ACT_JALMYR_03.marketShortDescription;任務包
ACT_JALMYR_04.marketDescription;透過解開人面獅身的謎題來增進你的遊戲技巧。\n包含10個謎題。\n總完成獎勵：4戰爭寶箱和600金幣
ACT_JALMYR_04.marketName;亞米爾，第四幕
ACT_JALMYR_04.marketShortDescription;任務包
ACT_MAGDA.marketDescription;用獨特的寶藏組合擊敗強大的女王。\n包含 7 個任務。\n總獎勵：4個戰爭寶箱和600金幣。
ACT_MAGDA.marketName;瑪戈妲任務包
ACT_MAGDA.marketShortDescription;任務包
AVATAR_ADVENTURER.marketDescription;跟隨年輕的福咕嚕踏上他的蒼空之旅吧！\n\n這些道具將會為你的神座解鎖一個新的頭像。
AVATAR_AURORA.marketDescription;奧羅拉的嗜好包含培育未來的英雄、導引歷史的推演和品嘗茶飲。\n\n此物品解鎖了一個新頭像。
AVATAR_BLUE_ELEMENTAL_2.marketDescription;賢者有時候會看到在被遺忘的廢墟中看到此生物。\n\n此物品解鎖了一個新頭像。
AVATAR_BLUE_ELEMENTAL_3.marketDescription;他出現在賢者們面前並讓他們得償夙願。讓他們一窺未來景象。\n\n此物品解鎖了一個新的化身。
AVATAR_BOMB_SLINGER.marketDescription;生命的意義不在於你喘了幾口氣，而在於用炸彈奪走你最後一口氣。\n\n此物品解鎖了一個新頭像。
AVATAR_CAP_10.marketDescription;這個機器很久以前是為了保衛而創造。但現在他已經重新被嵌入了為掠奪而生的程序！
AVATAR_DARK_WISP.marketDescription;一個生活在萬物之間的淘氣幽光。\n\n此物品解鎖了一個新頭像。
AVATAR_FUGORO.marketDescription;福咕嚕是世界上心臟最大顆的商販。他常常偷溜過歐洛賽的守護去竊取潘朵拉的寶藏。\n\n此物品解鎖了一個新頭像。
AVATAR_GREEN_ELEMENTAL_2.marketDescription;瘋子有時候會在未開化的樹林深處看到此生物。\n\n此物品解鎖了一個新頭像。
AVATAR_GREEN_ELEMENTAL_3.marketDescription;他出現在瘋子們面前並讓他們得償夙願。森林隨著他們的奇思妙想變形。\n\n此物品解鎖了一個新的化身。
AVATAR_HOAKA.marketDescription;真正的戰術大師。若不是霍卡常發明一些不切實際的新戰術，他應該是無敵的。\n\n此物品解鎖了一個新頭像。
AVATAR_JALMYR.marketDescription;神秘莫測的人面獅身，照看著整個宇宙，為眾神指點迷津。\n\n此物品解鎖了一個新頭像。
AVATAR_KELDRAN_EMISSARY.marketDescription;御風密使帶著蒼生百姓寫下的祈禱，直達天聽。\n\n此物品解鎖了一個新頭像。
AVATAR_KHALIM.marketDescription;在吉丹騎士團當中擁有神童稱號的哈里姆，違抗了師父命令而參與了俗世的戰爭。\n\n此物品解鎖了一個新頭像。
AVATAR_KINGS_GUARD.marketDescription;兵甲必損，然意志長存。皇家守衛永不退縮。\n\n此物品解鎖了一個新頭像。
