QUEST_NAME_PUZZLE_DLC_YRUSH_2;神性干預
QUEST_NAME_PUZZLE_DLC_YRUSH_1;打帶跑
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;踐踏
QUEST_NAME_PUZZLE_DLC_WHALES;時代之鯨
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;聲音
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;扭曲鏡
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;魚的統治
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;為了群聚
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;紅寶氂牛一回殺
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;大砲派對
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;蒼空衛者
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;快找掩護！
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;驕兵必敗
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;科學課
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;超級蟾蜍
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;怪物
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;夢魘
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;登殿
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;終曲
QUEST_NAME_PUZZLE_DLC_MAZE;迷宮
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;意外的英雄
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;狩獵開始
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;弒君
QUEST_NAME_PUZZLE_DLC_KAIOS;統御者凱歐思
QUEST_NAME_PUZZLE_DLC_ISTANU;永恆之光
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;巨熊一回殺
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;一直做朋友
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;反恐菁英
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;那把鐵鎚
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;友誼力量
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;鐵匠
QUEST_NAME_PUZZLE_DLC_GEMSHELL;選擇一張卡
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;知識就是力量
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;魔法學校校車
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;妖精尾巴
QUEST_NAME_PUZZLE_DLC_EXPLORER;色彩切換
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;事件一回殺
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;ES of Mill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;預言
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;正在施工
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;收穫
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;清道夫
QUEST_NAME_PUZZLE_DLC_BAERU;大海領主
QUEST_NAME_PUZZLE_DLC_AXOLOTL;鉤爪蠑螈
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;我做著夢，而青蛙為之顫抖
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;力量滿溢
QUEST_NAME_LOYALTY_PATCH_03;墮落的永生樹
QUEST_NAME_LOYALTY_PATCH_02;海妖斯庫拉
QUEST_NAME_LOYALTY_PATCH_01;鐵鎚時間
QUEST_NAME_LOYALTY_PATCH_00;腐化
QUEST_NAME_PUZZLE_54;謎題54
QUEST_NAME_PUZZLE_53;謎題53
QUEST_NAME_PUZZLE_52;謎題52
QUEST_NAME_PUZZLE_51;謎題51
QUEST_NAME_PUZZLE_50;謎題50
QUEST_NAME_PUZZLE_49;謎題49
QUEST_NAME_PUZZLE_48;謎題48
QUEST_NAME_PUZZLE_47;謎題47
QUEST_NAME_PUZZLE_46;謎題46
QUEST_NAME_PUZZLE_45;謎題45
QUEST_NAME_PUZZLE_44;謎題44
QUEST_NAME_PUZZLE_43;謎題43
QUEST_NAME_PUZZLE_42;謎題42
QUEST_NAME_PUZZLE_41;謎題41
QUEST_NAME_PUZZLE_40;謎題40
QUEST_NAME_PUZZLE_39;謎題39
QUEST_NAME_PUZZLE_38;謎題38
QUEST_NAME_PUZZLE_37;謎題37
QUEST_NAME_PUZZLE_36;謎題36
QUEST_NAME_PUZZLE_35;謎題35
QUEST_NAME_PUZZLE_34;謎題34
QUEST_NAME_PUZZLE_33;謎題33
QUEST_NAME_PUZZLE_32;謎題32
QUEST_NAME_PUZZLE_31;謎題31
QUEST_NAME_PUZZLE_30;謎題30
QUEST_NAME_PUZZLE_29;謎題29
QUEST_NAME_PUZZLE_28;謎題28
QUEST_NAME_PUZZLE_27;謎題27
QUEST_NAME_PUZZLE_26;謎題26
QUEST_NAME_PUZZLE_25;謎題25
QUEST_NAME_PUZZLE_24;謎題24
QUEST_NAME_PUZZLE_23;謎題23
QUEST_NAME_PUZZLE_22;謎題22
QUEST_NAME_PUZZLE_21;謎題21
QUEST_NAME_PUZZLE_20;謎題20
QUEST_NAME_PUZZLE_19;謎題19
QUEST_NAME_PUZZLE_18;謎題18
QUEST_NAME_PUZZLE_17;謎題17
QUEST_NAME_PUZZLE_16;謎題16
QUEST_NAME_PUZZLE_15;謎題15
QUEST_NAME_PUZZLE_14;謎題14
QUEST_NAME_PUZZLE_13;謎題13
QUEST_NAME_PUZZLE_12;謎題12
QUEST_NAME_PUZZLE_11;謎題11
QUEST_NAME_PUZZLE_10;謎題10
QUEST_NAME_PUZZLE_09;謎題09
QUEST_NAME_PUZZLE_08;謎題08
QUEST_NAME_PUZZLE_07;謎題07
QUEST_NAME_PUZZLE_06;謎題06
QUEST_NAME_PUZZLE_05;謎題05
QUEST_NAME_PUZZLE_04;謎題04
