ACCOUNT_DOES_NOT_EXIST;這個帳號不存在。
ACTIVATION_CODE_FAILED;你的啟動序號不正確。
ACTIVATION_KEY_FAILED;你的啟動碼不正確。
ALREADY_IN_GAME;你已在遊戲中，請登出後再重新登入。
BAD_CLIENT_VERSION;你的遊戲版本已經過期，請重新啟動遊戲。
CANNOT_BE_PLAYER_HAS_NO_DECK;管理員已將你設為參賽玩家，但你沒有任何牌組。
CANNOT_INVITE_FRIEND_DECLINED;你提出的朋友邀請已被婉拒，後續你與該玩家成為朋友的邀請必須由對方提出。
CANNOT_INVITE_FRIEND_DOES_NOT_EXIST;該玩家不存在。請確定已輸入了正確的玩家ID。
CANNOT_INVITE_FRIEND_OPPONENT;請待對方目前的戰鬥結束後再送出邀請。
CANNOT_INVITE_FRIEND_PROLOGUE;無法邀請尚未完成序章任務的玩家。
CANNOT_INVITE_FRIEND_REFUSED;你的提出的好友申請已被對方拒絕。
CANNOT_MODIFY_DECK_WHILE_SEARCHING;你無法在搜尋比賽的同時調整牌組。
CANNOT_PAUSE_DURING_MULLIGAN;調度階段無法暫停遊戲。
CANNOT_SET_AS_PLAYER_HAS_NO_DECK;該玩家沒有任何牌組，無法設定為參賽者。
CANNOT_SET_YOURSELF_AS_RECRUITER;你無法將自己設定為邀請人。
CANNOT_SIGN_UP_FREEZE_MODE_ON;正在進行維修，請稍後再登入
CANNOT_SPECTATE_TOURNAMENT_GAME;正式比賽，禁止旁觀。
CANNOT_START_FREEZE_MODE_ON;抱歉！伺服器過載，無法開啟對戰。
CANNOT_START_SERVER_REBOOTING;伺服器即將重啟，無法開啟對戰。
CARD_COPIES_LIMITED;每副牌組中，同一張卡牌的數量上限為三張。
COMMUNITY_EVENT_INACTIVE_OR_DOES_NOT_EXIST;社群活動已結束或不存在。
COMMUNITY_EVENT_NO_STEAM_KEYS_LEFT;已經沒有Steam鑰匙了，請晚點再試試。
CONSTRUCTED_CLOSED;排名賽已截止，僅開放潘朵拉模式。
COUPON_ALREADY_USED;兌換序號已被使用。
COUPON_DOES_NOT_EXIST;無效的兌換序號。
COUPON_EXPIRED;兌換序號已過期。
COUPON_ITEM_ALREADY_OWNED;你已擁有此兌換序號所提供的獎品。
COUPON_MAX_ACTIVATIONS_REACHED;此兌換序號已達到兌換次數上限。
COUPON_RESERVED;此兌換序號已綁定於另一個帳號。
DECK_SIZE_LIMITED;一副牌組限制為{0}張卡牌。
DISCONNECTED_FROM_WORLD;由於你與伺服器斷接導致遊戲中止，請重新連接！
FRIEND_DOES_NOT_ALLOW_SPECTATE;你的好友已設定禁止旁觀。
FRIEND_NO_LONGER_IN_GAME;你的好友已離開對戰。
GAME_CANCELED_NO_GAMESERVER_FOUND;你所在的地區沒有遊戲伺服器，請稍後再試。
GAME_CANCELED_PLAYER_DID_NOT_REPLY_IN_TIME;你的對戰已被取消(一位玩家未能恢復連接)
GAME_CANCELED_SERVER_DID_NOT_REPLY_IN_TIME;你的對戰已被取消(伺服器未響應)
GAME_CANCELED_SERVER_STOPPING;你的對戰已被取消(伺服器已暫停服務)
GAME_CANCELED_VERSION;你的遊戲版本過舊，對戰已被取消。
INVALID_HIGHLANDER_DECK_DUPLICATE;無效的高地之戰牌組！牌組中同樣的卡牌不能超過一張。
INVALID_STEAM_KEY;無效的Steam鑰匙。
LEGENDARY_CARD_LIMITED;相同的傳說卡在牌組中的上限為一張。
MAIL_ALREADY_EXISTS;郵箱已經存在。
MARKET_ITEM_ALREADY_OWNED;你已經擁有此項商品。
NEW_BOSS_MISSION_UNLOCKED;已解鎖新的魔王關卡！
NO_ACTIONS_LEFT_RETRYING_PUZZLE;你陷入死局了！請重新嘗試…
ORB_DIED_RETRYING_PUZZLE;你已被我擊敗！請重新嘗試…
PAUSE_LIMIT_REACHED;已到達暫停上限{0}次，你已無法再暫停遊戲。
PICK_TOURNAMENT_MATCHES_FORMAT;請選擇一種比賽
PLAYER_LEFT_GAME;玩家 {0} 離開了遊戲！
