ACTIVATE;<b>啟動</b>
AQUATIC;<b>水生</b>
ARTIFACT;神器
AUTO_HARVEST;<b>自動採集</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;Zelený začátek
BLUEPRINT_01.shortdescription;收集森林的力量並用額外的生命與機動性支援你的人類軍隊。在靈井附近建造一個立足點，然後衝向對手的神座！
BLUEPRINT_02.name;Červený začátek
BLUEPRINT_02.shortdescription;大批食人魔來勢洶洶的衝下山來。用他們巨大的身體摧毀對手，最後用火焰來結束一切。
BLUEPRINT_03.name;Modrý začátek
BLUEPRINT_03.shortdescription;運用法術的力量來激起浪花吧！運用跳躍和水生生物一次採集多個靈井。待時機成熟時向對手展開進攻。
BLUEPRINT_04.name;Žlutý začátek
BLUEPRINT_04.shortdescription;品嚐沙漠中的黑暗喜悅。施展禁忌儀式並從死去的生物獲得強大的力量。消耗自己的生命來取得比對手更大的優勢然後擊倒他們。
BLUEPRINT_05.name;藍色侵略
BLUEPRINT_05.shortdescription;貪婪的採集更多靈力來強化自己。專注於搶奪對手的靈井，每次採集都能讓你手牌中的巨像消耗更低。
BLUEPRINT_06.name;戰鬥中的榮耀
BLUEPRINT_06.shortdescription;在氂牛的的哀嘆中擊垮並駕馭你的敵人。指揮一支驍勇的軍隊，並讓鋼鐵饋禮在戰鬥中發揮它的價值。
BLUEPRINT_07.name;Křížová výprava
BLUEPRINT_07.shortdescription;不留情面的直接朝對手進攻。強化你的狂熱聖鬥士並不計代價的襲向對手。
BLUEPRINT_08.name;最終協議
BLUEPRINT_08.shortdescription;與食人魔達成協議並用較低的費用來使用那些昂貴的卡牌。釋放飛龍和巨獸來獲得勝利吧。
BLUEPRINT_09.name;Nebeské loďstvo
BLUEPRINT_09.shortdescription;號令蒼空。你的鳥舍能夠強化你的空中艦隊。從上空給對手致命一擊吧。
BLUEPRINT_10.name;自然之怒
BLUEPRINT_10.shortdescription;森林不僅是只會耐心等待機會。主動向對手出擊並為你的獵神者清出一條道路，讓他們能夠追蹤獵物：對手的頭顱。
CHARGE;<b>疾行 {0}</b>
COMBAT;<b>戰鬥</b>
CONVOKE;<b>召集</b>
CORRUPT;<b>腐化</b>
CREATURE;生物
CURRENCY_COIN;碎片
CURRENCY_GEM;寶石
DAILY_QUEST_00_NAME;終極
DAILY_QUEST_01_NAME;狂暴
DAILY_QUEST_02_NAME;決定
DAILY_QUEST_03_NAME;審判
DAILY_QUEST_04_NAME;征服
DAILY_QUEST_05_NAME;海嘯
DAILY_QUEST_06_NAME;茂盛
DAILY_QUEST_07_NAME;煉獄
DAILY_QUEST_08_NAME;沙塵暴
DAILY_QUEST_09_NAME;平衡
DAILY_QUEST_11_NAME;奇蹟
DAILY_QUEST_12_NAME;創造
DAILY_QUEST_13_NAME;神之審判
DAILY_QUEST_14_NAME;決鬥
DAILY_QUEST_15_NAME;老兵
DAILY_QUEST_16_NAME;友情任務
DAILY_QUEST_18_NAME;友情任務
DAILY_QUEST_27_NAME;尋寶
DAILY_QUEST_28_NAME;自我證明
DAILY_QUEST_30_NAME;潘朵拉覺醒
DAILY_QUEST_31_NAME;學著點
DAILY_QUEST_32_NAME;永遠的好朋友
DAILY_QUEST_33_NAME;花枝招展
DAILY_QUEST_34_NAME;自行動手
DAILY_QUEST_35_NAME;手作達人
DAILY_QUEST_COMPLETE_ANY_ACT;完成一組任務包或謎題包
DAILY_QUEST_COMPLETE_2_WILD_ACTS;完成四個隨機任務包
DAILY_QUEST_COMPLETE_ANY_LANE;完成一條故事線
DAILY_QUEST_COMPLETE_QUESTS;完成{0}個任務
DAILY_QUEST_COMPLETE_QUESTS_OR_PUZZLES;完成{0}個任務或解謎
DAILY_QUEST_COMPLETE_TRAINING_ACT;完成訓練任務包
DAILY_QUEST_CRAFT_CARD;請任意合成一張卡牌
