ACCEPT;接受
ACCOUNT_RECOVERY;帳號復原
ACCOUNT_RECOVERY_TITLE;回復你的帳號
ACTIVATION_KEY;啟動碼
ADD_A_FRIEND;通過ID添加好友
ADD_NEW_DECK;新牌組
ADVENTURE_POUCH_POINTS;冒險背包點數
ALLY_TURN;夥伴的回合
AMBIENT;周圍
ARENA_RUN_DECK_NAME;潘朵拉牌組
BACK;退回
BIND_ACCOUNT_BUTTON;綁定於{0}
BIND_ACCOUNT_LABEL;已有Faeria帳號？
BLUEPRINT_PANEL_TEXT1;一開始可以從調整一副預設牌組開始。
BLUEPRINT_PANEL_TEXT2;您還可以透過按下下面的按鈕來創建自定義牌組。
BLUEPRINT_PANEL_TITLE;想要自行編輯牌組嗎？
BLUEPRINT_REQUIREMENT_LEVEL;達到等級
BLUEPRINT_REQUIREMENT_QUEST;完成更多任務已解鎖此預設牌組
BOOSTER_OPENING_GEMSTITLE;稀有寶石
BOSS_DEFEATED;魔王已被擊敗
BOSS_NOT_RELEASED;即將公開
BUILD_YOUR_DECK;自訂牌組
CANCEL;取消
CARD_LIMIT_MESSAGE;相同的卡牌在牌組中的上限為3張。
CHAT_ERROR_MESSAGE_TOO_LONG;訊息過長(上限為{0}個字母)
CHAT_ERROR_NOBODY_TO_REPLY_TO;無可回覆對象。
CHAT_ERROR_NOT_CONNECTED;你的連接已中斷。請登出後再重新登入。
CHAT_ERROR_NO_INTERLOCUTOR;你未與任何人聊天。請使用/w指令、好友列表或是點擊對話視窗中的使用者名稱以發送訊息。
CHAT_ERROR_ONLY_WITH_FRIENDS;你僅可與在Faeria遊戲成為好友的對象聊天。
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0} 目前不在線上：你可發送訊息給線上玩家。
CHAT_GENERIC_WARNING;請牢記，Abrakam Entertainment的員工在為您服務時絕對不會要求您輸入密碼。聊天內容中切勿包含敏感資料。
CHAT_HINT_USER_BACK_ONLINE;{0}上線啦！
CHAT_HINT_USER_WENT_OFFLINE;{0}離線了。
CHAT_INPUT_PLACEHOLDER;/w 用戶名稱你的訊息
CHAT_TOOLTIP_DND_MODE;防打擾模式。當此模式啟動時，訊息僅會紀錄下來而不會彈出視窗。
CHAT_TO_SOMEBODY;到[{0}]：{1}
CHEST_OPENING_NO_MORE_CHEST;透過提升等級或完成每日任務來獲得更多寶箱！
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;你已擁有所有神話遺物。晚點再來吧。
CHOOSE_OTHER_BLUEPRINT;選擇另一副預設牌組
CLAIM_REWARDS;領取你的獎勵
CLEAR;清空
COLLECTION_FILTER_CARD_TYPE;依卡牌類型篩選
COLLECTION_FILTER_FAERIA_COST;依靈力費用篩選
COLLECTION_MODE;合成
COLLECTION_SEARCH_PLACEHOLDER;尋找中...
CONFIRM;確認
CONNECTION_LOST_RECONNECTING;連接斷開\n正在嘗試重新連接...
CONNECTION_QUEUE_CAPTION;你在對戰配對中的排序是：
CONNECTION_QUEUE_TITLE;伺服器已滿！
CONSTRUCTED_MODE;排名模式
CONSTRUCTED_RUN_DECK_NAME;排名模式牌組
CO_OP_POPUP_JOIN_BUTTON_TEXT;加入
CO_OP_POPUP_LOCKED_BUTTON_TEXT;開始遊戲
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;你必須完成前面的任務已解鎖此項
CO_OP_POPUP_ALLY_SELECTION_TITLE;邀請你的夥伴
CO_OP_POPUP_NO_ALLY;沒有空閒中的盟友
CO_OP_LOBBY_CANCELLED;你的夥伴取消了任務
COUPON_REDEEM;兌換
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;搜尋配對暫時無法分解此張卡牌
CRAFT_LEGENDARY_ERROR;你無法合成一張傳說卡。
CRAFT_GOLD_CARD_ERROR;你無法合成金卡。
CRAFT_FOURTH_CARD;此張卡牌你已經擁有3張或更多
CRAFT_NOT_ENOUGH_CHARGES;你沒有足夠的充能來合成這張卡
CRAFT_FULLY_CHARGED;充能已滿
CRAFT_ACCOUNT_LEVEL_TOO_LOW;你必須至少提升到{0}等才能合成這張卡
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;合成
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;分解
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;分解所有多餘的卡牌
CRAFT_MODE_UNAVAILABLE_TOOTIP;你必須到達等級{0}才能合成卡牌
CRAFT_SECOND_LEGENDARY_CARD;你已經有這張傳說了
CREATE_BLUEPRINT_DECK;創造
CREATE_YOUR_ACCOUNT;創造你的帳號
DAILY_REWARD_NEXT;下一個
DAILY_REWARD_TITLE;每日登入獎勵
DAILY_REWARD_POPUP_TITLE;每日登入獎勵
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;顯示金卡？
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;標準
DECKEDITOR_SAVETEXT;儲存
DECKLAYOUT_INCOMPLETE_TEXT;不完全
DECKSELECTION_SOLO_INFO;此為任務模式的牌組選單。回到主畫面以創建或編輯牌組。
DECK_EDITOR_BUY_BATTLE_CHEST;購買寶箱以獲取更多卡牌。
DECK_EDITOR_FILTER_NO_RESULT;無符合搜尋條件相的卡牌。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;你沒有藍色卡牌。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;你沒有綠色卡牌。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;你沒有中立卡牌。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;你沒有紅色卡牌。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;你沒有黃色卡牌。
DECK_SIZE;牌組數量：
DECK_SLOT_PURCHASE;增加+5格牌組欄位
DELETE;刪除
DISCONNECT;斷開連線
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;你必須擁有超過{0}張卡牌才能分解卡牌
DONE;完成
DROP_RUN;退出
DYNAMIC_BUNDLE_CONFIRM_WARNING;組合包調整：你已擁有這個組合包的部分物品，價格將會獲得對應的折扣。
EDIT;編輯
ELITE_MISSIONS_BUTTON_TEXT;世界首領
ELITE_MISSIONS_BUTTON_TOOLTIP;需求等級{0}
EMAIL_ADDRESS;電子信箱
EMOTE_MENU_GREETINGS;你好啊！
EMOTE_MENU_OOPS;啊咧！
EMOTE_MENU_TAUNT;嘲諷
EMOTE_MENU_UNIQUE;特殊
EMOTE_MENU_WELL_PLAYED;玩得漂亮
EMOTE_MENU_WOW;喔喔喔！
END_TURN;回合結束
ENEMY_TURN;對手回合
ENTER_DECK_NAME;輸入牌組名稱
ENTER_YOUR_RECRUITERS_NAME;輸入邀請人的名稱
EVENING;晚
EVENT_BUTTON_TEXT_SEND;送出
