AURORA_EPIC_01_0001;Ty bys zranil starou ženu?
AURORA_EPIC_01_0002;Tohle nemusíš dělat..
AURORA_EPIC_01_0003;Tvoje bytost bude šťastnější se mnou.
AURORA_EPIC_01_0004;Mohu nabídnout nějaký čaj, miláčku?
AURORA_EPIC_01_0005;Válka dělá rámus. Odpočiň si na chvilku.
AURORA_EPIC_01_0006;Pukud hodíš zelený kámen do fialové řeky, co se stane?
AURORA_EPIC_01_0007;Odpověď: Kámen šplouchne.
AURORA_EPIC_01_0008;Takový nádherný den.
AURORA_EPIC_01_0009;Můj čaj je téměř hotový.
AURORA_EPIC_01_0010;Můj čaj je hotový.
AURORA_EPIC_01_0011;Mockrát děkuji za chvilku na čaj.
AURORA_EPIC_01_0012;Neměli jste ji nechat dokončit její čaj...
