FUGORO_EPIC_03_0001;Získal jsem nové poklady.
FUGORO_EPIC_03_0002;Někteří tvrdí, že tato živá socha kdysi bývala Oroseinina sestra.
FUGORO_EPIC_03_0003;Velekněz Sario si své oběti vychutnával nekonečně. Doslova nekonečně.
FUGORO_EPIC_03_0004;Tohle vyhrálo každoroční soutěž Postav lepšího Zemětřese!
FUGORO_EPIC_03_0005;Pro tuhle krásku jsem se musel vplížit do Garudanovy hory.
FUGORO_EPIC_03_0006;Šílený král vytvořil celý dvůr Mechanických jaků.
FUGORO_EPIC_03_0007;Tohle vytvořil bezejmenný mnich. Já mu říkám Jerry.
FUGORO_EPIC_03_0008;V kalichu nalit je lahodný mok, neboj se, dej si lok.
FUGORO_EPIC_03_0009;Srdce divokých bestií bijí v rytmu tohoto bubnu.
FUGORO_EPIC_03_0010;Tento roh kdysi patřil samotnému Jaknusovi.
FUGORO_EPIC_03_0011;Přestože Aramis padl, jeho čepel se odmítla vzdát boje.
