OVERSKY_ISLAND_01_MISSION04_0002;Podívej na tu roztomilou malou věcičku.
OVERSKY_ISLAND_01_MISSION04_0001;Vrr!
OVERSKY_ISLAND_01_MISSION04_0004;Jejda! Zdá se, že si chce hrát.
OVERSKY_ISLAND_01_MISSION04_0009;Pojďme děťátko uložit do postýlky.
OVERSKY_ISLAND_01_MISSION04_0010;Vrrr! Vrrrrr!
OVERSKY_ISLAND_01_MISSION04_0011;To volá svoje rodiče?
OVERSKY_ISLAND_01_MISSION04_0012;Tady, vezmi si tohle!
OVERSKY_ISLAND_01_MISSION04_0005;Vrrr! Zábava!
OVERSKY_ISLAND_01_MISSION04_0006;Jů, vypadá to, že se učí mluvit!
OVERSKY_ISLAND_01_MISSION04_0013;Jejda!
