PROLOGUE_2_0001;Bytosti mohou sbírat další faerii ze studen faerie.
PROLOGUE_2_0002;Budu ovládat VŠECHNY ČTYŘI studny faerie.
PROLOGUE_2_0003;Dostaň svého Chlapce z farmy vedlé této studny.
PROLOGUE_2_0004;Nepoužitá faerie je uchována pro další tah.
PROLOGUE_2_0005;Jezdče, sbírej faerii!
PROLOGUE_2_0006;Bytosti vedle studny sklízí automaticky.
PROLOGUE_2_0010;Ups, nechal jsem zapálená kamna! Dokončíš tenhle boj beze mě? Díky!
PROLOGUE_2_0007;Prosím, neútoč na mě.
PROLOGUE_2_0008;A ani se NEOPOVAŽUJ nám ukrást faerii!
PROLOGUE_2_0009;Události mohou být použity pouze jednou. Vybírej obezřetně.
