PROLOGUE_5_0001;Hodně štěstí…
PROLOGUE_5_0002;Úctyhodná oběť.
PROLOGUE_5_0003;Ovládám teď VŠECHNY čtyři živly!
PROLOGUE_5_0004;Opatrně. S tímhle
PROLOGUE_5_0014;Moje mysl je nekonečná!
PROLOGUE_5_0005;Tvoje smrt přichází z pouště!
PROLOGUE_5_0006;SHOŘ!
PROLOGUE_5_0007;Odemčeny dvě nové schopnosti!
PROLOGUE_5_0008;Můžete si buď líznout kartu, NEBO získat 1 faerii namísto vytvoření pevniny.
PROLOGUE_5_0009;Teď už toho bylo dost!
PROLOGUE_5_0010;Skloň se před mým duchem!
PROLOGUE_5_0011;Tato bytost má Poslední slova.
PROLOGUE_5_0012;Musíš toho ducha zabít!
PROLOGUE_5_0013;NE! COS TO UDĚLAL!
GAMEPAD_PROLOGUE_5_0015;Pomocí {GAMEPAD_BACK_BUTTONS_L1} a {GAMEPAD_BACK_BUTTONS_R1} si prohlížíte karty v ruce.
