1.cardName;Chlapec z farmy
2.cardName;Lukostřelec z Vršku
2.cardText;{ranged_attack}
3.cardName;Sylandský válečník
4.cardName;Sylandský jezdec
4.cardText;{gift} - Dá jiné spojenecké bytosti pro tento tah schopnost {charge|3}.
9.cardName;Říšský inženýr
9.cardText;{gift} - Aktivuje všechny produkce spojeneckých jednotek.
10.cardName;Udržte linii!
10.cardText;Přidá do vaší ruky dvě <b>Říšské stráže</b> (2/3) se schopností {taunt}.
11.cardName;Chodící pevnost
12.cardName;Parní kovárna
12.cardText;{production} - Přidá náhodné spojenecké bytosti +1/+0.
13.cardName;Výběrčí daní
13.cardText;{combat} - Získáte {faeria|1}.
14.cardName;Léčivá píseň
14.cardText;Líznete si kartu a získáte 5 životů.
15.cardName;Ochranná ruka
15.cardText;Přidá bytosti schopnost {protection}.
16.cardName;Říšská stráž
16.cardText;{taunt}\n{last_words} - Získáte 2 životy.
22.cardName;Bojovník za svobodu
22.cardText;{haste}
23.cardName;Táborák
23.cardText;Přidá bytosti +1/+1.
24.cardName;Sokolí nálet
24.cardText;Udělí zvolené bytosti 1 poškození.
29.cardName;Mistr šermíř
29.cardText;Zatímco je ve hře nebo vaší ruce má během vašeho tahu +2/+0.
30.cardName;Stepní jak
32.cardName;Útok jaků
32.cardText;Přivolá tři <b>Zuřivé jaky</b> (2/2) a přidá jim schopnost {haste}.
33.cardName;Trest
33.cardText;Udělí bytosti 2 poškození. Pokud je to neutrální bytost, udělí 5.
34.cardName;Královnin oblíbenec
34.cardText;{protection}
35.cardName;Královnina stráž
35.cardText;{taunt}\n{combat} - Získáte {faeria|1}.
36.cardName;Magda, královna Merovalu
36.cardText;Vaše Legendy stojí o {faeria|1} méně.\n{production} - Přidá do vaší ruky náhodnou Legendu. Takto získaná Legenda bude {wild}.
37.cardName;Dvorní šašek
37.cardText;{taunt}\n{gift} - Náhodná bytost ve vaší ruce získá +2/+2.
38.cardName;Králova stráž
38.cardText;{taunt}\n{combat} - Líznete si kartu.
39.cardName;Nepravděpodobný hrdina
39.cardText;Získá +3/+3 a vlastnost {charge|2}, pokud přežije svůj první souboj.
40.cardName;Magnus, král Merovalu
40.cardText;{charge|3}\n{combat} - Líznete si kartu. Získaná karta stojí {faeria|0}.
41.cardName;Moronoš
41.cardText;{last_words} - Udělí VŠEM bytostem 2 poškození.
42.cardName;Obléhací stroj
42.cardText;{ranged_attack}\nPo svém útoku získá +1/+0.
43.cardName;Sharra, drakobijka
43.cardText;Sharra ignoruje veškeré poškození rovné 4 či více.
44.cardName;Hladomor
44.cardText;Udělí VŠEM bytostem 1 poškození.
45.cardName;Královský soudce
