LOADING_HINT_QUEST_0;Tip: Na začátku každého tahu získáš {faeria|3} faerie.
LOADING_HINT_QUEST_1;Tip: Nepoužitá faerie je uchována pro další tah.
LOADING_HINT_QUEST_2;Tip: Schopnosti jsou vysvětleny nad každou kartou.
LOADING_HINT_QUEST_3;Tip: Tvořte pevniny poblíž nepřátelského orbu.
LOADING_HINT_QUEST_4;Tip: Zabijte Trnové bludičky dříve, než vyrostou.
LOADING_HINT_QUEST_5;Tip: Ve Faerii jsou 4 barvy. Každá barva má svůj vlastní typ pevniny.
LOADING_HINT_QUEST_6;Tip: Ruunin je pradávná, nesmrtelná strážkyně lesa.
LOADING_HINT_QUEST_7;Tip: Červené karty používají moc ohnivých hor.
LOADING_HINT_QUEST_8;Seifer vypálil své jmeno do popela padlých království.
LOADING_HINT_QUEST_9;Tip: Bytost se schopností Skok se může pohnout až o 2 políčka jakýmkoliv směrem a přes jakoukoliv překážku.
LOADING_HINT_QUEST_10;Tip: Stav pevninu, abys zablokoval Vodní nepřátele.
LOADING_HINT_QUEST_11;Tip: Khalim je agresivní. Dávejte si na svůj orb velký pozor.
LOADING_HINT_QUEST_13;Shařina vesnice shořela, když byla ještě dítě. A s ní také její strach.
LOADING_HINT_QUEST_20;Magda je královna Merovalu. Hrdinové a zločinci jsou pouhými nástroji v jejích velkých plánech.
LOADING_HINT_QUEST_25;Krogovy taneční oslavy z dálky často zní jako blížící se bouře.
LOADING_HINT_QUEST_26;Tarum byl prvním zasazeným semínkem. Spatřil vzestup hor, zrod draků a pád dávných bohů.
LOADING_HINT_QUEST_29;Tip: Vyhrajte rychle! Tarumova moc postupně roste.
LOADING_HINT_QUEST_30;Hoaka neustále vymýšlí nové hrací plochy.
LOADING_HINT_QUEST_48;Mezi Aurořiny koníčky patří výuka budoucích hrdinů a ochutnávání nových druhů čaje.
LOADING_HINT_QUEST_49;Khalim, zázračné dítě z Djidanského řádu, se vzepřel svým mistrům a vstoupil do pozemské války.
LOADING_HINT_QUEST_54;Některé ryby prostě jen chtějí vidět svět shořet.
LOADING_HINT_QUEST_64;Záhadný Jalmyr opatruje kosmos a hraje roli učitele bohů.
LOADING_HINT_QUEST_117;Tip: Poklady jsou mocné karty, které naleznete v Pandoře.
LOADING_HINT_QUEST_118;Fugoro cestuje světem a sbírá ty nejroztodivnější bájné relikvie.
LOADING_HINT_RANDOM_DEATHTOUCH_ONLY_IF_DAMAGE;Tip: Dotyk Smrti zabije bytost, jenom pokud udělí nějaké poškození. Ochrana poškození blokuje.
LOADING_HINT_RANDOM_TIKIS_CAN_TARGET_THEMSELVES;Tip: Tikijský domovník a Tikijský dudák mohou zaměřit sami sebe.
LOADING_HINT_RANDOM_FROGS_PLACED_ON_LAKES;Tip: Žáby z karty Bojové ropuchy mohou být vyvolány jen na jezeře.
LOADING_HINT_RANDOM_HEAL_ORB_MAX_20;Tip: Nemůžete si doplnit své zdraví na více než 20 životů.
LOADING_HINT_RANDOM_COMPLETE_SOLO_CONTENT;Tip: Dokončení Sólo misí je nejlepší způsob, jak začít.
LOADING_HINT_RANDOM_RED_COLOR_EXPLAINED;Tip: Červená je barva ohně a války.
LOADING_HINT_RANDOM_BLUE_COLOR_EXPLAINED;Tip: Modrá je barva přeměny a lstí.
LOADING_HINT_RANDOM_GREEN_COLOR_EXPLAINED;Tip: Zelená je barva růstu a divokých predátorů.
LOADING_HINT_RANDOM_YELLOW_COLOR_EXPLAINED;Tip: Žlutá je barva větru a rychlosti.
LOADING_HINT_RANDOM_CHARGE_CANT_PASS_THROUGH;Tip: Schopnost Nájezd neumožňuje pohyb skrz ostatní bytosti.
LOADING_HINT_RANDOM_BLOCK_AQUATIC_WITH_LANDS;Tip: Stavte pevninu, abyste zablokovali vodní nepřátele.
LOADING_HINT_RANDOM_DAILY_QUEST_1;Tip: Nejefektivnější cestou k získání bitevních truhel je přihlásit se každý den a plnit denní úkoly.
LOADING_HINT_RANDOM_THE_HUB;Věděli jste: faeria.com/the-hub je naše oficiální stránka, kde mohou hráči publikovat své vlastní návody
LOADING_HINT_RANDOM_CARDBACK_FROM_SOLO;Tip: Dokončete všechny sólo mise pro odemknutí Dračího rubu karty.
LOADING_HINT_RANDOM_PANDORA_ECONMY;Tip: Když se Pandora probudí, všechny studny faerie jsou zničeny a hráči dostávají dvojnásobek faerie každý tah.
LOADING_HINT_RANDOM_TAUNT_BEST_DEFENSE;Tip: Bytosti se schopností Provokace jsou často nejlepším nástrojem obrany.
LOADING_HINT_RANDOM_BUILD_LANDS_EARLY_GAME;Tip: Ze začátku hry stavte pevninu. Šetřete si tlačítka +1 karta nebo +1 faerie na později.
LOADING_HINT_RANDOM_GIANT_LATEGAME_CREATURES_EXIST;Tip: Mnoho balíčků má v sobě mocné karty pro pozdější fázi hry. Sežeňte si nástroje na jejich odstranění.
LOADING_HINT_RANDOM_COUNTERING_RUSH_1;Tip: Pokud hrajete proti agresivní taktice, posuňte své bytosti na nepřátelské pevniny blízko vašeho orbu.
LOADING_HINT_RANDOM_STRUCTURES_LEGAL_PLACEMENT;Tip: Budovy můžou být zahrány na pevnině jakékoliv barvy.
LOADING_HINT_RANDOM_STRUCTURES_DIRECTLY_ACTIVATES;Tip: Budovy mohou být aktitovávny už během tahu, ve kterém jsou přivolány.
LOADING_HINT_RANDOM_GET_LANDS_NEAR_OPPONENT;Tip: Zkuste stavět pevninu hned vedle nepřátelského boha.
LOADING_HINT_RANDOM_OVERDRAWING_DESTROYS_CARDS;Tip: Můžete držet jenom 9 karet najednou. Přebytečné karty jsou při líznutí zničeny.
LOADING_HINT_RANDOM_COUNTERING_RUSH_2;Tip: Tip: Porazte agresivní hráče blokováním jejich pevnin. Proveďte protiútok, než se k vám dostanou.
LOADING_HINT_RANDOM_YAK_LORE_1;<i>pokud ublížíš jakovi, ublížíš celému světu</i>\n<align=right>Sylandské rčení</align>
LOADING_HINT_RANDOM_FRIENDS_BLOCK_RANGED;Tip: Bytosti se schopností Střelba nemůžou střílet skrz spojenecké bytosti.
LOADING_HINT_RANDOM_LANDS_ARE_BETTER_THAN_CARDS;Tip: Vytváření pevnin je většinou důležitější než lizání karet.
LOADING_HINT_RANDOM_ENDGAME_THREATS_EXIST;Tip: Některé hrozby vás potrestají za zdržovaní. Jakmile máte výhodu, zaútočte!
LOADING_HINT_RANDOM_FATIGUE_HURTS;Tip: Jakmile vám dojdou karty v balíčku, bude vám udělováno místo karet postupně se zvyšující poškození.
LOADING_HINT_RANDOM_JALMYR_LORE_2;Jalmyrovy pokrokové hádanky často zmatou i ty nejvíce zběhlé hráče.
LOADING_HINT_RANDOM_STEAM_FORGE_LORE;Říšské parní kovárny, v nichž je zatápěno faerií, jsou nepředvídatelné, ale efektivní.
LOADING_HINT_RANDOM_JALMYR_LORE_3;Jalmyr se nedokázal přimět k tomu, aby zcela zničil svého bratra, pána temnoty.
