ACT_FUGORO.marketDescription;Hrajte s mocnými kartami pokladů and překonejte Fugora v jeho vlastní hře.\nObsahuje 7 misí.\nCelková odměna: 4 bitevní truhly a 600 zlaťáků.
ACT_FUGORO.marketName;Fugorův balík misí
ACT_FUGORO.marketShortDescription;Balík misí
ACT_HOAKA.marketDescription;Vyzvěte slavného Tritonského taktika na jeho neotřelých hracích plochách.\nObsahuje 7 misí.\nCelková odměna: 4 bitevní truhly a 600 zlaťáků.
ACT_HOAKA.marketName;Hoakův balík misí
ACT_HOAKA.marketShortDescription;Balík misí
ACT_JALMYR_02.marketDescription;Vyřešte hádanky Sfingy a zdokonalte své schopnosti.\nObsahuje 10 hádanek\nCelková odměna: 4 bitevní truhly a 600 zlaťáků.
ACT_JALMYR_02.marketName;Jalmyr, Akt II
ACT_JALMYR_02.marketShortDescription;Balík misí
ACT_JALMYR_03.marketDescription;Vyřešte hádanky Sfingy a zdokonalte své schopnosti.\nObsahuje 10 hádanek\nCelková odměna: 4 bitevní truhly a 600 zlaťáků.
ACT_JALMYR_03.marketName;Jalmyr, Akt III
ACT_JALMYR_03.marketShortDescription;Balík misí
ACT_JALMYR_04.marketDescription;Vyřešte hádanky Sfingy a zdokonalte své schopnosti.\nObsahuje 10 hádanek\nCelková odměna: 4 bitevní truhly a 600 zlaťáků.
ACT_JALMYR_04.marketName;Jalmyr, Akt IV
ACT_JALMYR_04.marketShortDescription;Balík misí
ACT_MAGDA.marketDescription;Osvojte si unikátní kombinace pokladů a porazte mocnou královnu.\nObsahuje 7 misí.\nCelková odměna: 4 bitevní truhly a 600 zlaťáků.
ACT_MAGDA.marketName;Magdin balík misí
ACT_MAGDA.marketShortDescription;Balík misí
AVATAR_ADVENTURER.marketDescription;Vydejte se ve stopách mladého Fugora na jeho nebeské pouti!\n\nTato položka odemkne nový avatar pro váš orb.
AVATAR_AURORA.marketDescription;Mezi Aurořiny koníčky patří výuka budoucích hrdinů, řízení směru historie a ochutnávání nových druhů čaje.\n\nTato položka odemkne nový avatar pro váš orb.
AVATAR_BLUE_ELEMENTAL_2.marketDescription;Mudrci občas zahlédnou tuto bytost v troskách zapomenutých měst.\n\nTato položka odemkne nový avatar pro váš orb.
AVATAR_BLUE_ELEMENTAL_3.marketDescription;Zjevuje se prorokům a plní jejich přání. Zjevuje jejich zrakům budoucnost.\n\nTato položka odemkne nový avatar pro váš orb.
AVATAR_BOMB_SLINGER.marketDescription;Život není o počtu nadechnutí, ale o všech těch bombách, co nám dech berou.\n\nTato Položka odemkne nový avatar pro váš orb.
AVATAR_CAP_10.marketDescription;Tento stroj byl původně stvořen jako obránce. To už je ale dávno, nyní byl přeprogramován pro pirátské účely!
AVATAR_DARK_WISP.marketDescription;Zlomyslný duch, který žije ve škvírách a prázdných místech.\n\nTato položka odemkne nový avatar pro váš orb.
