QUEST_NAME_PUZZLE_DLC_YRUSH_2;Boží zásah
QUEST_NAME_PUZZLE_DLC_YRUSH_1;Rychle pryč
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;Stádo
QUEST_NAME_PUZZLE_DLC_WHALES;Velryblbiny
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;Hlas
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;Pokřivené zrcadlo
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;Rybí království
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;Za roj
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;OTK s Rubínovým jakem
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;Kanonáda
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;Střážci Zánebí
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;Kryjte se!
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;Pýcha předchází pád
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;Hodina fyziky
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;Neuvěřitelná ropucha
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;Zrůda
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;Noční můra
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;Stoupání
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;Finále
QUEST_NAME_PUZZLE_DLC_MAZE;Labrint
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;Nečekané hrdinství
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;Začíná lov
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;Královražda
QUEST_NAME_PUZZLE_DLC_KAIOS;Kaiova doména
QUEST_NAME_PUZZLE_DLC_ISTANU;Věčné světlo
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;OTK a ursus
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;Přátelé až do konce
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;Protiúder
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;Kladivo
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;Síla přátelství
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;Kovář
QUEST_NAME_PUZZLE_DLC_GEMSHELL;Vyberte si kartu
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;Ve znalosti je síla
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;Kouzelný školní autobus
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;Pohádka o vílách
QUEST_NAME_PUZZLE_DLC_EXPLORER;Přemalování
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;OTK s událostmi
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;ES of Mill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;Proroctví
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;Probíhá stavba
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;Žně
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;Mrchožrout
QUEST_NAME_PUZZLE_DLC_BAERU;Pán oceánu
QUEST_NAME_PUZZLE_DLC_AXOLOTL;Hákxolotl
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;V mých snech se žáby třesou
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;Nespoutaná síla
QUEST_NAME_LOYALTY_PATCH_03;Pád Nesmrtelna
QUEST_NAME_LOYALTY_PATCH_02;Skylla
QUEST_NAME_LOYALTY_PATCH_01;Čas kladiv
QUEST_NAME_LOYALTY_PATCH_00;Zkažení
QUEST_NAME_PUZZLE_54;Hádanka 54
QUEST_NAME_PUZZLE_53;Hádanka 53
QUEST_NAME_PUZZLE_52;Hádanka 52
QUEST_NAME_PUZZLE_51;Hádanka 51
QUEST_NAME_PUZZLE_50;Hádanka 50
QUEST_NAME_PUZZLE_49;Hádanka 49
QUEST_NAME_PUZZLE_48;Hádanka 48
QUEST_NAME_PUZZLE_47;Hádanka 47
QUEST_NAME_PUZZLE_46;Hádanka 46
QUEST_NAME_PUZZLE_45;Hádanka 45
QUEST_NAME_PUZZLE_44;Hádanka 44
QUEST_NAME_PUZZLE_43;Hádanka 43
QUEST_NAME_PUZZLE_42;Hádanka 42
QUEST_NAME_PUZZLE_41;Hádanka 41
QUEST_NAME_PUZZLE_40;Hádanka 40
QUEST_NAME_PUZZLE_39;Hádanka 39
QUEST_NAME_PUZZLE_38;Hádanka 38
QUEST_NAME_PUZZLE_37;Hádanka 37
QUEST_NAME_PUZZLE_36;Hádanka 36
QUEST_NAME_PUZZLE_35;Hádanka 35
QUEST_NAME_PUZZLE_34;Hádanka 34
QUEST_NAME_PUZZLE_33;Hádanka 33
QUEST_NAME_PUZZLE_32;Hádanka 32
QUEST_NAME_PUZZLE_31;Hádanka 31
QUEST_NAME_PUZZLE_30;Hádanka 30
QUEST_NAME_PUZZLE_29;Hádanka 29
QUEST_NAME_PUZZLE_28;Hádanka 28
QUEST_NAME_PUZZLE_27;Hádanka 27
QUEST_NAME_PUZZLE_26;Hádanka 26
QUEST_NAME_PUZZLE_25;Hádanka 25
QUEST_NAME_PUZZLE_24;Hádanka 24
QUEST_NAME_PUZZLE_23;Hádanka 23
QUEST_NAME_PUZZLE_22;Hádanka 22
QUEST_NAME_PUZZLE_21;Hádanka 21
QUEST_NAME_PUZZLE_20;Hádanka 20
QUEST_NAME_PUZZLE_19;Hádanka 19
QUEST_NAME_PUZZLE_18;Hádanka 18
QUEST_NAME_PUZZLE_17;Hádanka 17
QUEST_NAME_PUZZLE_16;Hádanka 16
QUEST_NAME_PUZZLE_15;Hádanka 15
QUEST_NAME_PUZZLE_14;Hádanka 14
QUEST_NAME_PUZZLE_13;Hádanka 13
QUEST_NAME_PUZZLE_12;Hádanka 12
QUEST_NAME_PUZZLE_11;Hádanka 11
QUEST_NAME_PUZZLE_10;Hádanka 10
QUEST_NAME_PUZZLE_09;Hádanka 09
QUEST_NAME_PUZZLE_08;Hádanka 08
QUEST_NAME_PUZZLE_07;Hádanka 07
QUEST_NAME_PUZZLE_06;Hádanka 06
QUEST_NAME_PUZZLE_05;Hádanka 05
QUEST_NAME_PUZZLE_04;Hádanka 04
QUEST_NAME_PUZZLE_03;Hádanka 03
QUEST_NAME_PUZZLE_02;Hádanka 02
QUEST_NAME_PUZZLE_01;Hádanka 01
ACT_LOYALTY_PATCH;Věrnostní aktualizace
ACT_JALMYR_04;Jalmyr, akt IV
ACT_JALMYR_03;Jalmyr, akt III
ACT_JALMYR_02;Jalmyr, akt II
ACT_JALMYR_01;Jalmyr, akt I
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;Účel světí prostředky
ACT_DLC_ELEMENTS_TRIBES;Kmeny Zánebí
ACT_DLC_ELEMENTS_REDBLUE;Parní stroj
ACT_DLC_ELEMENTS_PAIRS;Páry
ACT_DLC_ELEMENTS_MOBILITY;Na hřbetu větru
ACT_DLC_ELEMENTS_LEGENDS;Legendy
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;Pozor, zlé bytosti
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;Kombo napříč dějinami
ACT_DLC_ELEMENTS_CHALLENGE;Výzva
ACT_DLC_ELEMENTS_BOARD_CLEAR;Začneme od píky
ACT_PUZZLE_TUTORIAL;Tréninkové hádanky
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;Útok jaků
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;Konec dinosaurů
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;Shedimský odpad
QUEST_NAME_PUZZLE_DLC_HIPPO;Srdnatá oběť
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;Hněv Bálúa
QUEST_NAME_PUZZLE_DLC_COMMANDER;Ryba na suchu
QUEST_NAME_PUZZLE_DLC_BARRACKS;Levitační rybaření
