ACTIVATE;<b>Aktivace</b>
AQUATIC;<b>Vodní</b>
ARTIFACT;Artefakt
AUTO_HARVEST;<b>Automatická sklizeň</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;Zelený začátek
BLUEPRINT_01.shortdescription;Ovládněte sílu lesa a své lidské armádě zajistěte větší výdrž i pohyblivost. Kořeny zapusťte poblíž studny faerie a vyrazte kupředu k nepřítelově orbu!
BLUEPRINT_02.name;Červený začátek
BLUEPRINT_02.shortdescription;Hroziví zlobři neohroženě kráčejí z hor. Přepadněte s těmito hromotluky vašeho nepřítele, poté jej stačí dorazit ohněm.
BLUEPRINT_03.name;Modrý začátek
BLUEPRINT_03.shortdescription;Využijte mocné karty událostí, abyste soupeře převálcovali jako velká voda. Použijte své skákací a vodní bytosti, aby sklízely faerii z několika studen zároveň, a zaútočte, až nastane ten správný čas.
BLUEPRINT_04.name;Žlutý začátek
BLUEPRINT_04.shortdescription;Okuste temné pouštní slasti. Provádějte zapovězené rituály a získávejte moc ze smrti spojeneckých bytostí. Použijte svůj vlastní život jako pohon vašich kouzel, s nimiž získáte výhodu nad soupeřem a pohltíte jeho orb.
BLUEPRINT_05.name;Modrá invaze
BLUEPRINT_05.shortdescription;Využijte své chamtivosti a nechte ji, ať vám dá sílu. Soustřeďte se na sklízení z nepřátelských studen, protože s každou sklizní budou vaše masivní kolosy levnější a levnější.
BLUEPRINT_06.name;Sláva v boji
BLUEPRINT_06.shortdescription;Rozdrťe své nepřátele, žeňte je před sebou a zaposlouchejte se do nářku jaků. Velte armádě, která je na bojišti doma. Dar z oceli září nejjasněji v dobách války.
BLUEPRINT_07.name;Křížová výprava
BLUEPRINT_07.shortdescription;Žádné slitování. Ihned se vrhněte na nepřítele a útočte na jeho orb za každou cenu, abyste si posílili své Fanatické křižáky.
BLUEPRINT_08.name;Konečná smlouva
BLUEPRINT_08.shortdescription;Uzavřete smlouvu se zlobry a hrajte své drahé karty za zlomek původní ceny. Vypusťte draky a monstra a kořist ze slavných vítězství se jen pohrne.
BLUEPRINT_09.name;Nebeské loďstvo
BLUEPRINT_09.shortdescription;Velte nebesům. Voliéry zesílí vaše létající loďstvo. Vystoupejte do samotného srdce nepřátelské armády a sešlete na ni zkázu shora.
BLUEPRINT_10.name;Hněv přírody
BLUEPRINT_10.shortdescription;Les není vždy tak trpělivý. Zaměřte se na orb, proklestěte cestu svým Lovcům bohů a nechte je vyhledat jejich přirozeného nepřítele – obličej vašeho protivníka.
CHARGE;<b>Nájezd {0}</b>
COMBAT;<b>Souboj</b>
CONVOKE;<b>Svolat</b>
CORRUPT;<b>Zkažení</b>
CREATURE;Bytost
CURRENCY_COIN;Střípky
CURRENCY_GEM;Klenoty
DAILY_QUEST_00_NAME;Zakončení
DAILY_QUEST_01_NAME;Zuřivost
DAILY_QUEST_02_NAME;Smrt bohů
DAILY_QUEST_03_NAME;Rozsudek
DAILY_QUEST_04_NAME;Podmanění
DAILY_QUEST_05_NAME;Tsunami
DAILY_QUEST_06_NAME;Rozvoj
DAILY_QUEST_07_NAME;Inferno
DAILY_QUEST_08_NAME;Písečná bouře
DAILY_QUEST_09_NAME;Rovnováha
DAILY_QUEST_11_NAME;Zázrak
DAILY_QUEST_12_NAME;Stvoření
DAILY_QUEST_13_NAME;Boží soud
DAILY_QUEST_14_NAME;Duelista
DAILY_QUEST_15_NAME;Veterán
DAILY_QUEST_16_NAME;Úkol pro přátele
DAILY_QUEST_18_NAME;Úkol pro přátele
DAILY_QUEST_27_NAME;Honba za pokladem
DAILY_QUEST_28_NAME;Ověř se
DAILY_QUEST_30_NAME;Pandora se probouzí
DAILY_QUEST_31_NAME;Sleduj a uč se
DAILY_QUEST_32_NAME;Přátelé až do konce
DAILY_QUEST_33_NAME;Vystrojený pro úspěch
DAILY_QUEST_34_NAME;Udělej si sám
DAILY_QUEST_35_NAME;Mistr řemeslník
DAILY_QUEST_COMPLETE_ANY_ACT;Dokončete balík misí nebo hádanek
