BOSS_KING_YAKNUS.description;Před dávnými časy spolu lidé a jakové vytvořili spojenectví. Aby se rozhodlo, kdo stane v jeho čele, utkali se spolu vůdci obou národů v krutém souboji. Vítěz měl získat věrnost lidu svého soka na dlouhých sto let. Zvítězil král lidí, avšak každé století se bitva opakuje. Vžil se pro ni název... Jaknarok.
BOSS_GREEN_GENIE.description;Když padla čtyři božstva, opustila Arboria svět a vrátila se do Třpytivého háje. Zde život stále obíhá ve věčných kruzích a Gaein hlas tak žije dál.
BOSS_BLUE_YELLOW_SURVIVAL.description;Magda vyhladila bandity z pobřeží létajících ostrovů, kteří kdysi zavraždili její matku. Prokletí duchové padlých se ale stále potulují po bojišti a útočí na všechny příchozí.
BOSS_YAKKAR.description;V Jakkaranu jačí stráž trénuje na záhadnou nadcházející válku. Jejich vůdce Jakar řídí Jakkaranskou arénu, kde vyučuje novým způsobům válčení.
BOSS_AZURE_GENIE.description;Kdysi dávno velký Císař žádal Udinu o zakázané učeníí. Pobavena jeho žádosti vyhověla. Pro něho ani jeho říši to však neskončilo dobře.
BOSS_GREEN_RED_SURVIVAL.description;Nikdo netuší, co změnilo tento kdysi zelený ráj ve sklo, ani proč jej zuřiví obři tolik brání. Varování: Dávejte pozor na zlobry.
BOSS_YELLOW_GENIE.description;Vyjící poušť je domovem velkolepého Dagdana, pána větru a hněvu. Dagdan se vzbouřil proti bohu nebes Astarovi, když se odmítl podělit o dar létání. Jednoho dne jakási stařena od Dagdana dar ukradla a rozhodla se o něj podělit. Za její štědrost jí Astar obdařil věčným mládím a krásou. Jmenovala se Iona. Když někdy uvidíte, jak se z čista jasna zvedá bouře, je to nejspíše Dagdan, který ještě stále zuří pro tuto starou krádež.
BOSS_CRIMSON_GENIE.description;V kovárně stvoření bůh Aoros ukoval duše z čisté magie. Jedním z jeho nejúžasnějších výtvorů byl Pyrhos, strážce kovárny. Ale Pyrhos ze svého osamění brzy zešílel. Aby měl společnost, vytvořil si v kovárně přítele, kterého nazval Kojin. Bohužel Pyrhos nebyl bohem, a proto nedokázal vytvořit skutečně nesmrtelné stvoření.
BOSS_DARK_WISP.description;V této osamělé jeskyni dlí jediná bludička. Všechny pokusy dozvědět se o ní více selhaly. Zprávy, které jsou o ní napsány, zmizí. Křišťálové koule zejí prázdnotou, stejně jako pohledy neúspěšných věštců. A zkusit se k ní přiblížit? Ne. Jednoduše... ne.
BOSS_FOUR_COLOR_01.description;I bohové jsou podrobeni zkoušce, chtějí-li vstoupit do Kosmického portálu. Tento hrůzostrašný les vyvolává stíny těch nejhrozivějších bytostí světa. Připravte se na smrt.
BOSS_RAIZEON.description;Kosmický portál vede do Nexusu, kde Raizeon střeží prvotní reality. Můj ty bože... je plný hvězd.
BOSS_JALMYR.description;Kam mizí nezodpovězené hádanky? Do Tůní útěchy, kde Jalmyr shromažďuje vše nepoznatelné. Hranice mezi mýty a skutečností se zde stírají. Přines s sebou své mytické karty, budeš je potřebovat.
LIMITED_BOSS_BATTLE.description;Císař Kaios vyzývá samotné bohy. Každý den získáte zkušenosti a několik bodů do svého vaku, když nad ním poprvé zvítězíte.
OVERSKY_ISLAND_01_MISSION01.description;Říše vás předhonila na vaší cestě nebesy a jeden z jejich průzkumníků zajal Fugora. Je na čase legendárního žabáka zachránit.
OVERSKY_ISLAND_01_MISSION02.description;Průzkumník vedl Fugora do tohoto říšského vězeňského tábora. Co přesně má říše v plánu? To zjistíte, pokud porazíte dozorce.
OVERSKY_ISLAND_01_MISSION03.description;Odhalili jste pravý plán říše. Unesli posvátné vejce a pomocí kouzel mu brání ve vylíhnutí. Pomozte děťátku na svobodu.
OVERSKY_ISLAND_01_MISSION04.description;Posvátný drakojak se vylíhl. Pozdravte ho.
OVERSKY_ISLAND_02_MISSION01.description;Chcete-li získat pomoc od Ulani, šamanky ze Zánebí, musíte uspět ve čtyřech zkouškách. První je zkouška moudrosti.
OVERSKY_ISLAND_02_MISSION02.description;Ctihodný náčelník Taranga vás provede zkouškou odvahy. Porazte jej, abyste mohli pokračovat ve své cestě.
OVERSKY_ISLAND_02_MISSION03.description;Starý Huňáč možná nevypadá nejchytřeji, ale ovládl umění skromnosti. Není těžké uhádnout proč.
OVERSKY_ISLAND_02_MISSION04.description;V Erunině svitu Ulani připravuje zkoušku klidnosti. Zatímco většina šamanů slouží jedinému živlu, Ulani zbožňují všechny čtyři. Bude mocným spojencem.
OVERSKY_ISLAND_03_MISSION01.description;Pomozte Siru Jakkintonovi ve studiu Bludných světlopádů. Na Hraně vodstev naleznete divokou azurovou bludičku.
OVERSKY_ISLAND_03_MISSION02.description;Nalezli jste bludičku, která by mohla mít něco do činění s prastarou Arborií. Mohla by být jejím dítětem?
OVERSKY_ISLAND_03_MISSION03.description;Nalézáte ohnivou bludičku, která se nápadně podobá Pyrhosovu starému příteli Kojinovi.
OVERSKY_ISLAND_03_MISSION04.description;Výšinami Bludných světlopádů se šepotem této bludičky line jméno Iona.
OVERSKY_ISLAND_04_MISSION01.description;Jak Sparrow stojí na stráži na okraji Hnízda pirátů. Vede Oblačné stádo, bandu jaků, kteří své roztomilosti zneužívají ke zlým účelům.
OVERSKY_ISLAND_04_MISSION02.description;Jedna z Větrných si usmyslila vyletět výše než kdokoliv před ní. Kronikáři ji měli za mrtvou, avšak ve skutečnosti doletěla do Zánebí a přidala se k posádce robota CAP-10.
OVERSKY_ISLAND_04_MISSION03.description;Starý Šedovous byl prvním pirátem nebes. Jednou nalezl starého robota, opravil jej a naučil vše o pirátství. Nakonec jej jeho vlastní výtvor překonal.
OVERSKY_ISLAND_04_MISSION04.description;Ve Hnízdě pirátů svobodně proplouvá vzdušnými proudy, skrz naskrz nasáklý olejem. Nevyzpytatelný, zákeřný robot – ne otrok, jako kdysi býval. Loví boháče a posílá ty ničemy na onen svět.
OVERSKY_ISLAND_05_MISSION01.description;Kdysi touto branou mohli projít pouze ti, kdo milovali život celým svým srdcem. Rapalova zkaženost ale moc této pečeti překroutila.
OVERSKY_ISLAND_05_MISSION02.description;Na tomto paloučku se rodí Semínka ráje. Rapalův opatrovník zešílel žalem.
OVERSKY_ISLAND_05_MISSION03.description;Chrám Gaey býval místem života a světla. Rapala jej nakazil Plíživou temnotou. Pokud zakoření, brzy zahubí celé Zánebí.
OVERSKY_ISLAND_05_MISSION04.description;Když bohyně Gaea dala svůj život světu, zrodila se znovu v podobě Stromu Nesmrtelna. Tento strom je pomyslným motorem tohoto ráje jménem Zánebí. Z Rapaly ale začíná trochu bláznit.
OVERSKY_ISLAND_EXPLORER_GLADE;Průzkumníkův palouk
OVERSKY_ISLAND_ULANI_REALM;Ulanina říše
OVERSKY_ISLAND_WISPLIGHT_FALLS;Bludné světlopády
OVERSKY_ISLAND_PIRATE_AERIE;Hnízdo pirátů
OVERSKY_ISLAND_GAEA_NAVEL;Gaein břich
WORLD_LOCATION_VALLEY_OF_YAKS;Jakorohá hora
WORLD_LOCATION_SHIMMERING_GROVE;Třpytivý háj
WORLD_LOCATION_MAGDAS_RISE;Magdinin svah
WORLD_LOCATION_YAKKARRAN;Jakkaran
WORLD_LOCATION_TOMB_OF_SUNKEN_EMPEROR;Hrobka potopeného císaře
WORLD_LOCATION_CRYSTAL_PLAINS;Skleněná džungle
WORLD_LOCATION_HOWLING_DESERT;Vyjící poušť
WORLD_LOCATION_FORGE_OF_CREATION;Kovárna stvoření
WORLD_LOCATION_HOLLOWDEEP;Prázdnohlubina
WORLD_LOCATION_FOREST_OF_TRIALS;Les zkoušek
WORLD_LOCATION_COSMIC_PORTAL;Kosmický portál
WORLD_LOCATION_POOLS_OF_SOLACE;Tůně útěchy
WORLD_LOCATION_SYLAND_ISLES;Sylandské ostrovy
WORLD_LOCATION_AERNOST;Aernost
WORLD_LOCATION_DEAD_PLAINS;Mrtvé planiny
WORLD_LOCATION_FOREST_OF_ERIANOR;Les Erianor
WORLD_LOCATION_MENETHYR;Menethyr
WORLD_LOCATION_DARK_FOREST;Temný les
WORLD_LOCATION_DARK_FORTRESS;Temná pevnost
WORLD_LOCATION_WASTELANDS;Pustiny
WORLD_LOCATION_WATERHELD;Přístaviště
WORLD_LOCATION_TRASGAR;Trasgar
WORLD_LOCATION_BRISGAR;Brisgar
WORLD_LOCATION_BLUE_OCEAN;Modrý oceán
WORLD_LOCATION_RED_SEA;Rudé moře
WORLD_LOCATION_SEA_OF_ELBARACH;Moře Elbarachů
WORLD_LOCATION_BRISGAR_FOREST;Brisgarský les
WORLD_LOCATION_THE_QUEENS_LAKE;Královnino jezero
WORLD_LOCATION_REBEL_ISLES;Ostrovy rebelů
WORLD_LOCATION_GOLDEN_PASS;Zlatý průsmyk
WORLD_LOCATION_KINGDOM_OF_ELBARACH;Království Elbarach
WORLD_LOCATION_EIDENAR;Eidenar
WORLD_LOCATION_TRITEA;Tritea
WORLD_LOCATION_WARSTORM_GROUNDS;Válkobouřná půda
WORLD_LOCATION_DESERT_OF_ASTAR;Poušť Astar
WORLD_LOCATION_JAHILA_MARKET;Tržiště Jahila
