AURORA_EPIC_01_0001;Du würdest einer alten Frau wehtun?
AURORA_EPIC_01_0002;Du musst das nicht tun ...
AURORA_EPIC_01_0003;Deine Kreatur wird es bei mir besser haben.
AURORA_EPIC_01_0004;Möchtest du etwas Tee, Liebling?
AURORA_EPIC_01_0005;Krieg ist immer so laut. Ruh dich doch etwas aus.
AURORA_EPIC_01_0006;Wenn man einen grünen Stein in einen lila Fluss wirft, was passiert dann?
AURORA_EPIC_01_0007;Antwort: Der Stein macht platsch.
AURORA_EPIC_01_0008;Was für ein wundervoller Tag.
AURORA_EPIC_01_0009;Mein Tee ist fast durchgezogen.
AURORA_EPIC_01_0010;Ich bin fertig mit Teetrinken.
AURORA_EPIC_01_0011;Danke, dass ich meinen Tee austrinken durfte.
AURORA_EPIC_01_0012;Du hättest sie nicht ihren Tee austrinken lassen sollen ...
