FUGORO_EPIC_03_0001;Ich habe neue Schätze erworben.
FUGORO_EPIC_03_0002;Manche behaupten, diese lebendige Statue sei einst die Schwester Oroseis gewesen.
FUGORO_EPIC_03_0003;Der Hohepriester Sario hatte unendlich viel Spaß mit seinen Opfern. Und unendlich ist dabei wörtlich zu verstehen.
FUGORO_EPIC_03_0004;Hat den ersten Platz gemacht beim jährlichen Wettbewerb „Bau den besseren Erdkrustenbrecher“.
FUGORO_EPIC_03_0005;Für diese Schönheit musste ich mich in Garudans Berg schleichen.
FUGORO_EPIC_03_0006;Der wahnsinnige König erschuf einen ganzen Hofstaat von Uhrwerk-Yaks.
FUGORO_EPIC_03_0007;Dies enthält die Geheimnisse eines namenlosen Mönchs. Ich nenne ihn Otto.
FUGORO_EPIC_03_0008;Der Pokal mit dem Portal enthält den Wein gut und rein.
FUGORO_EPIC_03_0009;Die Herzen wilder Bestien schlagen im Rhythmus dieser Trommel.
FUGORO_EPIC_03_0010;Dieses Horn gehörte einst Yaknus persönlich.
FUGORO_EPIC_03_0011;Obwohl Aramis fiel, gab sein Schwert den Kampf nicht auf.
