KROG_EPIC_01_0001;Willkommen zur Party!
KROG_EPIC_01_0002;Tanz für König!
KROG_EPIC_01_0003;Super Party!
KROG_EPIC_01_0004;Schwing deinen Yak!
KROG_EPIC_01_0005;König ist Spaß!
KROG_EPIC_01_0006;Tanz den Krog!
KROG_EPIC_01_0007;Liebe das Lied!
KROG_EPIC_01_0008;Zeit für Krog!
KROG_EPIC_01_0009;Mach Lärm!
KROG_EPIC_01_0010;Mehr Yak-Glocken!
KROG_EPIC_01_0011;Wer hat Yaks in Hose?
KROG_EPIC_01_0012;Ogerlos durch die Nacht!
KROG_EPIC_01_0013;Tanz den Oger und schüttle deinen Yak!
KROG_EPIC_01_0014;Warum niemand sagt Yak?
KROG_EPIC_01_0015;Tanzen kein Spaß?
KROG_EPIC_01_0016;Krog ... muss nachdenken.
KROG_EPIC_01_0017;Party fertig.
