PROLOGUE_1_0001;Platziere deine Länder und beschwöre Kreaturen, um deinen Gegner anzugreifen. Zerstöre die Sphäre deines Gegners, um zu gewinnen!
PROLOGUE_1_0023;Willkommen bei Faeria! Ich bin Fugoro, dein freundlicher --
PROLOGUE_1_0002;Hör auf zu rennen, Froschjunge!
PROLOGUE_1_0024;Argh! Hilf mir! Du bekommst auch eine Belohnung!
PROLOGUE_1_0007;3 Faeria! Ich kann eine Kreatur beschwören.
PROLOGUE_1_0008;Mach dich auf Schmerzen gefasst!
PROLOGUE_1_0025;Du wirst Länder brauchen, um deinen Yak zu beschwören.
PROLOGUE_1_0011;Beschwöre es hier.
PROLOGUE_1_0012;Kreaturen müssen eine Wendung warten, bevor sie angreifen.
PROLOGUE_1_0013;Angriff!
PROLOGUE_1_0026;Vernichte diesen Bandit, damit wir zum Gegenangriff übergehen können.
PROLOGUE_1_0014;Wähle deinen Yak
PROLOGUE_1_0015;Greife diesen Banditen an.
PROLOGUE_1_0027;Beim heiligen Yak!
PROLOGUE_1_0028;Beweg dich vorwärts und greife Sharra direkt an.
PROLOGUE_1_0022;Gut gekämpft!
GAMEPAD_PROLOGUE_1_0029;Als eine Abkürzung zum Rad kannst du auch auf {GAMEPAD_BACK_BUTTONS_R2} drücken.
GAMEPAD_PROLOGUE_1_0010;Bewege deinen Cursor zur Yak-Karte und drücke {GAMEPAD_ACTION_CONFIRM}
MOUSE_PROLOGUE_1_0010;Wähle deinen Yak
GAMEPAD_PROLOGUE_1_0006;Bewege deinen Cursor hierher und HALTE {GAMEPAD_ACTION_CONFIRM} gedrückt, um deine Runde abzugeben.
MOUSE_PROLOGUE_1_0006;Gib deine Runde ab.
GAMEPAD_PROLOGUE_1_0004;Drücke {GAMEPAD_ACTION_CONFIRM}, um hier zu bauen.
MOUSE_PROLOGUE_1_0004;Baue hier.
GAMEPAD_PROLOGUE_1_0003;Bewege deinen Cursor hierher und drücke {GAMEPAD_ACTION_CONFIRM}, um Länder zu bauen.
MOUSE_PROLOGUE_1_0003;Baue Länder in Richtung deines Gegners.
