PROLOGUE_5_0001;Viel Glück ...
PROLOGUE_5_0002;Ein würdiges Opfer.
PROLOGUE_5_0003;Ich habe ALLE vier Elemente gemeistert!
PROLOGUE_5_0004;Sei vorsichtig. Gegen diesen Dummkopf verliere ich immer.
PROLOGUE_5_0014;Mein Geist ist grenzenlos!
PROLOGUE_5_0005;Dein Tod kommt aus der Wüste!
PROLOGUE_5_0006;BRENNE!
PROLOGUE_5_0007;Zwei neue Kräfte freigeschaltet!
PROLOGUE_5_0008;Du kannst jetzt entweder eine Karte ziehen ODER 1 Faeria erhalten, anstatt Länder zu machen.
PROLOGUE_5_0009;Das endet jetzt!
PROLOGUE_5_0010;Verbeuge dich vor meinem Geist!
PROLOGUE_5_0011;Diese Kreatur hat Letzte Worte
PROLOGUE_5_0012;Den Geist musst du umbringen!
PROLOGUE_5_0013;NEIN! WAS HAST DU ANGERICHTET?!
GAMEPAD_PROLOGUE_5_0015;Mit {GAMEPAD_BACK_BUTTONS_L1} und {GAMEPAD_BACK_BUTTONS_R1} kannst du durch die Karten in deiner Hand gehen.
