1.cardName;Bauernjunge
2.cardName;Hügelschütze
2.cardText;{ranged_attack}
3.cardName;Krieger aus Syland
4.cardName;Stallmeister aus Syland
4.cardText;{gift} - Gib einer verbündeten Kreatur für diesen Zug {charge|3}.
9.cardName;Ingenieur des Imperiums
9.cardText;{gift} - Löse alle verbündeten Produktion-Effekte aus.
10.cardName;Stellung halten!
10.cardText;Nimm zwei 2/3 <b>Imperiale Wächter</b> mit {taunt} auf deine Hand.
11.cardName;Wandelnde Festung
12.cardName;Dampfschmiede
12.cardText;{production} - Gib einer zufälligen Verbündeten Kreatur +1/+0.
13.cardName;Steuereintreiber
13.cardText;{combat} – Erhalte {faeria|1}.
14.cardName;Heilender Gesang
14.cardText;Ziehe eine Karte und erhalte 5 Leben.
15.cardName;Schutzkuppel
15.cardText;Gewährt einer Kreatur {protection}.
16.cardName;Imperialer Wächter
16.cardText;{taunt}\n{last_words} - Erhalte 2 Leben.
22.cardName;Freiheitskämpfer
22.cardText;{haste}
23.cardName;Lagerfeuer
23.cardText;Gib einer Kreatur +1/+1.
24.cardName;Sturzflug
24.cardText;Füge einer Kreatur 1 Schaden zu.
29.cardName;Schwertmeister
29.cardText;Hat +2/+0 während deines Zuges (während in deiner Hand oder im Spiel).
30.cardName;Prärie-Yak
32.cardName;Yak-Angriff
32.cardText;Beschwöre drei 2/2 <b>Wilde Yaks</b> mit {haste}.
33.cardName;Bestrafung
33.cardText;Füge einer Kreatur 2 Schaden zu. Wenn es eine neutrale Kreatur ist, füge ihr stattdessen 5 Schaden zu.
34.cardName;Günstling der Königin
34.cardText;{protection}
35.cardName;Ehrenwache der Königin
35.cardText;{taunt}\n{combat} – Erhalte {faeria|1}.
36.cardName;Magda, Königin von Meroval
36.cardText;Deine Legenden kosten {faeria|1} weniger.\n{production} - Nimm eine zufällige Legende auf die Hand. Sie wird {wild}.
37.cardName;Hofnarr
37.cardText;{taunt}\n{gift} - Gib einer zufälligen Kreatur in deiner Hand +2/+2.
38.cardName;Ehrenwache des Königs
38.cardText;{taunt}\n{combat} – Ziehe eine Karte.
39.cardName;Held der Stunde
