LOADING_HINT_QUEST_0;Tipp: Du bekommst jeden Zug {faeria|3} Faeria.
LOADING_HINT_QUEST_1;Tipp: Jegliches Faeria, das du nicht ausgibst, wird für den folgenden Zug gespart.
LOADING_HINT_QUEST_2;Tipp: Fähigkeiten werden am Kopfende jeder Karte erläutert.
LOADING_HINT_QUEST_3;Tipp: Platziere ein Land direkt neben der gegnerischen Sphäre.
LOADING_HINT_QUEST_4;Tipp: Vernichte Dornen-Irrlichter bevor sie wachsen.
LOADING_HINT_QUEST_5;Tipp: Bei Faeria gibt es 4 Farben. Jede Farbe verfügt über ihren eigenen Typ Land.
LOADING_HINT_QUEST_6;Tipp: Ruunin ist die uralte, unsterbliche Wächterin des Waldes.
LOADING_HINT_QUEST_7;Tipp: Rote Karten nutzen die feurige Macht der Berge.
LOADING_HINT_QUEST_8;Seifer hat seinen Namen in die Überreste zerstörter Königreiche eingebrannt. Er bezwang die Teufel, erlangte ihre Macht und genießt nichts mehr als den Schrei eines sterbenden Feindes.
LOADING_HINT_QUEST_9;Tipp: Eine Kreatur mit Sprung kann an einen beliebigen Ort in einem Radius von 2 Feldern springen.
LOADING_HINT_QUEST_10;Tipp: Platziere Länder, um aquatische Gegner zu blockieren.
LOADING_HINT_QUEST_11;Tipp: Khalim ist aggressiv. Sei vorsichtig und verteidige deine Sphäre!
LOADING_HINT_QUEST_13;Als sie noch ein Kind war, brannten Sharra's Ängste mit ihrem Dorf davon.
LOADING_HINT_QUEST_20;Magda ist die Königin von Meroval. Helden und Schurken sind bloß Werkzeuge in ihren allumfassenden Plänen.
LOADING_HINT_QUEST_25;Aus großer Entfernung kann man Krogs Tanzparties leicht mit Donnergrollen verwechseln.
LOADING_HINT_QUEST_26;Tarum wuchs aus dem allerersten Samen. Er sah zu, wie sich Berge erhoben, Drachen geboren wurden und wie alte Götter fielen.
LOADING_HINT_QUEST_29;Tipp: Tarums Kräfte wachsen mit der Zeit. Besiege ihn also möglichst schnell!
LOADING_HINT_QUEST_30;Hoaka erfindet ständig neue Spielfelder.
LOADING_HINT_QUEST_48;Aurora verbringt ihre Zeit gerne damit, zukünftige Helden zu beraten, den Verlauf der Geschichte zu gestalten und neue Teesorten zu probieren.
LOADING_HINT_QUEST_49;Khalim, ein Wunderkind des Djidan-Ordens, forderte seine Meister heraus und brach einen weltumspannenden Krieg vom Zaum.
LOADING_HINT_QUEST_54;Manche Fische wollen einfach nur die Welt brennen sehen.
LOADING_HINT_QUEST_64;Der mysteriöse Jalmyr wacht über den Kosmos und tritt als Lehrmeister der Götter auf.
LOADING_HINT_QUEST_117;Tipp: Schätze sind mächtige Karten, die üblicherweise nur im Pandora-Modus zu finden sind.
LOADING_HINT_QUEST_118;Fugoro reist um die Welt und sammelt die wichtigsten Relikte der Geschichte.
LOADING_HINT_RANDOM_DEATHTOUCH_ONLY_IF_DAMAGE;Tipp: Todesberührung vernichtet die Kreatur nur, wenn auch Schaden zugeteilt wird. Ein Schutzschild verhindert dies.
LOADING_HINT_RANDOM_TIKIS_CAN_TARGET_THEMSELVES;Tipp: Der Tiki-Pfeifer und Tiki-Wächter können auch selbst das Ziel ihrer Gabe werden.
LOADING_HINT_RANDOM_FROGS_PLACED_ON_LAKES;Tipp: Die Kröten der Kampfkröten-Karte können nur auf Seen beschworen werden.
LOADING_HINT_RANDOM_HEAL_ORB_MAX_20;Tipp: Du kannst dich nicht über 20 Leben hinaus heilen.
LOADING_HINT_RANDOM_COMPLETE_SOLO_CONTENT;Tipp: Solo-Missionen sind die beste Startmöglichkeit für neue Spieler.
LOADING_HINT_RANDOM_RED_COLOR_EXPLAINED;Tipp: Rot ist die Farbe der Flammen und des Krieges.
LOADING_HINT_RANDOM_BLUE_COLOR_EXPLAINED;Tipp: Blau ist die Farbe der Verwandlungen und Tricksereien.
LOADING_HINT_RANDOM_GREEN_COLOR_EXPLAINED;Tipp: Grün ist die Farbe des ungestümen Wachstums und der wilden Raubtiere.
LOADING_HINT_RANDOM_YELLOW_COLOR_EXPLAINED;Tipp: Gelb ist die Farbe des Windes und des Tempos.
LOADING_HINT_RANDOM_CHARGE_CANT_PASS_THROUGH;Tipp: Mit Ansturm kannst du dich nicht durch andere Kreaturen hindurchbewegen.
LOADING_HINT_RANDOM_BLOCK_AQUATIC_WITH_LANDS;Tipp: Platziere Länder, um aquatische Gegner zu blockieren.
LOADING_HINT_RANDOM_DAILY_QUEST_1;Tipp: Die effektivste Weise um Truhen zu erhalten ist jeden Tag wiederzukommen und deine täglichen Quests zu erfüllen.
LOADING_HINT_RANDOM_THE_HUB;Wußtest du schon: faeria.com/the-hub ist die offizielle Website für Spieler, die Decks oder Ratgeber veröffentlichen möchten.
LOADING_HINT_RANDOM_CARDBACK_FROM_SOLO;Tipp: Schließe alle Solo-Missionen erfolgreich ab und du erhältst den Drachen-Kartenrücken als Belohnung.
LOADING_HINT_RANDOM_PANDORA_ECONMY;Tipp: Wenn Pandora erwacht, werden die Faeria-Brunnen geleert, dafür bekommen die Spieler aber doppelt soviel Faeria wie zuvor bei Zugbeginn.
LOADING_HINT_RANDOM_TAUNT_BEST_DEFENSE;Tipp: Kreaturen mit Spott sind häufig die beste Möglichkeit, dich zu schützen.
LOADING_HINT_RANDOM_BUILD_LANDS_EARLY_GAME;Platziere Länder früh im Spielverlauf. Spar den Gebrauch der Aktionen für +1 Karte oder +1 Faeria für später auf.
LOADING_HINT_RANDOM_GIANT_LATEGAME_CREATURES_EXIST;Tipp: Viele Decks arbeiten auf sehr mächtige Bedrohungen im späten Spielverlauf hin. Spar dir dafür Zestörungszauber auf!
LOADING_HINT_RANDOM_COUNTERING_RUSH_1;Tipp: Wenn du gegen ein Rush-Deck spielst, besetze seine aggressiven Länder mit deinen Kreaturen.
LOADING_HINT_RANDOM_STRUCTURES_LEGAL_PLACEMENT;Tipp: Bauwerke kannst du auf Ländern jedes Typs errichten.
LOADING_HINT_RANDOM_STRUCTURES_DIRECTLY_ACTIVATES;Tipp: Du kannst Bauwerke im gleichen Zug aktivieren, in dem du sie errichtet hast.
LOADING_HINT_RANDOM_GET_LANDS_NEAR_OPPONENT;Tipp: Versuche Länder direkt neben dem gegnerischen Gott zu platzieren.
