ACT_FUGORO.marketDescription;Spiele mit mächtigen Schatzkarten und schlage Fugoro mit seinen eigenen Waffen.\nBeinhaltet 7 Quests.\nBelohnungen insgesamt: 4 Beutetruhen und 600 Gold.
ACT_FUGORO.marketName;Fugoros Questpaket
ACT_FUGORO.marketShortDescription;Questpaket
ACT_HOAKA.marketDescription;Fordere den berüchtigten Triton-Taktiker auf seinen einzigartigen Spielbrettern heraus.\nBeinhaltet 7 Quests.\nBelohnungen insgesamt: 4 Beutetruhen und 600 Gold.
ACT_HOAKA.marketName;Hoakas Questpaket
ACT_HOAKA.marketShortDescription;Questpaket
ACT_JALMYR_02.marketDescription;Meistere das Spiel, indem du die Rätsel der Sphinx löst.\nEnthält 10 Puzzles.\nGesamte Belohnungen: 4 Beutetruhen und 600 Gold.
ACT_JALMYR_02.marketName;Jalmyr, Akt II
ACT_JALMYR_02.marketShortDescription;Questpaket
ACT_JALMYR_03.marketDescription;Meistere das Spiel, indem du die Rätsel der Sphinx löst.\nEnthält 10 Puzzles.\nGesamte Belohnungen: 4 Beutetruhen und 600 Gold.
ACT_JALMYR_03.marketName;Jalmyr, Akt III
ACT_JALMYR_03.marketShortDescription;Questpaket
ACT_JALMYR_04.marketDescription;Meistere das Spiel, indem du die Rätsel der Sphinx löst.\nEnthält 10 Puzzles.\nGesamte Belohnungen: 4 Beutetruhen und 600 Gold.
ACT_JALMYR_04.marketName;Jalmyr, Akt IV
ACT_JALMYR_04.marketShortDescription;Questpaket
ACT_MAGDA.marketDescription;Meistere einzigartige Schatzkombinationen, um die mächtige Königin zu bezwingen.\nBeinhaltet 7 Quests.\nBelohnungen insgesamt: 4 Beutetruhen und 600 Gold.
ACT_MAGDA.marketName;Magdas Questpaket
ACT_MAGDA.marketShortDescription;Questpaket
AVATAR_ADVENTURER.marketDescription;Folge den Schritten des jungen Fugoro bei seinem Ausflug in die Wolkenwelt.\n\nDieser Gegenstand schaltet den Avatar, Sphäre, Brunnen, Kartenrücken und die speziellen Emotes des Charakters frei.
AVATAR_AURORA.marketDescription;Aurora verbringt ihre Zeit gerne damit, zukünftige Helden zu beraten, den Verlauf der Geschichte zu gestalten und neue Teesorten zu probieren.\n\nDieser Gegenstand schaltet einen neuen Avatar für deine Sphäre frei.
AVATAR_BLUE_ELEMENTAL_2.marketDescription;Weise Männer sehen diese Kreatur manchmal in den Ruinen vergessener Städte.\n\nDieser Gegenstand schaltet einen neuen Avatar für deine Sphäre frei.
AVATAR_BLUE_ELEMENTAL_3.marketDescription;Er erscheint vor Weisen, erfüllt ihre Wünsche und enthüllt die Zukunft vor ihren Augen. \n\nDieses Item schaltet einen neuen Avatar für deine Sphäre frei.
AVATAR_BOMB_SLINGER.marketDescription;Das Leben kann nicht nur schwarz oder weiß, sondern manchmal auch ganz schön explosiv sein!\n\nDieser Gegenstand schaltet einen neuen Avatar für deine Sphäre frei.
AVATAR_CAP_10.marketDescription;Vor langer Zeit wurde dieser Mech als Wächter entwickelt. Jetzt wurde er umprogrammiert - zu einem Piraten!
AVATAR_DARK_WISP.marketDescription;Ein schelmischer Geist, der in allen möglichen Lücken Unterschlupf sucht.\n\nDieser Gegenstand schaltet einen neuen Avatar für deine Sphäre frei.
AVATAR_FUGORO.marketDescription;Fugoro ist der wagemutigste Händler der Welt. Oft schleicht er sich an Orosei vorbei, um die Schätze der Pandora zu erbeuten.\n\nDieser Gegenstand schaltet einen neuen Avatar für deine Sphäre frei.
AVATAR_GREEN_ELEMENTAL_2.marketDescription;Verrückte sehen diese Kreatur manchmal tief in den ungezähmten Wäldern.\n\nDieser Gegenstand schaltet einen neuen Avatar für deine Sphäre frei.
AVATAR_GREEN_ELEMENTAL_3.marketDescription;Er erscheint vor Verrückten, erfüllt ihre wünsche und verändert die Wälder nach ihrem belieben. \n\nDieses Item schaltet einen neuen Avatar für deine Sphäre frei.
AVATAR_HOAKA.marketDescription;Als Meister der Kriegskunst wäre Hoaka unbesiegbar, wenn er nicht ständig neue unnütze Taktiken erfinden würde.\n\nDieser Gegenstand schaltet einen neuen Avatar für deine Sphäre frei.
