CARD_ALREADY_OWNED_TOOLTIP_TEXT;Du besitzt diese Karte {0} mal.
CARD_FILTER_CREATURE;Kreatur
CARD_FILTER_EVENT;Ereignis
CARD_FILTER_FALL_OF_EVERLIFE;Ende des Ewigen Lebens
CARD_FILTER_OVERSKY;Wolkenwelt
CARD_FILTER_STRUCTURE;Bauwerk
PANDORA_MYTHIC_RUN_NOT_ENOUGH_COINS_ERROR_TEXT;Du hast nicht genügend Splitter um diesen Lauftyp zu starten.
PANDORA_MYTHIC_RUN_TOOLTIP_TEXT;Starte einen Mystischen Pandora-lauf. Gewinne bis zu 6 Spiele für Scherben.
PANDORA_POINT_TOOLTIP_TEXT;Gewinne Punkte um Belohnungen am Ende jeder Saison zu erhalten.
PANDORA_POP_UP_MULTI_PLAYER_TITLE_TEXT;Mehrspieler
PANDORA_POP_UP_MYTHIC_MULTI_PLAYER_INFO_TEXT;Spiele gegen andere Spieler um deutlich höhere Belohnungen zu erhalten.
PANDORA_POP_UP_MYTHIC_RUN_MULTI_PLAYER_TITLE_TEXT;Mythischer Mehrspieler
PANDORA_POP_UP_MYTHIC_RUN_SINGLE_PLAYER_TITLE_TEXT;Mythischer Einzelspieler
PANDORA_POP_UP_MYTHIC_SINGLE_PLAYER_INFO_TEXT;Bekämpfe immer stärker werdende KI für Scherben.
PANDORA_POP_UP_SINGLE_PLAYER_TITLE_TEXT;Einzelspieler
PANDORA_POP_UP_STANDARD_MULTI_PLAYER_INFO_TEXT;Spiele gegen andere Spieler um deutlich höhere Belohnungen zu erhalten.
PANDORA_POP_UP_STANDARD_RUN_MULTI_PLAYER_TITLE_TEXT;Mehrspieler
PANDORA_POP_UP_STANDARD_RUN_SINGLE_PLAYER_TITLE_TEXT;Einzelspieler
PANDORA_POP_UP_STANDARD_SINGLE_PLAYER_INFO_TEXT;Kämpfe gegen zunehmend starke künstliche Intelligenz für Beutetruhen und Karten.
PANDORA_STANDARD_RUN_HAS_FULL_COLLECTION_ERROR_TEXT;Du kannst keine Standardläufe mehr starten, da du besitzt bereits alle Karten besitzt.
PANDORA_STANDARD_RUN_NOT_ENOUGH_CHEST_ERROR_TEXT;Du besitzt nicht genügend Beutetruhen um diesen Lauftyp zu wählen.
PANDORA_STANDARD_RUN_TOOLTIP_TEXT;Starte einen Pandoralauf. Gewinne bis zu 6 Spiele für Beutetruhen und Karten.
PURCHASE_PANEL_BUY_MISSING_SOFT_CURRENCY_TEXT;Fehlende {0} {1} kaufen?
PURCHASE_PANEL_GO_TO_SHOP_BUTTON_TEXT;Zum Laden gehen
PURCHASE_PANEL_OUT_OF_CURRENCY_TEXT;Du hast keine {0} mehr. Besuche den Laden um mehr zu erhalten.
REWARD;Belohnung
REWARD_ACT;Missionspaket freigeschaltet
REWARD_ARENA_POINTS;{0}
REWARD_AVATAR;Du hast einen Avatar erhalten.
REWARD_BLUEPRINT;Neues Rezept freigeschaltet!
REWARD_BOOSTER;{0}
REWARD_CARD;Du hast {0} Karte(n) erhalten.
REWARD_CARD_BACK;Neuer Kartenrücken
REWARD_EMOTE;Neues Emote
REWARD_FEATURE_ARENA_ID;Du hast den Pandora-Modus freigeschaltet!
REWARD_FEATURE_CRAFTING_ID;Du hast die Herstellung freigeschaltet!
REWARD_FEATURE_EPIC_CRAFTING_ID;Du hast epische Herstellung freigeschaltet!
REWARD_FEATURE_HIGHLANDER_ID;Du hast den Highlandermodus freigeschaltet!
REWARD_FEATURE_MAIN_MENU_ID;Du kannst jetzt Decks bauen!
REWARD_FEATURE_RANKED_ID;Du hast den Ranglistenmodus freigeschalten!
REWARD_FEATURE_RARE_CRAFTING_ID;Du hast seltene Herstellung freigeschaltet!
REWARD_ORIGIN_ACCOUNTACTIVATED;Belohnung zur Accountaktivierung
REWARD_ORIGIN_ANNUITY;Goki hat Scherben gefunden
REWARD_ORIGIN_ARENA;Dein Preis
REWARD_ORIGIN_CRAFT;Herstellung abgeschlossen!
REWARD_ORIGIN_DAILYASSIGNMENT;Täglicher Auftrag
REWARD_ORIGIN_DAILYQUEST;Tägliche Quest abgeschlossen.
REWARD_ORIGIN_DEFEAT;Deine Belohnung
REWARD_ORIGIN_DLCPREMIUM;Premiumaccount
REWARD_ORIGIN_DLCFALLOFEVERLIFE;Der Untergang von Ewigleben
REWARD_ORIGIN_EARLYACCESSBUNDLE;Early-Access-Paket
REWARD_ORIGIN_FIRSTDAYVICTORY;Erster Sieg des Tages
REWARD_ORIGIN_HATCH;Das Ei schlüpft
REWARD_ORIGIN_LADDERRESET;Belohnung zum Ranglistenneustart
REWARD_ORIGIN_LEVEL;Belohnung für Stufe {0}
REWARD_ORIGIN_LOYALTYPATCH;Loyalitäts-Update Belohnung
REWARD_ORIGIN_MARKET;Kauf abgeschlossen!
REWARD_ORIGIN_POUCH;Abenteuerbeutel-Belohnung
REWARD_ORIGIN_QUEST;Missionsbelohnung
REWARD_ORIGIN_RECRUITMENT;Anwerbung
REWARD_ORIGIN_SOLOOBJECTIVE;Aufgabe abgeschlossen!
REWARD_ORIGIN_STEAMPACK;Steam-Paket
REWARD_ORIGIN_VICTORY;Deine Belohnung
REWARD_POUCH_POINTS;{0}
REWARD_WELL;Neuer Faeria-Brunnen
TOURNAMENT_ALREADY_SIGNED_UP;Du bist angemeldet.
TOURNAMENT_DECK_ALREADY_PICKED;Dieses deck wurde schon für dieses Turnier ausgewählt
TOURNAMENT_DECK_CHANGE_LOST_A_GAME;Du kannst nicht das selbe Deck wählen mit dem du ein Spiel verloren hast.
TOURNAMENT_DECK_FIXED_UNTIL_LOSS;Du kannst dein Deck nicht ändern, bis du ein Spiel verlierst.
TOURNAMENT_DECK_LOCKED;Dieses deck ist für ein Turnier registriert. Du kannst es nicht verändern bis die Turnieranmeldung abgeschlossen ist.
TOURNAMENT_DECK_LOST_A_GAME;Du kannst nicht das selbe Deck wählen mit dem du ein Spiel verloren hast.
TOURNAMENT_DECK_MUST_BE_LEAD;Du musst dein anfangs Deck dür das erste Spiel auswählen.
TOURNAMENT_DISCARD_DECKS;Neu starten
TOURNAMENT_LOBBY;Turnier Lobby
TOURNAMENT_PICKED_DECK;#{0} Registriert
TOURNAMENT_SIGNUP;Anmeldung
TOURNAMENT_SIGNUP_DECK_1;Registriere dein 1stes Deck
TOURNAMENT_SIGNUP_DECK_2;Registriere dein 2tes Deck
TOURNAMENT_SIGNUP_DECK_3;Registriere dein 3tes Deck
TOURNAMENT_SIGNUP_SUCCESSFUL;Turnieranmeldung erfolgreich!
