QUEST_NAME_PUZZLE_DLC_YRUSH_2;Heilige Intervention
QUEST_NAME_PUZZLE_DLC_YRUSH_1;Angreifen und Wegrennen
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;Massenansturm
QUEST_NAME_PUZZLE_DLC_WHALES;Walzeit
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;Die Stimme
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;Verdrehter Spiegel
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;Herrschaft der Fische
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;Für den Schwarm
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;Rubinyak OTK
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;Kanonenparty
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;Verteidiger der Himmelswelt
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;In Deckung!
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;Übermut tut selten gut
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;Wissenschaftsunterricht
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;Superkröte
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;Das Monster
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;Albtraum
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;Steige auf
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;Finale
QUEST_NAME_PUZZLE_DLC_MAZE;Labyrinth
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;Unerwarteter Held
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;Die Jagd beginnt
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;Königsmord
QUEST_NAME_PUZZLE_DLC_KAIOS;Reich des Kaios
QUEST_NAME_PUZZLE_DLC_ISTANU;Ewiges Licht
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;Bär OTK
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;Freunde bis zum bitteren Ende
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;Gegenschlag
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;Der Hammer
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;Die Macht der Freundschaft
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;Der Schmied
QUEST_NAME_PUZZLE_DLC_GEMSHELL;Wähle eine Karte
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;Wissen ist Macht
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;Magischer Schulbus
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;Glücksfee
QUEST_NAME_PUZZLE_DLC_EXPLORER;Farbwechsel
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;Ereignis OTK
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;ES of Mill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;Die Prophezeiung
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;Unter Konstruktion
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;Die Ernte
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;Aasfresser
QUEST_NAME_PUZZLE_DLC_BAERU;Herr der Oceane
QUEST_NAME_PUZZLE_DLC_AXOLOTL;Hakxolotl
