ACCOUNT_DOES_NOT_EXIST;Dieser Account existiert nicht.
ACTIVATION_CODE_FAILED;Es scheint ein Problem mit deinem Aktivierungscode vorzuliegen.
ACTIVATION_KEY_FAILED;Es scheint ein Problem mit deinem Aktivierungsschlüssel vorzuliegen.
ALREADY_IN_GAME;Du scheinst bereits im Spiel zu sein. Versuche dich ab- und wieder anzumelden.
BAD_CLIENT_VERSION;Deine Version scheint veraltet zu sein. Bitte starte das Spiel neu.
CANNOT_BE_PLAYER_HAS_NO_DECK;Der Moderator wollte dich als Spieler festlegen, aber du hast kein Deck.
CANNOT_INVITE_FRIEND_DECLINED;Der Spieler, den du einladen wolltest, hat bereits abgelehnt. Die Freundschaftsanfrage muss jetzt von ihm ausgehen.
CANNOT_INVITE_FRIEND_DOES_NOT_EXIST;Dieser Spieler existiert nicht. Achte bitte darauf, eine richtige Spieler-ID einzugeben.
CANNOT_INVITE_FRIEND_OPPONENT;Du kannst niemanden einladen gegen den du spielst. Warte bis nach dem Spiel.
CANNOT_INVITE_FRIEND_PROLOGUE;Freunde, die den Prolog noch nicht abgeschlossen haben, können nicht eingeladen werden.
CANNOT_INVITE_FRIEND_REFUSED;Der Spieler, den du einladen wolltest, nimmt keine Freundschaftsanfragen an.
CANNOT_MODIFY_DECK_WHILE_SEARCHING;Du kannst dein Deck nicht verändern, während du nach einer Partie suchst.
CANNOT_PAUSE_DURING_MULLIGAN;Eine Partie kann nicht angehalten werden, während die Starthand gewählt wird.
CANNOT_SET_AS_PLAYER_HAS_NO_DECK;Kann nicht als Spieler festgelegt werden, da er kein Deck hat.
CANNOT_SET_YOURSELF_AS_RECRUITER;Du kannst dich nicht selbst als Anwerber festlegen.
CANNOT_SIGN_UP_FREEZE_MODE_ON;Die Server werden gerade gewartet, bitte versuche dich später noch einmal anzumelden.
CANNOT_SPECTATE_TOURNAMENT_GAME;Du kannst bei Turnierspielen nicht zuschauen.
CANNOT_START_FREEZE_MODE_ON;Zurzeit können keine Partien gestartet werden, die Server sind ausgelastet. Tut uns leid!
CANNOT_START_SERVER_REBOOTING;Es können keine Partien gestartet werden. Der Server wird bald neugestartet.
CARD_COPIES_LIMITED;Jede Karte darf nur bis zu 3 Mal in einem Deck sein.
COMMUNITY_EVENT_INACTIVE_OR_DOES_NOT_EXIST;Community-Ereignis ist inaktiv oder existiert nicht.
COMMUNITY_EVENT_NO_STEAM_KEYS_LEFT;Keine verbleibenden Steam-Keys, bitte versuche es später erneut.
CONSTRUCTED_CLOSED;Der Ranglistenmodus ist heute nicht verfügbar, nur Pandora ist geöffnet.
COUPON_ALREADY_USED;Dieser Gutschein wurde bereits verwendet.
COUPON_DOES_NOT_EXIST;Ungültiger Gutscheincode.
COUPON_EXPIRED;Der eingegebene Gutscheincode ist abgelaufen.
COUPON_ITEM_ALREADY_OWNED;Du hast die Belohnung(en) für diesen Gutschein bereits erhalten.
COUPON_MAX_ACTIVATIONS_REACHED;Dieser Gutschein kann nicht mehr aktiviert werden, da seine maximalen Aktivierungen erreicht wurden.
COUPON_RESERVED;Dieser Gutschein ist für einen anderen Account reserviert.
DECK_SIZE_LIMITED;Ein Deck kann aus maximal {0} Karten bestehen.
DISCONNECTED_FROM_WORLD;Die Partie ist vorbei, doch anscheinend wurde deine Verbindung zum Hauptserver unterbrochen. Bitte stelle die Verbindung wieder her.
FRIEND_DOES_NOT_ALLOW_SPECTATE;Dein Freund erlaubt bei seinen Spielen keine Zuschauer.
FRIEND_NO_LONGER_IN_GAME;Dein Freund befindet sich nicht mehr in einem Spiel.
GAME_CANCELED_NO_GAMESERVER_FOUND;Es wurde kein Spielserver in deiner Region gefunden. Bitte versuche es später erneut.
GAME_CANCELED_PLAYER_DID_NOT_REPLY_IN_TIME;Deine Partie wurde abgebrochen (ein Spieler hat nicht rechtzeitig geantwortet).
GAME_CANCELED_SERVER_DID_NOT_REPLY_IN_TIME;Deine Partie wurde abgebrochen (der Server hat nicht rechtzeitig geantwortet).
GAME_CANCELED_SERVER_STOPPING;Deine Partie wurde abgebrochen (der Server wurde angehalten).
GAME_CANCELED_VERSION;Deine Partie wurde abgebrochen, da deine Client-Version nicht aktuell ist.
