ACTIVATE;<b>Aktivierung</b>
AQUATIC;<b>Aquatisch</b>
ARTIFACT;Artefakt
AUTO_HARVEST;<b>Autom. Ernte</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;Grünes Starterdeck
BLUEPRINT_01.shortdescription;Nutze die Macht des Waldes und unterstütze deine menschliche Armee mit mehr Gesundheit und besserer Beweglichkeit. Sichere dir eine Stellung neben einem Faeria-Brunnen, dann rase auf die Sphäre zu!
BLUEPRINT_02.name;Rotes Starterdeck
BLUEPRINT_02.shortdescription;Deine Oger marschieren bedrohlich die Berge herunter. Greife deinen Gegner mit ihren massiven Körpern an und beende die Arbeit mit einem Feuerball!
BLUEPRINT_03.name;Blaues Starterdeck
BLUEPRINT_03.shortdescription;Löse mit der Macht deiner Ereignisse eine Welle aus! Nutze deine springenden und aquatischen Kreaturen um von mehreren Faeria-Brunnen gleichzeitig zu sammeln. Schlag zu, wenn die Zeit reif ist.
BLUEPRINT_04.name;Gelbes Starterdeck
BLUEPRINT_04.shortdescription;Koste von den dunklen Freuden der Wüste. Praktiziere verbotene Rituale und sammle Macht durch den Tod deiner eigenen Kreaturen. Nutze deine Lebensenergie als eine Ressource, um einen Vorteil über deinen Gegner zu erlangen und seine Sphäre zu verschlingen.
BLUEPRINT_05.name;Blaue Invasion
BLUEPRINT_05.shortdescription;Lass dich durch deine Gier nach mehr und mehr Faeria anspornen. Konzentriere dich darauf, von feindlichen Brunnen zu sammeln, und deine massiven Kolossi werden mit jeder Ernte billiger.
BLUEPRINT_06.name;Ruhm im Kampf
BLUEPRINT_06.shortdescription;Zerschmettere deine Feinde, treibe sie vor dir her, und höre das Wehklagen der Yaks. Befehlige eine Armee, die im ständigen Gefecht aufblüht. Das Geschenk des Stahls erstrahlt am hellsten in Zeiten des Krieges.
BLUEPRINT_07.name;Tödlicher Kreuzzug
BLUEPRINT_07.shortdescription;Zeig keine Gnade. Mach dich direkt auf den Weg in Richtung des Gegners und attackiere seine Sphäre um jeden Preis, während deine Fanatischen Kreuzritter beständig stärker werden.
BLUEPRINT_08.name;Das perfekte Geschäft
BLUEPRINT_08.shortdescription;Geh einen lukrativen Handel mit den Ogern ein und spiele deine teuren Karten zu einem Bruchteil ihrer normalen Kosten. Entfessle Drachen und Behemoths, um epische Siege zu erlangen.
BLUEPRINT_09.name;Himmelsflotte
BLUEPRINT_09.shortdescription;Beherrsche den Himmel. Deine Aviarien werden die Stärke deiner fliegenden Armada unterstützen. Segele direkt zum Herz deines Gegners und entfessle den Tod von oben.
BLUEPRINT_10.name;Zorn der Natur
BLUEPRINT_10.shortdescription;Der Wald ist nicht immer geduldig. Mache dich zur Sphäre auf und bahne für deine Gottesjäger einen Weg zu ihrer natürlichen Beute: dem Gesicht deines Gegners.
CHARGE;<b>Ansturm {0}</b>
COMBAT;<b>Gefecht</b>
CONVOKE;<b>Einberufen</b>
CORRUPT;<b>Verderben</b>
CREATURE;Kreatur
CURRENCY_COIN;Splitter
CURRENCY_GEM;Edelsteine
DAILY_QUEST_00_NAME;Ultima
DAILY_QUEST_01_NAME;Gemetzel
DAILY_QUEST_02_NAME;Gottesmord
DAILY_QUEST_03_NAME;Richtspruch
DAILY_QUEST_04_NAME;Eroberung
DAILY_QUEST_05_NAME;Tsunami
DAILY_QUEST_06_NAME;Blütezeit
DAILY_QUEST_07_NAME;Inferno
DAILY_QUEST_08_NAME;Sandsturm
DAILY_QUEST_09_NAME;Balance
DAILY_QUEST_11_NAME;Wunder
DAILY_QUEST_12_NAME;Schöpfung
DAILY_QUEST_13_NAME;Göttliche Prüfung
DAILY_QUEST_14_NAME;Zweikampf
DAILY_QUEST_15_NAME;Veteran
DAILY_QUEST_16_NAME;Quest für Freunde
DAILY_QUEST_18_NAME;Quest für Freunde
DAILY_QUEST_27_NAME;Schatzsuche
DAILY_QUEST_28_NAME;Selbstbestätigung
DAILY_QUEST_30_NAME;Pandora erwacht!
DAILY_QUEST_31_NAME;Beobachte und lerne!
DAILY_QUEST_32_NAME;Freunde bis zum Tod
DAILY_QUEST_33_NAME;Gut gekleidet
DAILY_QUEST_34_NAME;Selbst ist der Mann!
DAILY_QUEST_35_NAME;Handwerksmeister
DAILY_QUEST_COMPLETE_ANY_ACT;Schließe eine Mission oder ein Puzzlepaket ab.
DAILY_QUEST_COMPLETE_2_WILD_ACTS;Schließe 4 Wilde-Missionpakete ab.
DAILY_QUEST_COMPLETE_ANY_LANE;Schließe eine Reihe vollständig ab
DAILY_QUEST_COMPLETE_QUESTS;Schließe {0} Missionen ab
