ACCEPT;Annehmen
ACCOUNT_RECOVERY;Account-Wiederherstellung
ACCOUNT_RECOVERY_TITLE;Stelle deinen Account wieder her.
ACTIVATION_KEY;Aktivierungsschlüssel
ADD_A_FRIEND;Füge einen Freund anhand seiner ID hinzu
ADD_NEW_DECK;Neues Deck
ADVENTURE_POUCH_POINTS;Abenteuerbeutel-Punkte
ALLY_TURN;Zug deines Verbündeten
AMBIENT;Umgebung
ARENA_RUN_DECK_NAME;Pandora-Deck
BACK;ZURÜCK
BIND_ACCOUNT_BUTTON;Mit {0} verknüpfen
BIND_ACCOUNT_LABEL;Hast du schon einen Faeria-Account?
BLUEPRINT_PANEL_TEXT1;Versuche als erstes, eins der vorgefertigten Decks zu modifizieren.
BLUEPRINT_PANEL_TEXT2;Mit einem Klick auf die nachstehende Schaltfläche kannst du auch ein eigenes Deck bauen.
BLUEPRINT_PANEL_TITLE;Möchtest du dein eigenes Deck bauen?
BLUEPRINT_REQUIREMENT_LEVEL;Erreiche Stufe
BLUEPRINT_REQUIREMENT_QUEST;Schließe mehr Quests ab, um dieses Rezept freizuschalten.
BOOSTER_OPENING_GEMSTITLE;Seltenheit
BOSS_DEFEATED;Besiegt
BOSS_NOT_RELEASED;Noch nicht veröffentlicht
BUILD_YOUR_DECK;Individuelles Deck
CANCEL;Abbrechen
CARD_LIMIT_MESSAGE;Jede Karte darf nur bis zu 3 Mal in einem Deck sein.
CHAT_ERROR_MESSAGE_TOO_LONG;Nachricht ist zu lang (max. {0} Zeichen).
CHAT_ERROR_NOBODY_TO_REPLY_TO;Es gibt niemanden, dem du antworten könntest.
CHAT_ERROR_NOT_CONNECTED;Die Verbindung wurde unterbrochen. Bitte melde dich ab und wieder an.
CHAT_ERROR_NO_INTERLOCUTOR;Du chattest gerade nicht. Benutze das /w-Kommando, die Freundesliste oder klicke auf einen Nutzernamen im Chat, um der Person eine Nachricht zu senden.
CHAT_ERROR_ONLY_WITH_FRIENDS;Du kannst nur mit Leuten in Faeria chatten, mit denen du auch befreundet bist.
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0} ist offline: Du kannst nur Online-Nutzern Nachrichten senden.
