BOSS_KING_YAKNUS.description;Vor langer Zeit bildeten die Menschen und Yaks ein Bündnis. Um zu entscheiden, wer die Allianz leiten würde, kämpften die zwei Anführer. Das Volk der Verlierer sollte dem Sieger für 100 Jahre dienen. Der Menschenkönig gewann, aber jedes Jahr wiederholt sich dieser Kampf. Man nennt ihn... Yaknarök.
BOSS_GREEN_GENIE.description;Als die vier Heiligen fielen, kehrte Arboria der Welt den Rücken zu und kehrte zum Schimmernden Hain zurück. Hier ist das Leben wirklich ein Kreislauf und Gaias Stimme lebt weiter.
BOSS_BLUE_YELLOW_SURVIVAL.description;Magda löschte die Himmelsküsten-Banditen aus, die ihre Mutter ermordeten. Die verfluchten Geister des Kampfes verweilen hier und greifen jeden an, der eintritt.
BOSS_YAKKAR.description;In Yakkaran trainiert die Yak-Vorhut für einen mysteriösen, zukünftigen Krieg. Ihr Anführer Yakkar leitet die Yakkaran-Arena, wo er eine neue Form der Kriegsführung lehrt.
BOSS_AZURE_GENIE.description;Vor langer Zeit erfragte ein großer Kaiser verbotenes Wissen von Udina. Sie war amüsiert und gewährte seine Bitte. Es endete weder gut für ihn, noch für sein Reich.
BOSS_GREEN_RED_SURVIVAL.description;Niemand weiß, was dieses einst grüne Paradies zu Glas werden ließ. Niemand weiß, was die wütenden Wächter dazu bringt, es zu verteidigen. Warnung: Achte auf Oger.
BOSS_YELLOW_GENIE.description;Die Heulende Wüste ist die Heimat des großen Dagdan, Herr von Wind und Zorn. Dagdan rebellierte gegen den Himmelsgot Astar, unwillig, die Gabe des Fliegens zu teilen. Eines Tages stohl eine alte Frau die Gabe von Dagdan. Sie entschied sich, es zu teilen - und wurde für ihre Großzügigkeit von Astar mit unendlicher Jugend und Schönheit belohnt. Ihr Name war Iona. Wenn du einen Sturm aus dem Nichts entstehen siehst, ist es wahrscheinlich Dagdan, der über diesen alten Diebstahl wütet.
BOSS_CRIMSON_GENIE.description;Die Schmiede der Schöpfung ist der Ort, wo der Gott Aoros Seelen aus reiner Magie schuf. Eine seiner größten Kreationen war Pyrhos, der Wächter der Schmiede. Doch Pyrhos wurde in seiner Isolation langsam verrückt. Um ihm Gesellschaft zu leisten, nutzte er die Schmiede, um einen Freund zu erschaffen, den er Kojin nannte. Leider war Pyrhos kein Gott und konnte kein unsterbliches Wesen erschaffen.
BOSS_DARK_WISP.description;Ein einzelnes Irrlicht spukt in dieser einsamen Höhle. Jeder Versuch, mehr über es zu erfahren, ist fehlgeschlagen. Notizen, die darüber geschrieben werden, verschwinden. Wahrsagezauber zeigen nur blanke Blicke und leere Spiegel. Die Höhle tatsächlich betreten? Lass es einfach sein.
BOSS_FOUR_COLOR_01.description;Sogar Götter müssen getestet werden, wenn sie das Kosmische Portal betreten wollen. Dieser alptraumhafte Wald ruft Echos der furchterregendsten Kreaturen der Welt hervor. Bereite dich auf den Tod vor.
BOSS_RAIZEON.description;Das Kosmische Portal führt in den Nexus, wo Raizeon die ersten Realitäten bewacht. Mein Gott... es ist voller Sterne.
BOSS_JALMYR.description;Wohin gehen unbeantwortete Rätsel? Zu den Teichen des Trosts, wo Jalmyr unbegreifliche Dinge sammelt. Die Grenze zwischen Mythos und Realität ist hier verwischt. Bring deine mythischen Karten. Du wirst sie brauchen.
LIMITED_BOSS_BATTLE.description;Imperator Kaios fordert die Götter selbst heraus. Wenn du seine Truppen das erste Mal am Tag besiegst, erhältst du Erfahrung und ein paar Punkte für deinen Beutel.
OVERSKY_ISLAND_01_MISSION01.description;Das Imperium ist uns in der Wolkenwelt zuvorgekommen. Ein imperialer Entdecker hat Fugoro gefangengenommen. Es ist an der Zeit, den legendären Frosch zu retten.
OVERSKY_ISLAND_01_MISSION02.description;Der Entdecker wollte Fugoro in das imperiale Gefangenenlager bringen. Was für Pläne verfolgt das Imperium? Besiege den Wärter um es herauszufinden.
OVERSKY_ISLAND_01_MISSION03.description;Du hast den wahren Plan der Imperialen entdeckt. Sie haben ein heiliges Ei in ihren Besitz gebracht und nutzen Magie, um es am schlüpfen zu hindern. Hilf dem Baby sich zu befreien.
OVERSKY_ISLAND_01_MISSION04.description;Das heilige Drachen-Yak ist geschlüpft. Sag Hallo.
OVERSKY_ISLAND_02_MISSION01.description;Du musst vier Prüfungen bestehen um die Hilfe von Ulani, der Schamanin der Wolkenwelt, zu verdienen. Die erste ist die Prüfung der Weisheit.
OVERSKY_ISLAND_02_MISSION02.description;Der ehrenwerte Häuptling Taranga ist für die Prüfung des Mutes verantwortlich. Besiege ihn, um deine Reise fortzusetzen.
OVERSKY_ISLAND_02_MISSION03.description;Flauschie, der Ältere, scheint auf den ersten Blick ein sehr komischer Kauz zu sein, aber er hat die Tugend der Bescheidenheit gemeistert. Es ist nicht schwer zu sehen, warum.
