CARD_ALREADY_OWNED_TOOLTIP_TEXT;You own {0} of this card.
CARD_FILTER_CREATURE;Creature
CARD_FILTER_EVENT;Event
CARD_FILTER_FALL_OF_EVERLIFE;Fall of Everlife
CARD_FILTER_OVERSKY;Oversky
CARD_FILTER_STRUCTURE;Structure
PANDORA_MYTHIC_RUN_NOT_ENOUGH_COINS_ERROR_TEXT;You don't have enough shards to start this type of run
PANDORA_MYTHIC_RUN_TOOLTIP_TEXT;Start a mythic Pandora run. Win up to 6 games for shards.
PANDORA_POINT_TOOLTIP_TEXT;Win points to earn rewards at the end of each season.
PANDORA_POP_UP_MULTI_PLAYER_TITLE_TEXT;Multi Player
PANDORA_POP_UP_MYTHIC_MULTI_PLAYER_INFO_TEXT;Compete against other players for MUCH higher rewards.
PANDORA_POP_UP_MYTHIC_RUN_MULTI_PLAYER_TITLE_TEXT;Mythic Multi Player
PANDORA_POP_UP_MYTHIC_RUN_SINGLE_PLAYER_TITLE_TEXT;Mythic Single Player
PANDORA_POP_UP_MYTHIC_SINGLE_PLAYER_INFO_TEXT;Fight increasingly powerful AI for shards.
PANDORA_POP_UP_SINGLE_PLAYER_TITLE_TEXT;Single Player
PANDORA_POP_UP_STANDARD_MULTI_PLAYER_INFO_TEXT;Compete against other players for MUCH higher rewards.
PANDORA_POP_UP_STANDARD_RUN_MULTI_PLAYER_TITLE_TEXT;Multi Player
PANDORA_POP_UP_STANDARD_RUN_SINGLE_PLAYER_TITLE_TEXT;Single Player
PANDORA_POP_UP_STANDARD_SINGLE_PLAYER_INFO_TEXT;Fight increasingly powerful AI for battle chests and cards.
PANDORA_STANDARD_RUN_HAS_FULL_COLLECTION_ERROR_TEXT;You already own all the available cards so you cannot start standard runs anymore
PANDORA_STANDARD_RUN_NOT_ENOUGH_CHEST_ERROR_TEXT;You don't have enough battle chests to start this type of run
PANDORA_STANDARD_RUN_TOOLTIP_TEXT;Start a standard Pandora run. Win up to 6 games for battle chests and cards.
PURCHASE_PANEL_BUY_MISSING_SOFT_CURRENCY_TEXT;Buy the missing {0} {1}?
PURCHASE_PANEL_GO_TO_SHOP_BUTTON_TEXT;Go to shop
PURCHASE_PANEL_OUT_OF_CURRENCY_TEXT;You're out of {0}. You can visit the shop to get more.
REWARD;Reward
REWARD_ACT;Mission pack unlocked
REWARD_ARENA_POINTS;{0}
REWARD_AVATAR;You receive an avatar
REWARD_BLUEPRINT;New Formula unlocked!
REWARD_BOOSTER;{0}
REWARD_CARD;You receive {0} card(s)
REWARD_CARD_BACK;New card back
REWARD_EMOTE;New Emote
REWARD_FEATURE_ARENA_ID;You've unlocked Pandora mode!
REWARD_FEATURE_CRAFTING_ID;You've unlocked crafting!
REWARD_FEATURE_EPIC_CRAFTING_ID;You've unlocked epic crafting!
REWARD_FEATURE_HIGHLANDER_ID;You've unlocked Highlander mode!
REWARD_FEATURE_MAIN_MENU_ID;You've unlocked the deck builder!
REWARD_FEATURE_RANKED_ID;You've unlocked ranked mode!
REWARD_FEATURE_RARE_CRAFTING_ID;You've unlocked rare crafting!
