QUEST_NAME_PUZZLE_DLC_YRUSH_2;Divine Intervention
QUEST_NAME_PUZZLE_DLC_YRUSH_1;Hit and Run
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;Stampede
QUEST_NAME_PUZZLE_DLC_WHALES;Whale of a Time
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;The Voice
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;Twisted Mirror
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;Reign of Fish
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;For the Swarm
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;Ruby Yak OTK
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;Cannon Party
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;Defenders of Oversky
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;Take Cover!
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;Pride Comes Before a Fall
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;Science Class
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;Super Toad
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;The Monster
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;Nightmare
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;Ascend
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;Finale
QUEST_NAME_PUZZLE_DLC_MAZE;Labyrinth
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;Unexpected Hero
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;The Hunt is On
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;Regicide
QUEST_NAME_PUZZLE_DLC_KAIOS;Domain of Kaios
QUEST_NAME_PUZZLE_DLC_ISTANU;Eternal Light
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;Ursus OTK
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;Friends Till the End
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;Counter Strike
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;The Hammer
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;The Power of Friendship
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;The Smith
QUEST_NAME_PUZZLE_DLC_GEMSHELL;Pick a Card
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;Knowledge is Power
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;Magic School Bus
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;Faerie Tale
QUEST_NAME_PUZZLE_DLC_EXPLORER;Chromatic Switch
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;Events OTK
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;ES of Mill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;The Prophecy
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;Under Construction
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;The Harvest
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;Scavenger
QUEST_NAME_PUZZLE_DLC_BAERU;Ocean Lord
QUEST_NAME_PUZZLE_DLC_AXOLOTL;Hookxolotl
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;I Dream and the Frogs Tremble
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;Power Overwhelming
QUEST_NAME_LOYALTY_PATCH_03;Fall of Everlife
