ACCEPT;Accept
ACCOUNT_RECOVERY;Account recovery
ACCOUNT_RECOVERY_TITLE;Recover Your Account
ACTIVATION_KEY;Activation Key
ADD_A_FRIEND;Add a friend via their id
ADD_NEW_DECK;New Deck
ADVENTURE_POUCH_POINTS;Adventure Pouch Points
ALLY_TURN;Ally Turn
AMBIENT;Ambient
ARENA_RUN_DECK_NAME;Pandora Deck
BACK;BACK
BIND_ACCOUNT_BUTTON;Bind to {0}
BIND_ACCOUNT_LABEL;Already have a Faeria account?
BLUEPRINT_PANEL_TEXT1;Try altering one of the pre-made decks first.
BLUEPRINT_PANEL_TEXT2;You can also build a custom deck by pressing the button below.
BLUEPRINT_PANEL_TITLE;Want to Build Your Own Deck?
BLUEPRINT_REQUIREMENT_LEVEL;REACH LEVEL
BLUEPRINT_REQUIREMENT_QUEST;COMPLETE MORE MISSIONS TO UNLOCK THIS FORMULA
BOOSTER_OPENING_GEMSTITLE;Rarity Gems
BOSS_DEFEATED;Defeated
BOSS_NOT_RELEASED;To be released
BUILD_YOUR_DECK;Custom Deck
CANCEL;Cancel
CARD_LIMIT_MESSAGE;Each card is limited to 3 copies per deck.
CHAT_ERROR_MESSAGE_TOO_LONG;Message is too long (max. {0} characters).
CHAT_ERROR_NOBODY_TO_REPLY_TO;There is nobody to reply to.
CHAT_ERROR_NOT_CONNECTED;Your connection was lost. Try logging out and logging back in again.
CHAT_ERROR_NO_INTERLOCUTOR;You aren't chatting to anyone. Use the /w command, the friend list or click on a username in the chat to send a message.
CHAT_ERROR_ONLY_WITH_FRIENDS;You may only chat with people that you are friends with on Faeria.
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0} is offline: You can only send messages to online users.
CHAT_GENERIC_WARNING;Please remember that Abrakam Entertainment employees will never ask for your password when assisting you. Do not communicate sensitive data in chats.
CHAT_HINT_USER_BACK_ONLINE;{0} came back online!
CHAT_HINT_USER_WENT_OFFLINE;{0} went offline.
CHAT_INPUT_PLACEHOLDER;/w userName Your message.
CHAT_TOOLTIP_DND_MODE;Do not disturb mode. While this is enabled, this window won't open when you receive a message. Messages will be logged silently.
CHAT_TO_SOMEBODY;To [{0}]: {1}
CHEST_OPENING_NO_MORE_CHEST;Level up or complete Daily Quests to gain more Chests!
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;You currently have all the mythic items. Come back later.
CHOOSE_OTHER_BLUEPRINT;Change Formula
CLAIM_REWARDS;Claim your prize
CLEAR;Clear
COLLECTION_FILTER_CARD_TYPE;Filter by card type
COLLECTION_FILTER_FAERIA_COST;Filter by Faeria cost
COLLECTION_MODE;Crafting
COLLECTION_SEARCH_PLACEHOLDER;Search...
CONFIRM;Confirm
CONNECTION_LOST_RECONNECTING;Connection lost\nAttempting to reconnect...
CONNECTION_QUEUE_CAPTION;Your place in the queue:
CONNECTION_QUEUE_TITLE;Servers are full!
