BOSS_KING_YAKNUS.description;A long time ago, the humans and yaks forged an alliance. To decide who would lead, the two rulers fought. The victor would be served by the other's people for 100 years. The human king won, but every century the battle repeats. This is called... Yaknarok.
BOSS_GREEN_GENIE.description;When the four divines fell, Arboria abandoned the world and returned to the Shimmering Grove. Here life is truly circular and Gaea's voice lives on.
BOSS_BLUE_YELLOW_SURVIVAL.description;Magda exterminated the skyshore bandits that murdered her mother. The cursed spirits of the battle linger here, attacking any that enter.
BOSS_YAKKAR.description;In Yakkaran, the Yak Vanguard trains for a mysterious future war. Their leader Yakkar runs the Yakkaran Arena where he teaches a new form of warfare.
BOSS_AZURE_GENIE.description;Long ago a great Emperor sought forbidden knowledge from Udina. Amused, she granted his request. It did not end well for him or his empire.
BOSS_GREEN_RED_SURVIVAL.description;No one knows what turned this once-verdant paradise to glass. No one knows what causes enraged guardians to defend it. Warning: Watch out for ogres.
BOSS_YELLOW_GENIE.description;The Howling Desert is home to the great Dagdan, lord of wind and fury. Dagdan rebelled against the sky god Astar, refusing to share the gift of flight. One day an old woman stole the gift from Dagdan. She chose to share it, and for her generosity Astar granted her eternal youth and beauty. Her name was Iona. When you see a storm arise from nothing, it's likely Dagdan raging at this old theft.
BOSS_CRIMSON_GENIE.description;The Forge of Creation is where the god Aoros forged souls from raw magic. One of his greatest creations was Pyrhos, the guardian of the forge. However, Pyrhos slowly grew mad in his isolation. To keep himself company, he used the forge to create a friend he named Kojin. Sadly Pyrhos was not a god, and could not create a truly immortal being.
BOSS_DARK_WISP.description;A single wisp haunts this lonely cavern. All attempts to learn of it have failed. Notes written about it vanish. Scrying spells return only blank stares and empty mirrors. Actually approaching it? Don't. Just... Don't.
BOSS_FOUR_COLOR_01.description;Even gods must be tested if they wish to visit the Cosmic Portal. This nightmarish forest conjures echoes of the world's most terrifying creatures. Prepare to die.
BOSS_RAIZEON.description;The Cosmic Portal leads to the Nexus, where Raizeon stands watch over the prime realities. My god... It's full of stars. 
BOSS_JALMYR.description;Where do unanswered riddles go? To the Pools of Solace, where Jalmyr collects unknowable things. The boundary between myth and reality is lessened here. Bring your mythic cards. You'll need them.
LIMITED_BOSS_BATTLE.description;Emperor Kaios is challenging the gods themselves. The first time you defeat his forces each day, you'll earn experience and a few points for your pouch.
OVERSKY_ISLAND_01_MISSION01.description;The empire has beaten you to the oversky. One of their explorers has captured Fugoro. It's time to save the legendary frog.
OVERSKY_ISLAND_01_MISSION02.description;The explorer was taking Fugoro to this imperial prison camp. What exactly is the empire up to? Defeat the warden to find out.
OVERSKY_ISLAND_01_MISSION03.description;You've discovered the empire's true plan. They've captured a sacred egg and are using magic to prevent it from hatching. Help the baby break free.
