AURORA_EPIC_01_0001;¿Le harías daño a una pobre anciana?
AURORA_EPIC_01_0002;No tienes por qué hacer esto...
AURORA_EPIC_01_0003;Tu criatura será más feliz estando conmigo.
AURORA_EPIC_01_0004;Querido, ¿te apetece un té?
AURORA_EPIC_01_0005;La guerra es muy ruidosa. Vamos a descansar.
AURORA_EPIC_01_0006;¿Qué pasa si lanzas una roca verde a un río morado?
AURORA_EPIC_01_0007;Respuesta: la roca salpica agua.
AURORA_EPIC_01_0008;Que día tan hermoso
AURORA_EPIC_01_0009;Casi me he terminado el té.
AURORA_EPIC_01_0010;He terminado mi té.
AURORA_EPIC_01_0011;Gracias por dejar que me terminara el té.
AURORA_EPIC_01_0012;No deberías haberla dejado terminarse el té...
