FUGORO_EPIC_03_0001;He conseguido nuevos tesoros.
FUGORO_EPIC_03_0002;Algunos dicen que esta estatua viviente fue, una vez, la hermana de Orosei.
FUGORO_EPIC_03_0003;El gran sacerdote Sario se divirtió eternamente con sus víctimas. Literalmente.
FUGORO_EPIC_03_0004;¡Este ganó el concurso anual de Construye el mejor volcán!
FUGORO_EPIC_03_0005;Tuve que colarme en la montaña de Garudan para hacerme con esta belleza.
FUGORO_EPIC_03_0006;El rey chiflado creó toda una corte de yaks mecánicos.
FUGORO_EPIC_03_0007;Esto alberga los secretos de un monje anónimo. Yo lo llamo Jerry.
FUGORO_EPIC_03_0008;El cáliz del palacio alberga el néctar de la verdad.
FUGORO_EPIC_03_0009;Los corazones de las bestias salvajes laten al son de este tambor.
FUGORO_EPIC_03_0010;Este cuerno perteneció una vez al mismísimo Yaknus.
FUGORO_EPIC_03_0011;Aunque Aramis fuese derrotado, su espada se rehúsa a dejar de luchar.
