OVERSKY_ISLAND_01_MISSION04_0002;Mira al lindo y pequeño chico.
OVERSKY_ISLAND_01_MISSION04_0001;¡Rawrr!
OVERSKY_ISLAND_01_MISSION04_0004;¡Oh! Parece que quiere jugar.
OVERSKY_ISLAND_01_MISSION04_0009;Pongamos a este bebé en la cama.
OVERSKY_ISLAND_01_MISSION04_0010;¡Rawrr! ¡Rawrr!
OVERSKY_ISLAND_01_MISSION04_0011;¿Está llamando a sus padres?
OVERSKY_ISLAND_01_MISSION04_0012;¡Aquí, toma esto!
OVERSKY_ISLAND_01_MISSION04_0005;¡Rawr! ¡Divertido!
OVERSKY_ISLAND_01_MISSION04_0006;¡Aww, creo que está aprendiendo a hablar!
OVERSKY_ISLAND_01_MISSION04_0013;¡Oh!
