PROLOGUE_3_0001;¡El BOSQUE me da fuerzas!
PROLOGUE_3_0002;Los bosques le dejan jugar cartas más poderosas.
PROLOGUE_3_0003;Algunas cartas solo podrán usarse en tierras especiales.
PROLOGUE_3_0004;El oso necesita un bosque.
PROLOGUE_3_0006;Las criaturas del bosque DEBEN invocarse en bosques.
PROLOGUE_3_0007;En cada turno, podrás crear 1 tierra especial o 2 neutrales.
PROLOGUE_3_0008;Este gólem necesita 5 bosques.
PROLOGUE_3_0009;La habilidades clave son explicadas encima de la carta.
PROLOGUE_3_0010;Selecciona una carta y mira lo que hace.
PROLOGUE_3_0011;Las criaturas con Don realizan una acción especial al invocarse.
PROLOGUE_3_0012;Este enemigo tiene Provocar.
PROLOGUE_3_0013;Las criaturas que estén junto a enemigos con Provocar DEBEN luchar contra ellos o permanecer quietas.
