PROLOGUE_5_0001;Buena suerte...
PROLOGUE_5_0002;Un sacrificio necesario.
PROLOGUE_5_0003;¡He dominado los CUATRO elementos!
PROLOGUE_5_0004;ten cuidado. Siempre pierdo contra este imbécil.
PROLOGUE_5_0014;¡Mi mente es infinita!
PROLOGUE_5_0005;¡Tu muerte viene desde el desierto!
PROLOGUE_5_0006;¡ARDE!
PROLOGUE_5_0007;¡Dos nuevos poderes desboqueados!
PROLOGUE_5_0008;Ahora puedes robar o ganar 1 de Faeria en lugar de colocar tierras.
PROLOGUE_5_0009;¡Esto se acaba aquí!
PROLOGUE_5_0010;¡Doblégate ante mi espíritu!
PROLOGUE_5_0011;Esta criatura tiene Últimas Palabras.
PROLOGUE_5_0012;¡Tienes que matar ese espíritu!
PROLOGUE_5_0013;¡NO! ¡QUÉ HAS HECHO!
GAMEPAD_PROLOGUE_5_0015;Puedes usar {GAMEPAD_BACK_BUTTONS_L1} y {GAMEPAD_BACK_BUTTONS_R1} para navegar por las cartas de tu mano.
