1.cardName;Granjero
2.cardName;Arquero en la Cima
2.cardText;{ranged_attack}
3.cardName;Guerrero de Syland
4.cardName;Maestro de Caballos de Syland
4.cardText;{gift} - Otorga {charge|3} a una criatura amistosa este turno.
9.cardName;Ingeniero Imperial
9.cardText;{gift} - Activa todas las habilidades de producción amistosas.
10.cardName;¡Mantener la Formación!
10.cardText;Añade dos <b>Guardias Imperiales</b> 2/3 con {taunt} a tu mano.
11.cardName;Fortaleza Andante
12.cardName;Forja de Vapor
12.cardText;{production} - Otorga +1/+0 a una criatura amistosa aleatoria.
13.cardName;Cobrador de Impuestos
13.cardText;{combat} - Ganas {faeria|1}.
14.cardName;Canción Sanadora
14.cardText;Roba una carta y ganas 5 de vida.
15.cardName;Salvaguardia
15.cardText;Otorga {protection} a una criatura.
16.cardName;Guardia Imperial
16.cardText;{taunt}\n{last_words} - Ganas 2 de vida.
22.cardName;Luchador por la Libertad
22.cardText;{haste}
23.cardName;Fogata
23.cardText;Otorga +1/+1 a una criatura.
24.cardName;Halcón en Picado
24.cardText;Inflige 1 de daño a una criatura.
29.cardName;Maestro Espadachín
29.cardText;Tiene +2/+0 durante tu turno (mientras esté en tu mano o en juego).
30.cardName;Yak del Prado
32.cardName;Ataque Yak
32.cardText;Invoca trés <b>Yaks Enfurecidos</b> 2/2 con {haste}.
33.cardName;Castigo
33.cardText;Inflige 2 de daño a una criatura. Si es una criatura neutral, inflige 5 de daño en su lugar.
34.cardName;El Favorito de la Reina
34.cardText;{protection}
35.cardName;Guardia de la Reina
35.cardText;{taunt}\n{combat} - Ganas {faeria|1}.
36.cardName;Magda, Reina de Meroval
36.cardText;Tus Legendarias cuestan {faeria|1} menos.\n{production} - Agrega una Legendaria aleatoria a tu mano. Se vuelve {wild}.
37.cardName;Bufón de la Corte
37.cardText;{taunt}\n{gift} - Otorga +2/+2 a una criatura aleatoria en tu mano.
38.cardName;Guardia del Rey
38.cardText;{taunt}\n{combat} - Robas una carta.
39.cardName;Heroína Improbable
39.cardText;La primera vez que esta criatura lucha y sobrevive, gana +3/+3 y {charge|2}.
40.cardName;Magnus, Rey de Meroval
40.cardText;{charge|3}\n{combat} - Robas una carta, cuesta {faeria|0}.
41.cardName;Portador de la Plaga
41.cardText;{last_words} - Inflige 2 de daño a TODAS las criaturas.
42.cardName;Máquina de Asedio
42.cardText;{ranged_attack}\nLuego de que ataque, esto gana +1/+0.
43.cardName;Sharra, la Matadragones
43.cardText;Sharra ignora todo el daño igual o mayor a 4.
44.cardName;Hambruna
44.cardText;Inflige 1 de daño a TODAS las criaturas.
45.cardName;Juez Real
45.cardText;{options|Roba gratis la carta Salvaguardia.|Roba gratis la carta Castigo.}\nAñade <b>Salvaguardia</b> a tu mano. Cuesta {faeria|0}.\nAñade <b>Castigo</b> a tu mano. Cuesta {faeria|0}.
46.cardName;Cartógrafo
46.cardText;{last_words} - Añade la carta <b>Explorar</b> a tu mano.
47.cardName;Estatua Reluciente
47.cardText;{taunt}\n{production} - Gana 1 de Vida.
48.cardName;Anciano del Pueblo
48.cardText;{last_words} - Roba una carta.
49.cardName;Narrador
49.cardText;{gift} - Cada jugador roba 2 cartas y gana 2 de Vida.
50.cardName;Monje Errante
50.cardText;Cuando robes una carta, esta criatura gana +1/+0.
51.cardName;Máquina de Vapor Reforzada
52.cardName;Fiel al Rey
52.cardText;{protection}
53.cardName;El Día de los Dragones
53.cardText;Agrega los cuatro <b>Dragones</b> elementales a tu mano. Cuestan {faeria|3} menos y se vuelven {wild}.
54.cardName;Aventurero Atrevido
54.cardText;{gift} - Gana +2/+2 por cada criatura enemiga adyacente.
55.cardName;Hombre del Mazo
56.cardName;Barón Thulgar
56.cardText;{last_words} - Cada jugador roba una carta. Cuestan {faeria|0}.
57.cardName;Sabiduría
57.cardText;Roba 2 cartas.
58.cardName;Yak de Guerra
58.cardText;Tiene +2/+0 mientras tu oponente tenga 10 de Vida o menos.
59.cardName;Defensor de la Patria
59.cardText;{taunt}\n{gift} - Si tu orbe fue atacado por criaturas el turno anterior, convoca otro <b> Defensor de la Patria</b>.
60.cardName;Asesino de la Reina
60.cardText;{deathtouch}
61.cardName;Forajido Perseguido
61.cardText;{last_words} - Tu oponente roba una carta y gana {faeria|2}.
62.cardName;Cazafortunas
62.cardText;Cuando esta criatura recolecta Faeria, le otorga +1/+1 a una criatura amistosa aleatoria.
63.cardName;Guardabosque de las Tierras Lejanas
63.cardText;{gift} - Añade la carta <b>Fogata</b> a tu mano.
64.cardName;Drenaje Imperial
64.cardText;Vacía todos los pozos de Faeria.\n{production} - Inflije 1 de daño a esta estructura.\n{last_words} - Rellena todos los pozos.
65.cardName;Explorador de la Jungla
65.cardText;Tiene +1/+1 mientras controles {blue}{blue} y +0/+2 mientras controles {green}{green}
66.cardName;Explorador Fogoso
66.cardText;Tiene +1/+1 mientras controles {blue}{blue} y +2/+0 mientras controles {red}{red}
67.cardName;Explorador del Oasis
67.cardText;Tiene +1/+1 mientras controles {blue}{blue} y +1/+1 mientras controles {yellow}{yellow}
68.cardName;Explorador de la Taiga
68.cardText;Tiene +2/+0 mientras controles {red}{red} y +0/+2 mientras controles {green}{green}
69.cardName;Explorador de la Sabana
69.cardText;Tiene +1/+1 mientras controles {yellow}{yellow} y +0/+2 mientras controles {green}{green}
70.cardName;Explorador de la Arenisca
70.cardText;Tiene +2/+0 mientras controles {red}{red} y +1/+1 mientras controles {yellow}{yellow}
71.cardName;Pez Rubí
71.cardText;{aquatic}
72.cardName;Ladrón de Historias
72.cardText;{options|Gana +2/+2.|Roba 2 cartas.}\n- Gana +2/+2\n- Roba 2 cartas.
73.cardName;Cisterna Gabriana
73.cardText;{production} Gana {faeria|3}. Inflige 1 de daño a esta estructura.
74.cardName;Tyranax
75.cardName;Hechicera Gabriana
75.cardText;{gift} - Modifica el Ataque de otra criatura y lo iguala a su Vida.
76.cardName;Comandante Gabriano
76.cardText;{aquatic}, {charge|2}\nLa primera vez que robas una carta con un coste base de {faeria|7} o mayor, esto gana +1/+1 y {flying}.
77.cardName;Guardián Gabriano
77.cardText;{gift} - Otorga {protection} a una criatura.
82.cardName;Mochi de Primavera
82.cardText;{gift} - La siguiente carta que robes con un coste base de {faeria|7} o superior, costará {faeria|3} menos.
83.cardName;Guerrero Tritón
83.cardText;{jump}
84.cardName;Bestia Mística
84.cardText;{gift} - Gana +2/+0 y {jump} si se invoca junto al pozo de Faeria de un oponente.
85.cardName;Espejismo Fantasmal
85.cardText;{gift} - Transforma a otra criatura en un <b>Espejismo Fantasmal</b> 5/5.
86.cardName;Jefe Tritón
86.cardText;{gift} - Añade la carta <b>Banquete Tritón</b> a tu mano.
87.cardName;Sapo Ninja
87.cardText;{jump}, {haste}
88.cardName;Ranificar
88.cardText;Transforma a una criatura en una <b>Rana</b> 2/2 con {jump}.
93.cardName;Encantamiento Gabriano
93.cardText;Modifica el Ataque de una criatura y lo iguala a su valor de Vida.\nRoba una carta.
94.cardName;Creación de Aurora
94.cardText;Añade una copia de cualquier criatura del campo de batalla a tu mano. Cuesta {faeria|5} menos.
95.cardName;Acechador Oscuro
95.cardText;Si has jugado un evento este turno, esta criatura cuesta {faeria|2} menos.
96.cardName;Torbellino Mágico
96.cardText;Agrega 2 cartas azules aleatorias a tu mano.
97.cardName;Noble Gabriano
97.cardText;{gift} - Invoca un <b>Pez rubí</b> 1/1 (puedes invocarlo en una casilla de océano).
102.cardName;Discípulo de Aurora
102.cardText;Cuando juegues un evento, esta criatura ganará +1/+1.
103.cardName;Caparazón Robusto
103.cardText;{aquatic}
104.cardName;Baeru, la Primera Ola
104.cardText;{aquatic}\n{production} - Transforma todas las tierras adyacentes a {blue}
105.cardName;Engendro de la Tormenta
105.cardText;{last_words} - Ganas {faeria|10}.
106.cardName;Historias de la Vieja Tortuga
106.cardText;Roba 3 cartas. Todas las criaturas robadas con este método costarán {faeria|2} menos.
107.cardName;Coloso Rompeolas
107.cardText;Cuesta {faeria|1} menos por cada vez que hayas recolectado Faeria de un pozo enemigo durante esta partida (coste mínimo: {faeria|4}).
108.cardName;Orosei, Sueño de las Profundidades
108.cardText;{flying}, {charge|2}\n{gift} - Transforma todas tus otras criaturas en criaturas aleatorias que cuesten {faeria|2} más.
109.cardName;Elemental de Agua
109.cardText;{jump}\n{gift} - Crea un {blue}
110.cardName;Faerie de Seda Gemántica
110.cardText;{flying}\nLa primera vez que robes un evento, esta criatura gana +2/+2 y {charge|2}.
111.cardName;Torre Hundida
111.cardText;{activate} - Mueve una tierra. Inflige 1 de daño a esta estructura.
112.cardName;Brizna Celeste
112.cardText;Cada vez que recolectes Faeria del pozo de un oponente, esta criatura ganará +1/+1.
113.cardName;Santuario Tritón
113.cardText;Cuando recolectes Faeria, esta estructura gana 1 de Vida.\n{activate} - Destrúyela y gana {faeria|1} igual a su Vida.
114.cardName;Sueño de Aurora
114.cardText;Roba hasta que tengas 9 cartas, luego reduce el coste de todas las cartas en tu mano a {faeria|0}.
115.cardName;Lancero de la Tormenta Nevada
115.cardText;{jump}\nCuando juegues un evento, esta criatura ganará +2/+0 durante ese turno (Límite de 3 eventos).
116.cardName;Luduan
116.cardText;Cuando esta criatura recolecta Faeria de uno de los pozos del oponente, añade una carta azul aleatoria a tu mano que cuesta {faeria|2} menos.
117.cardName;Huevo de las Maravillas
117.cardText;La primera vez que robas una criatura no-legendaria, el Huevo de las Maravillas se vuelve una copia de ella.
118.cardName;Arconte Gabriano
118.cardText;{charge|2}\nGana +2/+2 si jugaste 2 cartas con un coste base de {faeria|7} o superior durante esta partida.
119.cardName;Buzo Tritón
119.cardText;{aquatic}, {jump}
120.cardName;Marea Cambiante
120.cardText;{options|Mueve una tierra.|Roba una carta.}\n- Mueve una tierra.\n- Roba una carta.
121.cardName;Profeta de las Mareas
121.cardText;{gift} - Mueve dos veces la tierra donde invoques esta criatura.
122.cardName;Visión Humillante
122.cardText;Reduce a la mitad el Ataque y la Vida base de una criatura (redondeando hacia abajo).
123.cardName;Heraldo Antiguo
123.cardText;{gift} - La siguiente criatura que robes de tu mazo con 5 de vida o más, costará {faeria|2} menos.
124.cardName;Banquete Tritón
124.cardText;Otorga +1/+1 y {jump} a una criatura.
125.cardName;Aurora, Creadora de Mitos
125.cardText;{gift} - Cambia el Ataque y la Vida de otra criatura amistosa a 6/6.
126.cardName;Creador de Olas
126.cardText;Al final del turno de tu oponente, establece la cantidad de Faeria de AMBOS jugadores en {faeria|3}.
127.cardName;Experimento Fallido
127.cardText;La siguiente criatura que juegues este turno cuesta {faeria|4} menos. Muere instantáneamente.
128.cardName;El Truco de Aurora
128.cardText;Obtén el control de una criatura con 2 de Ataque o menor.
129.cardName;Sapos Guerreros
129.cardText;Invoca dos <b>Ranas</b>  2/2 con {jump}.
130.cardName;Lluvia Faérica
130.cardText;Gana {faeria|12}.
131.cardName;Guerrero Sagami
131.cardText;{dash|2}
132.cardName;Coleccionista de Huesos
132.cardText;Cuando una criatura adyacente muere, esta criatura gana +1/+1.
133.cardName;Sagami Almificado
133.cardText;{last_words} - Otorga +3/+5 a una criatura amistosa aleatoria.
134.cardName;Sagami Astillero
134.cardText;{gift} - Puedes teletransportar a otra criatura amistosa hacia un {green} que controles.
135.cardName;Antiguo Maestro de Bestias
135.cardText;Cuando invocas una criatura con 5 de Vida o más, le otorga +1/+1.
136.cardName;Gracia de Gaea
136.cardText;Una criatura gana +0/+3. Ganas 3 de Vida.
137.cardName;Líder Tiki
137.cardText;{gift} - Otorga {taunt} a una criatura.
138.cardName;Duende Floral
138.cardText;{last_words} - Añade una carta verde aleatoria a tu mano. Cuesta {faeria|3} menos.
139.cardName;Ermitaño del Bosque
139.cardText;{last_words} - Otorga +2/+4 a una criatura amistosa aleatoria.
140.cardName;Vigilante Tiki
140.cardText;{gift} - Otorga +2/+2 a una criatura.
141.cardName;Flautista Tiki
141.cardText;{gift} - Otorga +0/+4 a una criatura.
142.cardName;Danza Chamánica
142.cardText;Otorga +0/+4 y {taunt} a una criatura.
143.cardName;Tótem Tiki
143.cardText;Otorga +1/+1 a la primer criatura que invoques cada turno.
144.cardName;Ursus Poseído
144.cardText;Luego de que esta criatura reciba daño, duplica su Ataque.
149.cardName;Roble Joven
149.cardText;{last_words} - Otorga +5/+5 a una criatura verde aleatoria en tu mano.
150.cardName;Gólem Thyriano
151.cardName;Sembrador
151.cardText;{gift} - Crea un {green} en un espacio aleatorio adyacente.
152.cardName;Muro de Espinas
152.cardText;{taunt}\n{last_words} - Crea un {green} en un espacio aleatorio.
153.cardName;Oso del Arbolado
154.cardName;Curador Tiki
154.cardText;{gift} - Ganas 5 de Vida.
155.cardName;Santuario de Ruunin
155.cardText;{gift} - Ganas {faeria|2}.\n{last_words} - Tu oponente gana {faeria|2}.
156.cardName;Roble Patriarca
156.cardText;{gift} - Gana +0/+1 por cada {green} que controles.
157.cardName;Árbol de Faeria
157.cardText;{production} - Esta estructura gana +0/+1.\nCuando tenga 5 o más de Vida, destrúyela y gana {faeria|10}.
158.cardName;Sauce Viviente
158.cardText;{taunt}
159.cardName;Crecimiento Salvaje
159.cardText;Crea un {green} en un espacio aleatorio.
168.cardName;Coloso Primigenio
168.cardText;Esta criatura cuesta {faeria|1} menos por cada tierra especial que controles (coste mínimo: {faeria|6}).
169.cardName;Tethra, Alma de lo Salvaje
169.cardText;{flying}, {charge|2}\n{gift} - Otorga +5/+5 a una criatura.
170.cardName;Elemental del Bosque
170.cardText;{taunt}\n{gift} - Crea un {green}
171.cardName;Faerie de Seda Floral
171.cardText;{flying}\nLa primera vez que robes un evento, esta criatura ganará +1/+4, {taunt} y {charge|2}.
172.cardName;Torre Descuidada
172.cardText;{activate} - Otorga +1/+1 a una criatura. Inflige 1 de daño a esta estructura.
173.cardName;Brizna Floral
173.cardText;Cuando crees un {green}, gana +1/+1.
174.cardName;Espíritu del Renacimiento
174.cardText;Otorga +1/+1 a una criatura aleatoria de tu mano cada vez que una criatura amistosa muera.
175.cardName;Abrazo del Bosque Antiguo
175.cardText;Otorga +2/+4 a una criatura.
176.cardName;Mensajero de Ruunin
176.cardText;{jump}\nCuando esta criatura ataca al dios enemigo, añade una carta verde aleatoria a tu mano. Esa carta cuesta {faeria|2} menos.
177.cardName;Fuerza Verduran
178.cardName;Guardián de la Arboleda
