CARD_ALREADY_OWNED_TOOLTIP_TEXT;Posees {0} de esta carta.
CARD_FILTER_CREATURE;Criatura
CARD_FILTER_EVENT;Evento
CARD_FILTER_FALL_OF_EVERLIFE;Caida de la Vida Eterna
CARD_FILTER_OVERSKY;Oversky
CARD_FILTER_STRUCTURE;Estructura
PANDORA_MYTHIC_RUN_NOT_ENOUGH_COINS_ERROR_TEXT;No posees suficientes fragmentos para iniciar este modo de juego
PANDORA_MYTHIC_RUN_TOOLTIP_TEXT;Inicia una partida de Pandora Mítica. Gana hasta 6 partidas para obtener fragmentos.
PANDORA_POINT_TOOLTIP_TEXT;Gana puntos para obtener recompensas al final de cada temporada.
PANDORA_POP_UP_MULTI_PLAYER_TITLE_TEXT;Multijugador
PANDORA_POP_UP_MYTHIC_MULTI_PLAYER_INFO_TEXT;Compite contra otros jugadores para obtener recompensas MUCHO más altas.
PANDORA_POP_UP_MYTHIC_RUN_MULTI_PLAYER_TITLE_TEXT;Multijugador Mítico
PANDORA_POP_UP_MYTHIC_RUN_SINGLE_PLAYER_TITLE_TEXT;Un Solo Jugador Mítico
PANDORA_POP_UP_MYTHIC_SINGLE_PLAYER_INFO_TEXT;Lucha contra una cada vez más fuerte IA para obtener fragmentos.
PANDORA_POP_UP_SINGLE_PLAYER_TITLE_TEXT;Un Solo Jugador Mítico
PANDORA_POP_UP_STANDARD_MULTI_PLAYER_INFO_TEXT;Compite contra otros jugadores para obtener recompensas MUCHO más altas.
PANDORA_POP_UP_STANDARD_RUN_MULTI_PLAYER_TITLE_TEXT;Multijugador
PANDORA_POP_UP_STANDARD_RUN_SINGLE_PLAYER_TITLE_TEXT;Un Solo Jugador
PANDORA_POP_UP_STANDARD_SINGLE_PLAYER_INFO_TEXT;Lucha contra enemigos de la CPU cada vez más poderosos para obtener cofres de batalla y cartas.
PANDORA_STANDARD_RUN_HAS_FULL_COLLECTION_ERROR_TEXT;Ya tienes todas las cartas disponibles, así que ya no puedes iniciar partidas estandar
PANDORA_STANDARD_RUN_NOT_ENOUGH_CHEST_ERROR_TEXT;No tienes suficientes cofres de combate para iniciar este tipo de partida
PANDORA_STANDARD_RUN_TOOLTIP_TEXT;Comienza una partida de Pandora estandar. Gana hasta 6 partidas para obtener cofres de batalla y cartas.
PURCHASE_PANEL_BUY_MISSING_SOFT_CURRENCY_TEXT;¿Comprar los faltantes {0} {1}?
PURCHASE_PANEL_GO_TO_SHOP_BUTTON_TEXT;Ir a la Tienda
PURCHASE_PANEL_OUT_OF_CURRENCY_TEXT;Ya no tienes {0}. Puedes visitar la Tienda para obtener más.
REWARD;Recompensa
REWARD_ACT;Paquete de misión desbloqueado
REWARD_ARENA_POINTS;{0}
REWARD_AVATAR;Has conseguido un avatar.
REWARD_BLUEPRINT;¡Nueva plantilla desbloqueada!
REWARD_BOOSTER;{0}
REWARD_CARD;Has recibido {0} carta(s).
REWARD_CARD_BACK;Nuevo dorso
REWARD_EMOTE;Nueva emoción
REWARD_FEATURE_ARENA_ID;¡Has desbloqueado el modo Pandora!
REWARD_FEATURE_CRAFTING_ID;¡Has desbloqueado el creador de cartas!
REWARD_FEATURE_EPIC_CRAFTING_ID;¡Has desbloqueado la creación de cartas Épicas!
REWARD_FEATURE_HIGHLANDER_ID;¡Has desbloqueado el modo Highlander!
REWARD_FEATURE_MAIN_MENU_ID;¡Has desbloqueado el creador de mazos!
REWARD_FEATURE_RANKED_ID;¡Has desbloqueado el modo clasificatoria!
REWARD_FEATURE_RARE_CRAFTING_ID;¡Has desbloqueado la creación de cartas Raras!
REWARD_ORIGIN_ACCOUNTACTIVATED;Recompensa al activar la cuenta
REWARD_ORIGIN_ANNUITY;Fragmentos encontrados por Goki
REWARD_ORIGIN_ARENA;Tu premio
REWARD_ORIGIN_CRAFT;¡Creación completada!
REWARD_ORIGIN_DAILYASSIGNMENT;Premio diario
REWARD_ORIGIN_DAILYQUEST;Misión diaria completada
REWARD_ORIGIN_DEFEAT;Tu recompensa
REWARD_ORIGIN_DLCPREMIUM;Cuenta Premium
REWARD_ORIGIN_DLCFALLOFEVERLIFE;Caida de la Vida Eterna
REWARD_ORIGIN_EARLYACCESSBUNDLE;Paquete de Acceso Anticipado
REWARD_ORIGIN_FIRSTDAYVICTORY;Primera victoria del día
REWARD_ORIGIN_HATCH;Eclosión del huevo
REWARD_ORIGIN_LADDERRESET;Recompensa al reiniciar la clasificación
REWARD_ORIGIN_LEVEL;Recompensa de nivel {0}
REWARD_ORIGIN_LOYALTYPATCH;Recompensa del Parche de Lealtad
REWARD_ORIGIN_MARKET;¡Compra realizada!
REWARD_ORIGIN_POUCH;Recompensa de Bolsa de Aventura
REWARD_ORIGIN_QUEST;Recompensa de la misión
REWARD_ORIGIN_RECRUITMENT;Reclutamiento
REWARD_ORIGIN_SOLOOBJECTIVE;Objetivo completado
REWARD_ORIGIN_STEAMPACK;Pack de Steam
REWARD_ORIGIN_VICTORY;Tu recompensa
REWARD_POUCH_POINTS;{0}
REWARD_WELL;Nuevo Pozo de Faeria
TOURNAMENT_ALREADY_SIGNED_UP;Ya estás registrado.
TOURNAMENT_DECK_ALREADY_PICKED;Este mazo ya fue seleccionado para el torneo.
TOURNAMENT_DECK_CHANGE_LOST_A_GAME;No puedes mantener un mazo con el que hayas perdido una partida.
TOURNAMENT_DECK_FIXED_UNTIL_LOSS;No puedes cambiar de mazo hasta que pierdas una partida.
TOURNAMENT_DECK_LOCKED;Este mazo ha sido elegido para torneo, no puedes editarlo hasta que la etapa de elección de mazo del torneo haya terminado.
TOURNAMENT_DECK_LOST_A_GAME;No puedes elegir un mazo con el que hayas perdido una partida.
TOURNAMENT_DECK_MUST_BE_LEAD;Debes usar tu mazo inicial para la primera partida.
TOURNAMENT_DISCARD_DECKS;Empezar de nuevo
TOURNAMENT_LOBBY;Sala del Torneo
TOURNAMENT_PICKED_DECK;Registrados #{0}
