QUEST_NAME_PUZZLE_DLC_YRUSH_2;Intervención Divina
QUEST_NAME_PUZZLE_DLC_YRUSH_1;Golpea y Corre
QUEST_NAME_PUZZLE_DLC_YAK_SHEPHERD;Estampida
QUEST_NAME_PUZZLE_DLC_WHALES;Ballena de un Tiempo
QUEST_NAME_PUZZLE_DLC_VOICE_OF_SALAMANDER;La Voz
QUEST_NAME_PUZZLE_DLC_TWISTED_MIRROR;Espejo Retorcido
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS_2;Reino de Peces
QUEST_NAME_PUZZLE_DLC_SWARMING_CARACIUS;Por el Enjambre
QUEST_NAME_PUZZLE_DLC_RUBY_YAK_OTK;Yak Rubí OTK
QUEST_NAME_PUZZLE_DLC_RAKOANS_3;Fiesta de Cañones
QUEST_NAME_PUZZLE_DLC_RAKOANS_2;Defensores del Oversky
QUEST_NAME_PUZZLE_DLC_RAKOANS_1;¡A Cubierto!
QUEST_NAME_PUZZLE_DLC_RADIANCE_ILLUSION;El Orgullo Llega Antes de la Caida
QUEST_NAME_PUZZLE_DLC_PAIR_TOSSERS;Clase de Ciencias
QUEST_NAME_PUZZLE_DLC_NINJA_TOAD_OTK;Super Sapo
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_FAILED;El Monstruo
QUEST_NAME_PUZZLE_DLC_MONSTROSITY_DRAGON;Pesadilla
QUEST_NAME_PUZZLE_DLC_MISTRAL_SALAMANDER;Asciende
QUEST_NAME_PUZZLE_DLC_MEDALION_HARDCORE_MODE;Final
QUEST_NAME_PUZZLE_DLC_MAZE;Laberinto
QUEST_NAME_PUZZLE_DLC_KROG_IS_KING;Héroe Inesperado
QUEST_NAME_PUZZLE_DLC_KILL_EVERYTHING_1;La Cacería Comienza
QUEST_NAME_PUZZLE_DLC_KAIOS_MOVEMENT;Regicidio
QUEST_NAME_PUZZLE_DLC_KAIOS;Dominio de Kaios
QUEST_NAME_PUZZLE_DLC_ISTANU;Luz Eterna
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_URSUS_OTK;Ursus OTK
QUEST_NAME_PUZZLE_DLC_HUNT_ORPHANS;Amigos Hasta el Fín
QUEST_NAME_PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE;Contraataque
QUEST_NAME_PUZZLE_DLC_HAMMER_BARON;El Martillo
QUEST_NAME_PUZZLE_DLC_GEM_YAKS;El Poder de la Amistad
QUEST_NAME_PUZZLE_DLC_GEMSHELL_HAMMER;El Herrero
QUEST_NAME_PUZZLE_DLC_GEMSHELL;Elige una Carta
QUEST_NAME_PUZZLE_DLC_GRAPPLING_MONK;El Conocimiento es Poder
QUEST_NAME_PUZZLE_DLC_FAILED_BALLOONFISH;Ómnibus Escolar Mágico
QUEST_NAME_PUZZLE_DLC_FAIRIES_1;Cuento de Faeries
QUEST_NAME_PUZZLE_DLC_EXPLORER;Cambio Cromático
QUEST_NAME_PUZZLE_DLC_EVENT_OTK;Eventos OTK
QUEST_NAME_PUZZLE_DLC_ES_OF_MILL;ES of Mill
QUEST_NAME_PUZZLE_DLC_DAY_OF_THE_DRAGON;La Profecía
QUEST_NAME_PUZZLE_DLC_CORRUPT_MOVEMENT;En Construcción
QUEST_NAME_PUZZLE_DLC_BONE_COLLECTOR;La Cosecha
QUEST_NAME_PUZZLE_DLC_BARRENSKY_VULTURE;Carroñero
QUEST_NAME_PUZZLE_DLC_BAERU;Señor del Océano
QUEST_NAME_PUZZLE_DLC_AXOLOTL;Anclalote
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;Yo Sueño y las Ranas Tiemblan
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;Poder Abrumador
QUEST_NAME_LOYALTY_PATCH_03;La Caída de la Vida Eterna
QUEST_NAME_LOYALTY_PATCH_02;Scylla
QUEST_NAME_LOYALTY_PATCH_01;Tiempo de Martillar
QUEST_NAME_LOYALTY_PATCH_00;Corrupción
QUEST_NAME_PUZZLE_54;Rompecabezas 54
QUEST_NAME_PUZZLE_53;Rompecabezas 53
QUEST_NAME_PUZZLE_52;Rompecabezas 52
QUEST_NAME_PUZZLE_51;Rompecabezas 51
QUEST_NAME_PUZZLE_50;Rompecabezas 50
QUEST_NAME_PUZZLE_49;Rompecabezas 49
QUEST_NAME_PUZZLE_48;Rompecabezas 48
QUEST_NAME_PUZZLE_47;Rompecabezas 47
QUEST_NAME_PUZZLE_46;Rompecabezas 46
QUEST_NAME_PUZZLE_45;Rompecabezas 45
QUEST_NAME_PUZZLE_44;Rompecabezas 44
QUEST_NAME_PUZZLE_43;Rompecabezas 43
QUEST_NAME_PUZZLE_42;Rompecabezas 42
QUEST_NAME_PUZZLE_41;Rompecabezas 41
QUEST_NAME_PUZZLE_40;Rompecabezas 40
QUEST_NAME_PUZZLE_39;Rompecabezas 39
QUEST_NAME_PUZZLE_38;Rompecabezas 38
QUEST_NAME_PUZZLE_37;Rompecabezas 37
QUEST_NAME_PUZZLE_36;Rompecabezas 36
QUEST_NAME_PUZZLE_35;Rompecabezas 35
QUEST_NAME_PUZZLE_34;Rompecabezas 34
QUEST_NAME_PUZZLE_33;Rompecabezas 33
QUEST_NAME_PUZZLE_32;Rompecabezas 32
QUEST_NAME_PUZZLE_31;Rompecabezas 31
QUEST_NAME_PUZZLE_30;Rompecabezas 30
QUEST_NAME_PUZZLE_29;Rompecabezas 29
QUEST_NAME_PUZZLE_28;Rompecabezas 28
QUEST_NAME_PUZZLE_27;Rompecabezas 27
QUEST_NAME_PUZZLE_26;Rompecabezas 26
QUEST_NAME_PUZZLE_25;Rompecabezas 25
QUEST_NAME_PUZZLE_24;Rompecabezas 24
QUEST_NAME_PUZZLE_23;Rompecabezas 23
QUEST_NAME_PUZZLE_22;Rompecabezas 22
QUEST_NAME_PUZZLE_21;Rompecabezas 21
QUEST_NAME_PUZZLE_20;Rompecabezas 20
QUEST_NAME_PUZZLE_19;Rompecabezas 19
QUEST_NAME_PUZZLE_18;Rompecabezas 18
QUEST_NAME_PUZZLE_17;Rompecabezas 17
QUEST_NAME_PUZZLE_16;Rompecabezas 16
QUEST_NAME_PUZZLE_15;Rompecabezas 15
QUEST_NAME_PUZZLE_14;Rompecabezas 14
QUEST_NAME_PUZZLE_13;Rompecabezas 13
QUEST_NAME_PUZZLE_12;Rompecabezas 12
QUEST_NAME_PUZZLE_11;Rompecabezas 11
QUEST_NAME_PUZZLE_10;Rompecabezas 10
QUEST_NAME_PUZZLE_09;Rompecabezas 09
QUEST_NAME_PUZZLE_08;Rompecabezas 08
QUEST_NAME_PUZZLE_07;Rompecabezas 07
QUEST_NAME_PUZZLE_06;Rompecabezas 06
QUEST_NAME_PUZZLE_05;Rompecabezas 05
QUEST_NAME_PUZZLE_04;Rompecabezas 04
QUEST_NAME_PUZZLE_03;Rompecabezas 03
QUEST_NAME_PUZZLE_02;Rompecabezas 02
QUEST_NAME_PUZZLE_01;Rompecabezas 01
ACT_LOYALTY_PATCH;Parche de la Lealtad
ACT_JALMYR_04;Jalmyr Acto IV
ACT_JALMYR_03;Jalmyr Acto III
ACT_JALMYR_02;Jalmyr Acto II
ACT_JALMYR_01;Jalmyr Acto I
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;Por la Causa
ACT_DLC_ELEMENTS_TRIBES;Tribus del Oversky
