ACCOUNT_DOES_NOT_EXIST;Esta cuenta no existe.
ACTIVATION_CODE_FAILED;Parece que hubo un problema con tu código de activación.
ACTIVATION_KEY_FAILED;Parece que hubo un problema con tu clave de activación.
ALREADY_IN_GAME;Parece que ya estas en el juego. Cierra sesión y vuelve a entrar.
BAD_CLIENT_VERSION;Parece que tu versión está desactualizada. Intenta reiniciar el juego.
CANNOT_BE_PLAYER_HAS_NO_DECK;El moderador ha intentado ponerte como jugador, pero no tienes ningún mazo.
CANNOT_INVITE_FRIEND_DECLINED;El jugador que intentas invitar ya te ha rechazado. La invitación de amistad ahora debe venir de él.
CANNOT_INVITE_FRIEND_DOES_NOT_EXIST;Este jugador no existe. Por favor, inserta el ID correcto.
CANNOT_INVITE_FRIEND_OPPONENT;No puedes invitar a alguien contra el que estás jugando. Espera a terminar la partida.
CANNOT_INVITE_FRIEND_PROLOGUE;No puedes invitar a un amigo que no ha terminado el prólogo.
CANNOT_INVITE_FRIEND_REFUSED;El jugador que intentas invitar no acepta solicitudes de amistad.
CANNOT_MODIFY_DECK_WHILE_SEARCHING;No puedes modificar tu mazo mientras buscas una partida.
CANNOT_PAUSE_DURING_MULLIGAN;El juego no puede ser pausado durante la fase de mulligan.
CANNOT_SET_AS_PLAYER_HAS_NO_DECK;No puede ser puesto como jugador porque no tiene mazos.
CANNOT_SET_YOURSELF_AS_RECRUITER;No te puedes establecer como reclutador.
CANNOT_SIGN_UP_FREEZE_MODE_ON;Un mantenimiento está en marcha, intenta conectarte más tarde.
CANNOT_SPECTATE_TOURNAMENT_GAME;No puedes ser espectador en partidas de torneo.
CANNOT_START_FREEZE_MODE_ON;No puedes iniciar una partida ahora, los servidores estan llenos. ¡Lo sentimos!
CANNOT_START_SERVER_REBOOTING;No puedes iniciar una partida, los servidores van a reiniciarse pronto.
CARD_COPIES_LIMITED;Cada carta tiene un límite de 3 copias por mazo.
COMMUNITY_EVENT_INACTIVE_OR_DOES_NOT_EXIST;El evento de la comunidad esta inactivo o no existe
COMMUNITY_EVENT_NO_STEAM_KEYS_LEFT;No quedan claves de Steam, por favor, inténtalo de nuevo más tarde.
CONSTRUCTED_CLOSED;El modo Clasificatoria está cerrado hoy, solo Pandora está abierto.
COUPON_ALREADY_USED;Este cupón ya ha sido usado.
COUPON_DOES_NOT_EXIST;Código de cupón invalido.
COUPON_EXPIRED;El código de cupón que has ingresado ya ha expirado.
COUPON_ITEM_ALREADY_OWNED;Ya posees los articulos de este cupón.
COUPON_MAX_ACTIVATIONS_REACHED;Este cupón ya no puede ser activado porque se ha alcanzado su máximo de activaciones.
COUPON_RESERVED;Este cupón esta reservado para otra cuenta.
DECK_SIZE_LIMITED;Un mazo está limitado a {0} cartas.
DISCONNECTED_FROM_WORLD;La partida ha terminado pero parece que tu conexión con el servidor principal se ha perdido. ¡Reconecta, por favor!
FRIEND_DOES_NOT_ALLOW_SPECTATE;Tu amigo no permite espectadores en sus partidas.
FRIEND_NO_LONGER_IN_GAME;Tu amigo ya no está jugando.
GAME_CANCELED_NO_GAMESERVER_FOUND;¡No se han encontrado servidores en tu región! Por favor, inténtalo de nuevo más tarde.
GAME_CANCELED_PLAYER_DID_NOT_REPLY_IN_TIME;La partida fue cancelada (un jugador no respondió a tiempo).
