ACTIVATE;<b>Activar</b>
AQUATIC;<b>Acuático</b>
ARTIFACT;Artefacto
AUTO_HARVEST;<b>Recolección Automática</b>
BLUE;<sprite="icon_blue" index=0>
BLUEPRINT_01.name;Verde Inicial
BLUEPRINT_01.shortdescription;Aprovecha la fuerza del bosque y apoya a tu ejército de humanos con vida extra y movilidad. Pon una tierra cerca de un pozo de Faeria, y luego deslízate hacia el orbe enemigo!
BLUEPRINT_02.name;Rojo Inicial
BLUEPRINT_02.shortdescription;Los ogros marchan amenazantemente  desde las montañas. Asalta a tu oponente con criaturas gigantes, y luego termina el trabajo con fuego.
BLUEPRINT_03.name;Azul Inicial
BLUEPRINT_03.shortdescription;Haz un estallido con el poder de los eventos. Usa criaturas con salto y acuaticas, para recolectar múltiples pozos de Faeria a la vez. Golpea a tu oponete cuando sea el momento adecuado
BLUEPRINT_04.name;Amarillo Inicial
BLUEPRINT_04.shortdescription;Saborea las oscuras delicias del desierto. Practica rituales prohibidos y gana poder con la muerte de tus propias criaturas. Usa tu propia vida como recurso para ganar ventaja sobre tu oponente y consume su orbe
BLUEPRINT_05.name;Invasión Azul
BLUEPRINT_05.shortdescription;Deja que tu codicia por recolectar más Faeria te empodere. Concéntrate en la recolección de los pozos enemigos, y tus colosos masivos se volverán más baratos con cada recolección.
BLUEPRINT_06.name;Gloria en Combate
BLUEPRINT_06.shortdescription;Aplasta a tus enemigos, observa como son destrozados y oye los lamentos de los yaks. Comanda un ejército que prospera en combate. El don de acero brilla más en tiempos de guerra.
BLUEPRINT_07.name;Cruzada Mortal
BLUEPRINT_07.shortdescription;No muestres piedad. Dirígete directamente hacia tu oponente y ataca su orbe a toda costa, dandole poder a tus Cruzados Fervientes en el proceso.
BLUEPRINT_08.name;El Negocio Definitivo
BLUEPRINT_08.shortdescription;Negocia con los ogros y juega estas cartas caras a una fracción de su coste normal. Libera Dragones y Behemoths para cosechar victorias épicas.
BLUEPRINT_09.name;Flota Voladora
BLUEPRINT_09.shortdescription;Comanda los cielos. Tus aviarios reforzarán la fuerza de tu flota voladora. Sube hasta el corazón del enemigo y desata la muerte desde arriba.
BLUEPRINT_10.name;Ira de la Naturaleza
BLUEPRINT_10.shortdescription;El bosque no siempre es tan paciente. Lánzate hacia el orbe y despeja el camino para que tus Cazadores de Dioses busquen su presa natural: la cara de tu enemigo.
CHARGE;<b>Cargar {0}</b>
COMBAT;<b>Combate</b>
CONVOKE;<b>Convocar</b>
CORRUPT;<b>Corromper</b>
CREATURE;Criatura
CURRENCY_COIN;Fragmentos
CURRENCY_GEM;Gemas
DAILY_QUEST_00_NAME;Definitivo
DAILY_QUEST_01_NAME;Desenfreno
DAILY_QUEST_02_NAME;Deicidio
