ACCEPT;Aceptar
ACCOUNT_RECOVERY;Recuperación de cuenta.
ACCOUNT_RECOVERY_TITLE;Recupera tu cuenta.
ACTIVATION_KEY;Clave de activación
ADD_A_FRIEND;Adiciona un amigo usando su id
ADD_NEW_DECK;Nuevo Mazo
ADVENTURE_POUCH_POINTS;Puntos de la Bolsa de Aventura
ALLY_TURN;Turno de tu Aliado
AMBIENT;Ambiente
ARENA_RUN_DECK_NAME;Mazo de Pandora
BACK;ATRAS
BIND_ACCOUNT_BUTTON;Unir a {0}
BIND_ACCOUNT_LABEL;¿Ya tienes una cuenta de Faeria?
BLUEPRINT_PANEL_TEXT1;Intenta modificar uno de los mazos preconstruidos primero.
BLUEPRINT_PANEL_TEXT2;También puedes crear un mazo personalizado pulsando el botón de abajo.
BLUEPRINT_PANEL_TITLE;¿Quieres construir tu propio mazo?
BLUEPRINT_REQUIREMENT_LEVEL;ALCANZA EL NIVEL
BLUEPRINT_REQUIREMENT_QUEST;COMPLETA MÁS MISIONES PARA DESBLOQUEAR ESTA PLANTILLA
BOOSTER_OPENING_GEMSTITLE;Rareza de las Gemas
BOSS_DEFEATED;Derrotado
BOSS_NOT_RELEASED;Por ser publicado
BUILD_YOUR_DECK;Mazo Personalizado
CANCEL;Cancelar
CARD_LIMIT_MESSAGE;Cada carta tiene un límite de 3 copias por mazo.
CHAT_ERROR_MESSAGE_TOO_LONG;Mensaje demasiado largo (máx. {0} caracteres).
CHAT_ERROR_NOBODY_TO_REPLY_TO;No hay nadie a quien responder.
CHAT_ERROR_NOT_CONNECTED;Has perdido la conexión. Cierra la sesión y vuelve a iniciarla de nuevo.
CHAT_ERROR_NO_INTERLOCUTOR;No estás chateando con nadie. Usa el comando /w, la lista de amigos o haz clic en un nombre de usuario en el chat para enviar un mensaje.
CHAT_ERROR_ONLY_WITH_FRIENDS;Solo puedes enviar mensajes a los usuarios que sean tus amigos en Faeria.
CHAT_ERROR_RECIPIENT_IS_OFFLINE;{0} está desconectado. Solo puedes enviar mensajes a usuarios en línea.
CHAT_GENERIC_WARNING;Por favor recuerda que empleados de Abrakam Entertainment jamás te preguntaran tu contraseña cuando te asistan. No des información sensible en los chats.
CHAT_HINT_USER_BACK_ONLINE;¡{0} vuelve a estar conectado!
CHAT_HINT_USER_WENT_OFFLINE;{0} se ha desconectado.
CHAT_INPUT_PLACEHOLDER;/w Usuario Tu mensaje.
CHAT_TOOLTIP_DND_MODE;Modo No molestar. Si este modo está activado, no se abrirá ninguna ventana cuando recibas un mensaje. Los mensajes podras verlos cuando vuelvas a abrir la ventana de chat.
CHAT_TO_SOMEBODY;Para [{0}]: {1}
CHEST_OPENING_NO_MORE_CHEST;Sube de nivel o completa Misiones Diarias para ganar más Cofres!
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;Tienes todos los items míticos. Vuelve más tarde.
CHOOSE_OTHER_BLUEPRINT;Cambiar Plantilla
CLAIM_REWARDS;Reclama tu premio
CLEAR;Despejar
COLLECTION_FILTER_CARD_TYPE;Filtrar por tipo de carta.
COLLECTION_FILTER_FAERIA_COST;Filtrar por costo de Faeria.
COLLECTION_MODE;Creación
COLLECTION_SEARCH_PLACEHOLDER;Buscar...
CONFIRM;Confirmar
CONNECTION_LOST_RECONNECTING;Se ha perdido la conexión.\nIntentando reconectar...
CONNECTION_QUEUE_CAPTION;Tu lugar en la cola:
