AURORA_EPIC_01_0001;Vous feriez du mal à une vieille dame ?
AURORA_EPIC_01_0002;Vous n'avez pas à faire ça...
AURORA_EPIC_01_0003;Votre créature sera plus heureuse avec moi.
AURORA_EPIC_01_0004;Souhaitez-vous un peu de thé, très cher ?
AURORA_EPIC_01_0005;La guerre est si bruyante. Reposez-vous un peu.
AURORA_EPIC_01_0006;Si vous lanciez un caillou vert dans une rivière violette, que se passerait-il ?
AURORA_EPIC_01_0007;Réponse : le caillou ferait plouf.
AURORA_EPIC_01_0008;Il fait beau aujourd'hui.
AURORA_EPIC_01_0009;J'ai presque terminé mon thé.
AURORA_EPIC_01_0010;J'ai terminé mon thé.
AURORA_EPIC_01_0011;Merci de me laisser finir mon thé.
AURORA_EPIC_01_0012;Vous n'auriez pas dû la laisser finir son thé...
