BOSS_KING_YAKNUS_0002;Merci de m'assister.
BOSS_KING_YAKNUS_0003;Prouvez-moi que vous êtes digne de mon peuple.
BOSS_KING_YAKNUS_0004;Je suis à la tête d'un peuple fier et soyeux.
BOSS_KING_YAKNUS_0005;Chargez, frères de fourrure !
BOSS_KING_YAKNUS_0006;Chargez, frères de fourrure !
BOSS_KING_YAKNUS_0007;Cette rose a des épines.
BOSS_KING_YAKNUS_0008;Soyez prêts !
BOSS_KING_YAKNUS_0009;YAKNAROK !!!
BOSS_KING_YAKNUS_0010;Soyez prêts !
BOSS_KING_YAKNUS_0011;YAKNAROK !!!
BOSS_KING_YAKNUS_0012;Soyez prêts !
BOSS_KING_YAKNUS_0013;YAKNAROK !!!
