OVERSKY_ISLAND_01_MISSION04_0002;Regardez-moi comme il est mignon.
OVERSKY_ISLAND_01_MISSION04_0001;Grrrrr !
OVERSKY_ISLAND_01_MISSION04_0004;Ouh, mais on dirait qu'il veut jouer.
OVERSKY_ISLAND_01_MISSION04_0009;Renvoyons ce bébé dans son petit lit.
OVERSKY_ISLAND_01_MISSION04_0010;Grrrr ! Grrrrr !
OVERSKY_ISLAND_01_MISSION04_0011;Est-il en train d'appeler ses parents ?
OVERSKY_ISLAND_01_MISSION04_0012;Tenez, prenez ceci !
OVERSKY_ISLAND_01_MISSION04_0005;Grrr ! R'golo !
OVERSKY_ISLAND_01_MISSION04_0006;Oooooh, je crois qu'il dit ses premiers mots !
OVERSKY_ISLAND_01_MISSION04_0013;Ouh !
