PROLOGUE_1_0001;Construisez vos terrains et invoquez des créatures pour attaquer l'ennemi. Détruisez leur orbe pour gagner !
PROLOGUE_1_0023;Bienvenue dans Faeria ! Je suis Fugoro, votre dévoué...
PROLOGUE_1_0002;Arrête de courir, homme-grenouille !
PROLOGUE_1_0024;Aïe ! Aidez-moi ! Je vous donnerai une récompense !
PROLOGUE_1_0007;3 faeria ! Je peux invoquer une créature.
PROLOGUE_1_0008;J'espère que vous êtes prêt à souffrir !
PROLOGUE_1_0025;Vous aurez besoin d'un terrain pour invoquer ce yak.
PROLOGUE_1_0011;Invoquez-le ici.
PROLOGUE_1_0012;Les créatures doivent attendre un tour avant de pouvoir attaquer.
PROLOGUE_1_0013;À l'attaque !
PROLOGUE_1_0026;Écrasez-moi ce bandit, pour que nous puissions riposter.
PROLOGUE_1_0014;Sélectionnez votre yak.
PROLOGUE_1_0015;Attaquez cette Voleuse.
PROLOGUE_1_0027;Nom d'un Yak!
PROLOGUE_1_0028;Déplacez-vous et attaquez Sharra directement.
PROLOGUE_1_0022;Bien combattu !
GAMEPAD_PROLOGUE_1_0029;Vous pouvez aussi appuyer sur {GAMEPAD_BACK_BUTTONS_R2} pour accéder rapidement à la roue des pouvoirs.
GAMEPAD_PROLOGUE_1_0010;Déplacez votre curseur sur la carte Yak et appuyez sur {GAMEPAD_ACTION_CONFIRM}
MOUSE_PROLOGUE_1_0010;Sélectionnez votre yak.
GAMEPAD_PROLOGUE_1_0006;Déplacez votre curseur ici et MAINTENEZ {GAMEPAD_ACTION_CONFIRM} pour passer votre tour.
MOUSE_PROLOGUE_1_0006;Passez votre tour.
GAMEPAD_PROLOGUE_1_0004;Appuyez sur {GAMEPAD_ACTION_CONFIRM} pour construire ici.
MOUSE_PROLOGUE_1_0004;Construisez ici.
GAMEPAD_PROLOGUE_1_0003;Déplacez votre curseur ici et appuyez sur {GAMEPAD_ACTION_CONFIRM} pour construire un terrain.
MOUSE_PROLOGUE_1_0003;Construisez des terrains en direction de votre ennemi.
