PROLOGUE_5_0001;Bonne chance ...
PROLOGUE_5_0002;Un sacrifice qui en vaut la peine.
PROLOGUE_5_0003;J'ai maîtrisé les quatre éléments !
PROLOGUE_5_0004;Faites attention. Je perds toujours contre ce sale type.
PROLOGUE_5_0014;Mon esprit n'a pas de limite !
PROLOGUE_5_0005;Votre mort viendra du désert !
PROLOGUE_5_0006;BRÛLEZ !
PROLOGUE_5_0007;Deux nouveaux pouvoirs déverrouillés !
PROLOGUE_5_0008;Vous pouvez désormais piocher une carte OU gagner 1 faeria au lieu de placer des terrains.
PROLOGUE_5_0009;Votre heure a sonné !
PROLOGUE_5_0010;Prosternez-vous devant mon esprit !
PROLOGUE_5_0011;Cette créature possède un Dernier Vœu.
PROLOGUE_5_0012;Vous devez tuer cet esprit !
PROLOGUE_5_0013;NON ! QU'AVEZ-VOUS FAIT ?!
GAMEPAD_PROLOGUE_5_0015;Vous pouvez utiliser {GAMEPAD_BACK_BUTTONS_L1} et {GAMEPAD_BACK_BUTTONS_R1} pour parcourir les cartes de votre main.
