SEIFER_EPIC_01_0001;L'heure de la revanche est arrivée.
SEIFER_EPIC_01_0002;Cette fois, pas de quartier.
SEIFER_EPIC_01_0003;La meilleure des morts est une mort lente.
SEIFER_EPIC_01_0004;Du sang, des os, des flammes et des pierres !
SEIFER_EPIC_01_0005;Vous en avez dans le ventre... Je pense que je vais vous l'arracher !
SEIFER_EPIC_01_0006;Une bonne mort est une récompense en soi.
SEIFER_EPIC_01_0007;Vous pensez vraiment avoir gagné ?
SEIFER_EPIC_01_0008;Vous êtes plus malin que votre odeur ne le suggère.
SEIFER_EPIC_01_0009;Soigne-toi ! Je veux encore m'amuser avec toi.
SEIFER_EPIC_01_0010;N'attends pas plus de clémence de ma part.
