1.cardName;Apprenti fermier
2.cardName;Archer des collines
2.cardText;{ranged_attack}
3.cardName;Guerrier des Sylandes
4.cardName;Cavalier des Sylandes
4.cardText;{gift} – Donne {charge|3} à une autre créature alliée pendant ce tour.
9.cardName;Ingénieur impérial
9.cardText;{gift} - Déclenche toutes les capacités de production alliées.
10.cardName;Tenez la position !
10.cardText;Ajoute deux <b>Gardes Impériaux</b> 2/3 avec {taunt} à votre main.
11.cardName;Forteresse ambulante
12.cardName;Forgevapeur
12.cardText;{production} - Donne +1/+0 à une créature alliée aléatoire.
13.cardName;Percepteur
13.cardText;{combat} - Gagnez {faeria|1}.
14.cardName;Cantique de jouvence
14.cardText;Piochez une carte et gagnez 5 PV.
15.cardName;Sauvegarde
15.cardText;Donne {protection} à une créature.
16.cardName;Garde impérial
16.cardText;{taunt}\n{last_words} - Gagnez 2 PV.
22.cardName;Combattant de la Liberté
22.cardText;{haste}
23.cardName;Feu de camp
23.cardText;Donne +1/+1 à une créature.
24.cardName;Piqué du faucon
24.cardText;Inflige 1 point de dégâts à une créature.
29.cardName;Maître épéiste
29.cardText;A +2/+0 pendant votre tour tant que cette carte est dans votre main ou sur le plateau.
30.cardName;Yak des prairies
32.cardName;Les yaks attaquent !
32.cardText;Invoquez trois <b>Yaks en Colère<b> 2/2 avec {haste}
33.cardName;Châtiment
33.cardText;Infligez 2 points de dégâts à une créature. Si elle est neutre, infligez-lui-en 5.
34.cardName;Favori de la Reine
34.cardText;{protection}
35.cardName;Garde de la Reine
35.cardText;{taunt}\n{combat} - Gagnez {faeria|1}.
36.cardName;Magda, Reine de Meroval
36.cardText;Vos Légendaires coûtent {faeria|1} de moins.\n{production} - Ajoute une Légendaire aléatoire à votre main. Elle devient {wild}.
37.cardName;Bouffon de la cour
37.cardText;{taunt}\n{gift} - Donne +2/+2 a une créature aléatoire dans votre main.
38.cardName;Garde du Roi
38.cardText;{taunt}\n{combat} - Piochez une carte.
39.cardName;Héroïne improbable
39.cardText;La première fois qu'elle combat et si elle survit, cette créature gagne +3/+3 et {charge|2}.
40.cardName;Magnus, Roi de Meroval
40.cardText;{charge|3}\n{combat} - Piochez une carte. Elle coûte {faeria|0}.
41.cardName;Pestiféré
41.cardText;{last_words} - Inflige 2 points de dégâts à TOUTES les créatures.
42.cardName;Machine de siège
42.cardText;{ranged_attack}\nCette créature gagne +1/+0 après chaque attaque.
43.cardName;Sharra, Fléau des Dragons
43.cardText;Sharra ignore tout dégât supérieur à 3.
44.cardName;Famine
44.cardText;Inflige 1 point de dégâts à TOUTES les créatures.
45.cardName;Juge royal
45.cardText;{options|Piochez une Sauvegarde gratuite.|Piochez un Châtiment gratuit.}\nAjoute une <b>Sauvegarde</b> à votre main. Elle coûte {faeria|0}.\nAjoute un <b>Châtiment</b> à votre main. Il coûte {faeria|0}.
46.cardName;Cartographe
46.cardText;{last_words} – Ajoute une carte <b>Explorer</b> à votre main.
47.cardName;Statue étincelante
47.cardText;{taunt}\n{production} - Vous gagnez 1 PV.
48.cardName;Ancien du village
48.cardText;{last_words} - Piochez une carte.
49.cardName;Conteur
49.cardText;{gift} - Chaque joueur pioche 2 cartes et gagne 2 PV.
50.cardName;Moine errant
50.cardText;Cette créature gagne +1/+0 à chaque fois que vous piochez une carte.
51.cardName;Exécuteur de Forgevapeur
52.cardName;Dévôt du Roi
52.cardText;{protection}
53.cardName;Jour des Dragons
53.cardText;Ajoute les quatre <b>Dragons</b> élémentaires à votre main. Ils coûtent {faeria|3} de moins et deviennent {wild}.
54.cardName;Aventurier intrépide
54.cardText;{gift} - Gagne +2/+2 pour chaque créature ennemie adjacente.
55.cardName;Manieur de masse
56.cardName;Baron Thulgar
56.cardText;{last_words} - Chaque joueur pioche une carte. Elles coûtent {faeria|0}.
57.cardName;Sagesse
57.cardText;Piochez 2 cartes.
58.cardName;Yak de guerre
58.cardText;A +2/+0 tant que votre adversaire a 10 PV ou moins.
59.cardName;Défenseur de la patrie
59.cardText;{taunt}\n{gift} - Si vous avez été attaqué lors du dernier tour, invoquez un autre <b>Défenseur de la Patrie</b>.
60.cardName;Assassin de la Reine
60.cardText;{deathtouch}
61.cardName;Hors-la-loi en fuite
61.cardText;{last_words} - Votre adversaire pioche une carte et gagne {faeria|2}.
62.cardName;Chasseur de fortune
62.cardText;À chaque fois que cette créature récolte de la faeria, donne +1/+1 à une créature alliée aléatoire.
63.cardName;Patrouilleuse des Marches
63.cardText;{gift} - Ajoute un <b>Feu de Camp</b> à votre main.
64.cardName;Siphon à faeria
64.cardText;Les puits de faeria sont vides.\n{production} - S'inflige 1 point de dégâts.\n{last_words} - Remplit les puits de Faeria.
65.cardName;Explorateur de la forêt pluviale
65.cardText;A +1/+1 tant que vous contrôlez {blue}{blue} et +0/+2 tant que vous contrôlez {green}{green}.
66.cardName;Explorateur de la caldeira
66.cardText;A +1/+1 tant que vous contrôlez {blue}{blue} et +2/+0 tant que vous contrôlez {red}{red}.
67.cardName;Explorateur de l'oasis
67.cardText;A +1/+1 tant que vous contrôlez {blue}{blue} et +1/+1 tant que vous contrôlez {yellow}{yellow}.
68.cardName;Explorateur de la taïga
68.cardText;A +2/+0 tant que vous contrôlez {red}{red} et +0/+2 tant que vous contrôlez {green}{green}.
69.cardName;Explorateur de la savane
69.cardText;A +1/+1 tant que vous contrôlez {yellow}{yellow} et +0/+2 tant que vous contrôlez {green}{green}.
70.cardName;Explorateur des rocheuses
70.cardText;A +2/+0 tant que vous contrôlez {red}{red} et +1/+1 tant que vous contrôlez {yellow}{yellow}.
71.cardName;Poisson-rubis
71.cardText;{aquatic}
72.cardName;Voleur de légendes
72.cardText;{options|Gagne +2/+2|Piochez 2 cartes.}\n- Gagne +2/+2.\n- Piochez 2 cartes.
73.cardName;Citerne de Gabria
73.cardText;{production} - Vous gagnez {faeria|3}. Cette structure s'inflige 1 point de dégâts.
74.cardName;Tyranax
75.cardName;Enchanteresse de Gabria
75.cardText;{gift} - L'attaque d'une autre créature devient égale à ses PV.
76.cardName;Commandant de Gabria
76.cardText;{aquatic}, {charge|2}\nGagne +1/+1 et {flying} la première fois que vous piochez une carte coûtant au moins {faeria|7} de base.
77.cardName;Protecteur de Gabria
77.cardText;{gift} - Donne {protection} à une créature.
82.cardName;Mochi de la source
82.cardText;{gift} - La prochaine carte que vous piochez coûtant à la base {faeria|7} ou plus coûte {faeria|3} de moins.
83.cardName;Guerrier Triton
83.cardText;{jump}
84.cardName;Bête mystique
84.cardText;{gift} - Cette créature gagne +2/+0 ainsi que {jump} si elle est invoquée sur une case adjacente à un puits adverse.
85.cardName;Reflet illusoire
85.cardText;{gift} - Transforme une autre créature en <b>Reflet Illusoire</b> 5/5.
86.cardName;Marmiton en Chef Triton
86.cardText;{gift} - Ajoute un <b>Banquet des Tritons</b> à votre main.
87.cardName;Crapaud ninja
87.cardText;{jump}, {haste}
88.cardName;Croâfication
88.cardText;Transforme une créature en <b>Grenouille</b> 2/2 avec {jump}.
93.cardName;Enchantement de Gabria
93.cardText;L'attaque d'une créature devient égale à ses PV.\nPiochez une carte.
94.cardName;Création d'Aurora
94.cardText;Ajoute la copie d'une créature à votre main. Coût réduit de {faeria|5}.
95.cardName;Pisteur de l'ombre
95.cardText;Coûte {faeria|2} de moins si vous avez joué un évènement lors de ce tour.
96.cardName;Sortbillon
96.cardText;Ajoute 2 cartes bleues aléatoires à votre main.
97.cardName;Noble de Gabria
